"Name.of.the.Assembly.segment...in.the.case.of.election.from.a.Parliamentary.constituency.....193.PHULWARI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"2"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"124"	""	"131"	""	"2"	""	"1"	""	"54"	""	""	""	"1"	""	""	"3"	""	""	"4"	""	""	""	"2"	""	""	"2"	""	"1"	""	""	"3"	""	""	"17"	""	""	"345"	""	""	""	""	"345"	""	""	""	""	""	""	""
"4"	"2"	"24"	""	"343"	""	""	""	"1"	""	"40"	""	""	""	"1"	""	""	""	""	""	"7"	""	""	""	"1"	""	""	"3"	""	""	""	""	"7"	""	""	"3"	""	""	"430"	""	""	""	""	"430"	""	""	""	""	""	""	""
"5"	"3"	"76"	""	"112"	""	"2"	""	"13"	""	"265"	""	""	""	"3"	""	""	"4"	""	""	"7"	""	""	""	"3"	""	""	"3"	""	"4"	""	""	"3"	""	""	"13"	""	""	"508"	""	""	""	""	"508"	""	""	""	""	""	""	""
"6"	"4"	"155"	""	"210"	""	"6"	""	"6"	""	"150"	""	""	""	"8"	""	""	"2"	""	""	"3"	""	""	""	"2"	""	""	"3"	""	"2"	""	""	"10"	""	""	"22"	""	""	"579"	""	""	""	""	"579"	""	""	""	""	""	""	""
"7"	"5"	"29"	""	"229"	""	"8"	""	"3"	""	"28"	""	""	""	"1"	""	""	"3"	""	""	"3"	""	""	""	"2"	""	""	"1"	""	"3"	""	""	"9"	""	""	"12"	""	""	"331"	""	""	""	""	"331"	""	""	""	""	""	""	""
"8"	"6"	"7"	""	"19"	""	"2"	""	"2"	""	"137"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	"1"	""	""	"175"	""	""	""	""	"175"	""	""	""	""	""	""	""
"9"	"7"	"11"	""	"271"	""	"2"	""	"6"	""	"76"	""	""	""	"1"	""	""	"3"	""	""	"3"	""	""	""	""	""	""	"1"	""	"2"	""	""	"9"	""	""	"8"	""	""	"393"	""	""	""	""	"393"	""	""	""	""	""	""	""
"10"	"8"	"44"	""	"110"	""	"6"	""	"11"	""	"180"	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	"2"	""	""	"2"	""	"2"	""	""	"5"	""	""	"9"	""	""	"379"	""	""	""	""	"379"	""	""	""	""	""	""	""
"11"	"9"	"19"	""	"254"	""	"2"	""	"36"	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"326"	""	""	""	""	"326"	""	""	""	""	""	""	""
"12"	"10"	"2"	""	"182"	""	"1"	""	"1"	""	"50"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"2"	""	""	"240"	""	""	""	""	"240"	""	""	""	""	""	""	""
