"X..FORM.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE185 - BAKHTIARPUR  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ROUND-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185 BAKHTIARUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"9"	"Serial no. of polling station"	"Anirudh Kumar"	""	"Pramod Kumar NIrala"	""	""	""	"Lal Krishna Yadav"	""	"Vinode Yadav"	"Kumar Indradeo
Prasad"	""	"Dayanand Paswan"	""	""	"Ram Jatan Chaudhary"	""	""	"Md. Sarfaraj Ahmad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"1"	"10"	""	"0"	""	""	""	"9"	""	"207"	"4"	""	"0"	""	""	"0"	""	""	"2"	""	""	"232"	""	""	""	""	""	""	"232"	""	""	""	""	""	""	""
"11"	"2"	"102"	""	"4"	""	""	""	"117"	""	"125"	"0"	""	"1"	""	""	"4"	""	""	"11"	""	""	"364"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""
"12"	"3"	"25"	""	"2"	""	""	""	"81"	""	"234"	"5"	""	"5"	""	""	"3"	""	""	"8"	""	""	"363"	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""
"13"	"4"	"15"	""	"0"	""	""	""	"1"	""	"70"	"6"	""	"2"	""	""	"2"	""	""	"2"	""	""	"98"	""	""	""	""	""	""	"98"	""	""	""	""	""	""	""
"14"	"5"	"148"	""	"1"	""	""	""	"4"	""	"9"	"1"	""	"0"	""	""	"0"	""	""	"5"	""	""	"168"	""	""	""	""	""	""	"168"	""	""	""	""	""	""	""
"15"	"6"	"210"	""	"10"	""	""	""	"53"	""	"62"	"4"	""	"1"	""	""	"7"	""	""	"12"	""	""	"359"	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""
"16"	"7"	"41"	""	"6"	""	""	""	"68"	""	"171"	"4"	""	"5"	""	""	"2"	""	""	"8"	""	""	"305"	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""
"17"	"8"	"68"	""	"5"	""	""	""	"42"	""	"275"	"8"	""	"6"	""	""	"15"	""	""	"17"	""	""	"436"	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""
"18"	"9"	"17"	""	"5"	""	""	""	"12"	""	"364"	"16"	""	"8"	""	""	"8"	""	""	"18"	""	""	"448"	""	""	""	""	""	""	"448"	""	""	""	""	""	""	""
"19"	"10"	"99"	""	"41"	""	""	""	"51"	""	"107"	"6"	""	"3"	""	""	"7"	""	""	"17"	""	""	"331"	""	""	""	""	""	""	"331"	""	""	""	""	""	""	""
"20"	"11"	"44"	""	"10"	""	""	""	"27"	""	"152"	"11"	""	"7"	""	""	"8"	""	""	"6"	""	""	"265"	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""
"21"	"12"	"68"	""	"2"	""	""	""	"51"	""	"290"	"5"	""	"1"	""	""	"2"	""	""	"2"	""	""	"421"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""
"22"	"13"	"56"	""	"26"	""	""	""	"28"	""	"108"	"8"	""	"3"	""	""	"5"	""	""	"19"	""	""	"253"	""	""	""	""	""	""	"253"	""	""	""	""	""	""	""
"23"	"14"	"291"	""	"43"	""	""	""	"35"	""	"66"	"7"	""	"6"	""	""	"6"	""	""	"18"	""	""	"472"	""	""	""	""	""	""	"472"	""	""	""	""	""	""	""
"24"	"Total"	"1194"	""	"155"	""	""	""	"579"	""	"2240"	"85"	""	"48"	""	""	"69"	""	""	"145"	""	""	"4515"	""	""	""	""	""	""	"4515"	""	""	"0"	""	""	""	""
"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Grand Total"	"1194"	""	"155"	""	""	""	"579"	""	"2240"	"85"	""	"48"	""	""	"69"	""	""	"145"	""	""	"4515"	""	""	""	""	""	""	"4515"	""	""	"0"	""	""	""	""
"27"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185 BAKHTIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
