"fuokZpuksa.dk.lapkyu.fu.e..1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"¼dkuwuh fu;e vkSj vkns’k½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"iz:i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu;e 56x¼2½ ¼x½ nsf[k,]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vfUre ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"28&xksjs;kdksBh fo/kku lHkk {ks= esa fcgkj"	""	""	""	""	""	""	""	""	"fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""
"6"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr
erksa dh la[;k"
"8"	""	"bUnznso
izlkn"	"uFkquh
izlkn"	"us;kuqnhu
[kka"	"HkwesUnz
ukjk;.k flag"	"gfjfd'kskj
frokjh"	"xxu
nso izlkn"	"prqxqZ.k
izlkn pkSgku"	"fjtoku
vgen"	"rkjds'oj
flag"	"/kesZnso
pkScs mQZ
/kesZUnz pkScs"	"foUnk
pkS0"	"g`n;k
uUn flag"	""	""	""	""
"9"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"10"	"1"	"194"	"1"	"6"	"157"	"14"	"2"	"2"	"2"	"2"	"2"	"6"	"16"	"404"	""	""	""
"11"	"2"	"276"	"9"	"6"	"271"	"9"	"1"	"1"	"1"	"1"	"2"	"3"	"11"	"591"	""	""	""
"12"	"3"	"259"	"13"	"12"	"275"	"25"	"7"	"3"	"3"	"21"	"7"	"13"	"45"	"683"	""	""	""
"13"	"4"	"251"	"11"	"21"	"196"	"30"	"4"	"11"	"7"	"10"	"6"	"6"	"24"	"577"	""	""	""
"14"	"5"	"248"	"8"	"2"	"87"	"7"	"2"	"1"	"3"	"2"	"2"	"4"	"9"	"375"	""	""	""
"15"	"6"	"57"	"0"	"2"	"112"	"6"	"0"	"1"	"0"	"2"	"0"	"2"	"4"	"186"	""	""	""
"16"	"7"	"355"	"7"	"1"	"74"	"3"	"1"	"3"	"6"	"6"	"3"	"7"	"12"	"478"	""	""	""
"17"	"8"	"136"	"18"	"15"	"99"	"10"	"0"	"1"	"3"	"4"	"2"	"2"	"4"	"294"	""	""	""
"18"	"8A"	"177"	"26"	"25"	"224"	"20"	"2"	"29"	"1"	"2"	"0"	"2"	"8"	"516"	""	""	""
"19"	"9"	"318"	"13"	"15"	"101"	"10"	"3"	"9"	"2"	"6"	"5"	"10"	"36"	"528"	""	""	""
"20"	"10"	"185"	"4"	"5"	"185"	"27"	"2"	"0"	"0"	"5"	"1"	"0"	"2"	"416"	""	""	""
"21"	"11"	"486"	"7"	"11"	"56"	"7"	"1"	"4"	"1"	"2"	"1"	"5"	"25"	"606"	""	""	""
