"fuokZpuksa.dk.lapkyu.fu.e..1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"¼dkuwuh fu;e vkSj vkns’k½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"iz:i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu;e 56x¼2½ ¼x½ nsf[k,]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vfUre ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"8"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"9"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"10"	"1"	"83"	"8"	"21"	"146"	"34"	"3"	"5"	"8"	"6"	"6"	"320"	""	""	""
"11"	"1d"	"124"	"7"	"5"	"60"	"104"	"3"	"0"	"7"	"2"	"5"	"317"	""	""	""
"12"	"2"	"205"	"1"	"3"	"130"	"179"	"3"	"4"	"6"	"0"	"3"	"534"	""	""	""
"13"	"3"	"30"	"2"	"2"	"77"	"273"	"9"	"3"	"1"	"1"	"5"	"403"	""	""	""
"14"	"4"	"190"	"11"	"30"	"31"	"242"	"6"	"9"	"16"	"12"	"19"	"566"	""	""	""
"15"	"5"	"277"	"8"	"8"	"21"	"255"	"7"	"0"	"8"	"6"	"23"	"613"	""	""	""
"16"	"6"	"335"	"10"	"9"	"65"	"164"	"6"	"2"	"12"	"3"	"19"	"625"	""	""	""
"17"	"7"	"225"	"0"	"2"	"88"	"268"	"6"	"0"	"3"	"0"	"3"	"595"	""	""	""
"18"	"8"	"95"	"9"	"2"	"22"	"215"	"3"	"4"	"4"	"4"	"7"	"365"	""	""	""
"19"	"8d"	"193"	"3"	"2"	"30"	"123"	"3"	"1"	"3"	"1"	"7"	"366"	""	""	""
"20"	"9"	"175"	"24"	"13"	"145"	"249"	"12"	"3"	"11"	"8"	"4"	"644"	""	""	""
"21"	"10"	"428"	"9"	"5"	"18"	"79"	"8"	"3"	"8"	"0"	"13"	"571"	""	""	""
"22"	"11"	"288"	"3"	"11"	"59"	"23"	"6"	"36"	"6"	"1"	"16"	"449"	""	""	""
"23"	"12"	"251"	"7"	"6"	"100"	"252"	"9"	"6"	"2"	"4"	"10"	"647"	""	""	""
"24"	";ksx %&"	"2899"	"102"	"119"	"992"	"2460"	"84"	"76"	"95"	"48"	"140"	"7015"	""	""	""
"25"	"2nd Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
