"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 59-MUZAFFARPUR  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY                                                                             273508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT 59-MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PS NO."	"DEVI LAL"	"VINITA VIJAY"	"SAMEER KUMAR"	"ATIRANJAN PR. SRIVA."	"JAGDISH VECHAIN"	"DEEPAK KUMAR"	"REYAZ AHMAD"	"ARVIND KUMAR"	"KISHORI LAL AGRAWAL"	"GAYASUDDIN"	"BALENDRA SINGH"	"MOHAMMAD NAZEEB KADARI"	"RAM NARESH PRASAD"	"VIJENDRA CHOUDHARY"	"SIYA SHARAN PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"6"	"1"	"4"	"35"	"28"	"0"	"1"	"0"	"1"	"16"	"3"	"1"	"0"	"0"	"1"	"182"	"11"	"283"	""	"283"	""	""
"7"	"2"	"2"	"125"	"6"	"1"	"1"	"0"	"2"	"23"	"0"	"1"	"0"	"0"	"2"	"269"	"11"	"443"	""	"443"	""	""
"8"	"3"	"13"	"100"	"29"	"4"	"3"	"0"	"2"	"11"	"1"	"1"	"0"	"1"	"6"	"335"	"31"	"537"	""	"537"	""	""
"9"	"4"	"12"	"83"	"27"	"3"	"4"	"1"	"4"	"16"	"2"	"0"	"1"	"2"	"6"	"316"	"58"	"535"	""	"535"	""	""
"10"	"4A"	"8"	"38"	"6"	"1"	"0"	"0"	"0"	"18"	"2"	"0"	"0"	"1"	"1"	"220"	"11"	"306"	""	"306"	""	""
"11"	"5"	"10"	"90"	"21"	"0"	"0"	"1"	"0"	"24"	"4"	"0"	"0"	"0"	"1"	"325"	"19"	"495"	""	"495"	""	""
"12"	"6"	"9"	"119"	"3"	"0"	"0"	"1"	"0"	"67"	"1"	"1"	"0"	"1"	"0"	"268"	"6"	"476"	""	"476"	""	""
"13"	"7"	"0"	"73"	"4"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"120"	"2"	"206"	""	"206"	""	""
"14"	"8"	"11"	"125"	"12"	"1"	"0"	"0"	"1"	"7"	"1"	"3"	"3"	"0"	"7"	"398"	"50"	"619"	""	"619"	""	""
"15"	"9"	"11"	"92"	"13"	"0"	"1"	"1"	"3"	"46"	"2"	"2"	"1"	"1"	"9"	"436"	"36"	"654"	""	"654"	""	""
"16"	"10"	"7"	"181"	"3"	"1"	"2"	"1"	"6"	"17"	"1"	"0"	"0"	"0"	"4"	"265"	"19"	"507"	""	"507"	""	""
"17"	"11"	"9"	"305"	"11"	"1"	"0"	"0"	"4"	"17"	"1"	"0"	"0"	"1"	"4"	"292"	"10"	"655"	""	"655"	""	""
"18"	"12"	"0"	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"33"	"2"	"160"	""	"160"	""	""
"19"	"13"	"12"	"202"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"78"	"3"	"302"	""	"302"	""	""
"20"	"13A"	"8"	"99"	"7"	"0"	"0"	"0"	"0"	"10"	"2"	"0"	"1"	"0"	"2"	"155"	"14"	"298"	""	"298"	""	""
"21"	"14"	"7"	"230"	"4"	"1"	"2"	"0"	"3"	"19"	"3"	"5"	"3"	"1"	"6"	"224"	"32"	"540"	""	"540"	""	""
"22"	"15"	"15"	"212"	"4"	"2"	"3"	"0"	"2"	"6"	"2"	"3"	"0"	"1"	"6"	"241"	"34"	"531"	""	"531"	""	""
"23"	"16"	"3"	"120"	"7"	"0"	"1"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"1"	"193"	"4"	"348"	""	"348"	""	""
"24"	"17"	"13"	"239"	"14"	"1"	"1"	"0"	"1"	"11"	"0"	"0"	"1"	"2"	"2"	"135"	"21"	"441"	""	"441"	""	""
"25"	"18"	"33"	"135"	"9"	"1"	"1"	"0"	"1"	"24"	"2"	"1"	"1"	"0"	"1"	"204"	"10"	"423"	""	"423"	""	""
"26"	"19"	"5"	"217"	"5"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"144"	"9"	"387"	""	"387"	""	""
"27"	"20"	"1"	"32"	"4"	"0"	"1"	"1"	"0"	"9"	"0"	"0"	"1"	"0"	"0"	"128"	"2"	"179"	""	"179"	""	""
"28"	"21"	"9"	"201"	"5"	"0"	"0"	"0"	"0"	"41"	"2"	"0"	"0"	"1"	"1"	"206"	"13"	"479"	""	"479"	""	""
"29"	"22"	"6"	"206"	"8"	"1"	"1"	"0"	"0"	"24"	"0"	"0"	"2"	"0"	"2"	"187"	"9"	"446"	""	"446"	""	""
"30"	"23"	"8"	"114"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"3"	"237"	""	"237"	""	""
"31"	"24"	"16"	"286"	"19"	"1"	"5"	"0"	"2"	"23"	"2"	"1"	"0"	"1"	"9"	"253"	"12"	"630"	""	"630"	""	""
"32"	"25"	"0"	"79"	"6"	"2"	"0"	"1"	"2"	"43"	"2"	"0"	"0"	"0"	"0"	"141"	"10"	"286"	""	"286"	""	""
"33"	"25A"	"0"	"90"	"1"	"0"	"0"	"0"	"0"	"41"	"1"	"0"	"1"	"0"	"1"	"145"	"5"	"285"	""	"285"	""	""
"34"	"26"	"3"	"111"	"8"	"0"	"0"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"3"	"131"	"14"	"276"	""	"276"	""	""
"35"	"27"	"3"	"106"	"4"	"0"	"0"	"0"	"0"	"7"	"2"	"0"	"1"	"0"	"1"	"89"	"1"	"214"	""	"214"	""	""
"36"	"28"	"25"	"282"	"3"	"2"	"2"	"0"	"4"	"23"	"3"	"0"	"0"	"0"	"5"	"171"	"16"	"536"	""	"536"	""	""
"37"	"29"	"1"	"73"	"6"	"0"	"1"	"0"	"1"	"30"	"0"	"0"	"0"	"0"	"1"	"78"	"5"	"196"	""	"196"	""	""
"38"	"PS NO."	"DEVI LAL"	"VINITA VIJAY"	"SAMEER KUMAR"	"ATIRANJAN PR. SRIVA."	"JAGDISH VECHAIN"	"DEEPAK KUMAR"	"REYAZ AHMAD"	"ARVIND KUMAR"	"KISHORI LAL AGRAWAL"	"GAYASUDDIN"	"BALENDRA SINGH"	"MOHAMMAD NAZEEB KADARI"	"RAM NARESH PRASAD"	"VIJENDRA CHOUDHARY"	"SIYA SHARAN PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"39"	"30"	"0"	"81"	"9"	"0"	"0"	"0"	"1"	"19"	"2"	"0"	"0"	"0"	"1"	"158"	"13"	"284"	""	"284"	""	""
"40"	"31"	"6"	"91"	"3"	"2"	"1"	"1"	"1"	"13"	"1"	"1"	"0"	"1"	"2"	"66"	"7"	"196"	""	"196"	""	""
"41"	"31A"	"5"	"107"	"1"	"0"	"0"	"0"	"2"	"14"	"0"	"1"	"0"	"1"	"1"	"82"	"8"	"222"	""	"222"	""	""
"42"	"32"	"3"	"66"	"7"	"0"	"2"	"0"	"1"	"43"	"0"	"0"	"0"	"0"	"1"	"184"	"10"	"317"	""	"317"	""	""
"43"	"32A"	"1"	"56"	"3"	"0"	"0"	"0"	"2"	"35"	"2"	"1"	"1"	"0"	"3"	"183"	"10"	"297"	""	"297"	""	""
"44"	"33"	"13"	"264"	"15"	"2"	"3"	"2"	"3"	"12"	"1"	"1"	"0"	"0"	"1"	"109"	"19"	"445"	""	"445"	""	""
"45"	"34"	"10"	"228"	"12"	"2"	"1"	"2"	"3"	"43"	"0"	"1"	"1"	"2"	"4"	"161"	"16"	"486"	""	"486"	""	""
"46"	"35"	"12"	"242"	"15"	"1"	"1"	"0"	"4"	"33"	"3"	"0"	"0"	"0"	"1"	"132"	"10"	"454"	""	"454"	""	""
"47"	"36"	"5"	"81"	"5"	"1"	"1"	"0"	"1"	"30"	"1"	"1"	"0"	"0"	"2"	"241"	"8"	"377"	""	"377"	""	""
"48"	"37"	"1"	"50"	"3"	"2"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"126"	"10"	"202"	""	"202"	""	""
"49"	"37A"	"10"	"38"	"13"	"3"	"5"	"0"	"0"	"12"	"1"	"0"	"2"	"2"	"5"	"134"	"12"	"237"	""	"237"	""	""
"50"	"38"	"7"	"203"	"6"	"0"	"1"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"1"	"192"	"18"	"434"	""	"434"	""	""
"51"	"38A"	"18"	"149"	"6"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"5"	"211"	"8"	"404"	""	"404"	""	""
"52"	"39"	"12"	"153"	"7"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"5"	"6"	"256"	"31"	"475"	""	"475"	""	""
"53"	"39A"	"1"	"71"	"23"	"0"	"3"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"191"	"30"	"326"	""	"326"	""	""
"54"	"40"	"10"	"113"	"14"	"2"	"0"	"0"	"0"	"4"	"1"	"1"	"1"	"1"	"9"	"192"	"29"	"377"	""	"377"	""	""
"55"	"40A"	"12"	"66"	"16"	"2"	"0"	"2"	"1"	"2"	"3"	"0"	"6"	"5"	"8"	"272"	"41"	"436"	""	"436"	""	""
"56"	"41"	"8"	"44"	"24"	"1"	"1"	"0"	"0"	"2"	"5"	"1"	"0"	"1"	"3"	"314"	"11"	"415"	""	"415"	""	""
"57"	"42"	"7"	"70"	"5"	"0"	"1"	"0"	"0"	"4"	"9"	"0"	"1"	"2"	"3"	"339"	"21"	"462"	""	"462"	""	""
"58"	"43"	"20"	"157"	"13"	"2"	"1"	"26"	"1"	"7"	"2"	"1"	"5"	"2"	"4"	"72"	"20"	"333"	""	"333"	""	""
"59"	"44"	"14"	"141"	"18"	"2"	"1"	"48"	"2"	"9"	"1"	"3"	"0"	"0"	"8"	"138"	"25"	"410"	""	"410"	""	""
"60"	"45"	"12"	"83"	"25"	"2"	"0"	"0"	"0"	"4"	"1"	"2"	"0"	"0"	"1"	"230"	"17"	"377"	""	"377"	""	""
"61"	"46"	"8"	"77"	"16"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"1"	"0"	"2"	"171"	"14"	"295"	""	"295"	""	""
"62"	"47"	"11"	"70"	"7"	"1"	"1"	"0"	"1"	"3"	"1"	"0"	"1"	"3"	"2"	"223"	"23"	"347"	""	"347"	""	""
"63"	"48"	"2"	"65"	"7"	"0"	"0"	"0"	"2"	"19"	"2"	"0"	"0"	"1"	"3"	"258"	"21"	"380"	""	"380"	""	""
"64"	"49"	"0"	"97"	"13"	"0"	"0"	"0"	"0"	"8"	"2"	"0"	"0"	"0"	"3"	"272"	"8"	"403"	""	"403"	""	""
"65"	"50"	"12"	"60"	"3"	"4"	"4"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"5"	"185"	"37"	"319"	""	"319"	""	""
"66"	"50A"	"3"	"96"	"18"	"0"	"2"	"1"	"0"	"3"	"1"	"0"	"2"	"0"	"2"	"161"	"13"	"302"	""	"302"	""	""
"67"	"51"	"10"	"109"	"5"	"4"	"3"	"2"	"2"	"17"	"5"	"2"	"2"	"4"	"8"	"392"	"56"	"621"	""	"621"	""	""
"68"	"52"	"1"	"30"	"3"	"0"	"0"	"0"	"0"	"18"	"0"	"0"	"0"	"0"	"2"	"113"	"9"	"176"	""	"176"	""	""
"69"	"52A"	"5"	"51"	"1"	"0"	"1"	"0"	"1"	"19"	"4"	"0"	"0"	"1"	"3"	"251"	"23"	"360"	""	"360"	""	""
"70"	"53"	"10"	"191"	"2"	"0"	"1"	"2"	"4"	"21"	"0"	"0"	"0"	"1"	"2"	"93"	"13"	"340"	""	"340"	""	""
"71"	"53A"	"2"	"90"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"29"	"4"	"130"	""	"130"	""	""
"72"	"54"	"4"	"107"	"12"	"0"	"1"	"1"	"1"	"6"	"1"	"3"	"0"	"2"	"9"	"253"	"24"	"424"	""	"424"	""	""
"73"	"55"	"7"	"70"	"46"	"0"	"3"	"2"	"3"	"16"	"1"	"1"	"2"	"2"	"5"	"250"	"29"	"437"	""	"437"	""	""
"74"	"56"	"3"	"122"	"15"	"0"	"3"	"0"	"3"	"25"	"1"	"0"	"1"	"0"	"3"	"194"	"13"	"383"	""	"383"	""	""
"75"	"PS NO."	"DEVI LAL"	"VINITA VIJAY"	"SAMEER KUMAR"	"ATIRANJAN PR. SRIVA."	"JAGDISH VECHAIN"	"DEEPAK KUMAR"	"REYAZ AHMAD"	"ARVIND KUMAR"	"KISHORI LAL AGRAWAL"	"GAYASUDDIN"	"BALENDRA SINGH"	"MOHAMMAD NAZEEB KADARI"	"RAM NARESH PRASAD"	"VIJENDRA CHOUDHARY"	"SIYA SHARAN PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"76"	"57"	"9"	"84"	"82"	"3"	"3"	"1"	"0"	"5"	"1"	"2"	"0"	"1"	"3"	"162"	"17"	"373"	""	"373"	""	""
"77"	"57A"	"12"	"59"	"35"	"0"	"2"	"1"	"1"	"13"	"0"	"1"	"1"	"2"	"4"	"92"	"11"	"234"	""	"234"	""	""
"78"	"58"	"1"	"108"	"17"	"2"	"1"	"0"	"1"	"43"	"1"	"1"	"0"	"1"	"2"	"142"	"10"	"330"	""	"330"	""	""
"79"	"58A"	"2"	"91"	"12"	"2"	"0"	"0"	"0"	"31"	"0"	"0"	"0"	"0"	"1"	"163"	"7"	"309"	""	"309"	""	""
"80"	"59"	"10"	"204"	"28"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"158"	"11"	"418"	""	"418"	""	""
"81"	"60"	"5"	"244"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"68"	"6"	"336"	""	"336"	""	""
"82"	"61"	"17"	"178"	"10"	"1"	"1"	"2"	"1"	"22"	"3"	"0"	"0"	"1"	"3"	"288"	"34"	"561"	""	"561"	""	""
"83"	"62"	"4"	"257"	"3"	"1"	"0"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"3"	"183"	"15"	"476"	""	"476"	""	""
"84"	"63"	"10"	"118"	"8"	"4"	"0"	"2"	"0"	"21"	"0"	"2"	"0"	"1"	"2"	"309"	"26"	"503"	""	"503"	""	""
"85"	"64"	"7"	"185"	"6"	"0"	"1"	"0"	"5"	"1"	"0"	"0"	"0"	"1"	"2"	"186"	"9"	"403"	""	"403"	""	""
"86"	"65"	"5"	"201"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"7"	"304"	""	"304"	""	""
"87"	"66"	"9"	"148"	"31"	"6"	"6"	"0"	"2"	"2"	"2"	"2"	"1"	"3"	"6"	"219"	"21"	"458"	""	"458"	""	""
"88"	"67"	"20"	"64"	"1"	"1"	"1"	"0"	"1"	"25"	"0"	"1"	"0"	"1"	"1"	"256"	"12"	"384"	""	"384"	""	""
"89"	"68"	"1"	"81"	"4"	"2"	"3"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"6"	"240"	"20"	"361"	""	"361"	""	""
"90"	"69"	"8"	"74"	"2"	"1"	"6"	"1"	"3"	"13"	"3"	"0"	"1"	"0"	"3"	"351"	"21"	"487"	""	"487"	""	""
"91"	"70"	"5"	"92"	"4"	"0"	"4"	"2"	"2"	"7"	"1"	"1"	"0"	"0"	"2"	"313"	"25"	"458"	""	"458"	""	""
"92"	"71"	"13"	"121"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"1"	"5"	"239"	"15"	"402"	""	"402"	""	""
"93"	"71A"	"22"	"136"	"10"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"95"	"10"	"279"	""	"279"	""	""
"94"	"72"	"7"	"149"	"5"	"0"	"0"	"3"	"0"	"4"	"1"	"1"	"3"	"1"	"3"	"145"	"8"	"330"	""	"330"	""	""
"95"	"73"	"5"	"183"	"3"	"0"	"0"	"0"	"3"	"8"	"0"	"0"	"1"	"1"	"2"	"165"	"12"	"383"	""	"383"	""	""
"96"	"74"	"19"	"192"	"3"	"0"	"1"	"1"	"1"	"2"	"0"	"3"	"1"	"1"	"1"	"136"	"13"	"374"	""	"374"	""	""
"97"	"75"	"28"	"189"	"30"	"1"	"4"	"1"	"5"	"11"	"2"	"1"	"0"	"1"	"1"	"277"	"13"	"564"	""	"564"	""	""
"98"	"76"	"9"	"195"	"1"	"0"	"5"	"3"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"165"	"18"	"401"	""	"401"	""	""
"99"	"77"	"8"	"274"	"3"	"0"	"0"	"0"	"2"	"10"	"2"	"0"	"0"	"0"	"1"	"221"	"3"	"524"	""	"524"	""	""
"100"	"78"	"7"	"109"	"3"	"0"	"1"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"1"	"214"	"8"	"350"	""	"350"	""	""
"101"	"79"	"5"	"124"	"5"	"0"	"0"	"0"	"1"	"9"	"0"	"0"	"0"	"1"	"3"	"272"	"7"	"427"	""	"427"	""	""
"102"	"80"	"5"	"46"	"7"	"1"	"1"	"1"	"1"	"24"	"1"	"0"	"1"	"0"	"4"	"210"	"14"	"316"	""	"316"	""	""
"103"	"80A"	"4"	"37"	"4"	"1"	"0"	"1"	"2"	"43"	"2"	"0"	"0"	"1"	"4"	"237"	"18"	"354"	""	"354"	""	""
"104"	"81"	"4"	"40"	"13"	"1"	"1"	"0"	"5"	"138"	"1"	"0"	"1"	"0"	"6"	"336"	"21"	"567"	""	"567"	""	""
"105"	"82"	"1"	"20"	"14"	"0"	"0"	"0"	"0"	"125"	"1"	"0"	"0"	"0"	"1"	"141"	"8"	"311"	""	"311"	""	""
"106"	"82A"	"1"	"13"	"3"	"1"	"2"	"0"	"1"	"20"	"0"	"0"	"0"	"1"	"0"	"155"	"9"	"206"	""	"206"	""	""
"107"	"83"	"32"	"156"	"8"	"0"	"2"	"2"	"4"	"33"	"1"	"2"	"1"	"5"	"7"	"242"	"21"	"516"	""	"516"	""	""
