"fuokZpu.lapkyu.fu.e.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"pdz&izFke        fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"8"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  ssussu"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"9"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"10"	"1"	"23"	""	"6"	"135"	"282"	"11"	"10"	"6"	"473"	"-"	"473"	""
"11"	"2"	"46"	""	"18"	"309"	"153"	"21"	"6"	"9"	"562"	"-"	"562"	""
"12"	"3"	"102"	""	"20"	"156"	"134"	"12"	"10"	"9"	"443"	"-"	"443"	""
"13"	"4"	"117"	""	"20"	"40"	"202"	"10"	"8"	"7"	"404"	"-"	"404"	""
"14"	"5"	"100"	""	"28"	"207"	"91"	"9"	"8"	"11"	"454"	"-"	"454"	""
"15"	"6"	"60"	""	"51"	"136"	"137"	"10"	"12"	"17"	"423"	"-"	"423"	""
"16"	"7"	"62"	""	"13"	"193"	"69"	"9"	"5"	"11"	"362"	"-"	"362"	""
"17"	"8"	"20"	""	"25"	"47"	"303"	"9"	"11"	"22"	"437"	"-"	"437"	""
