"izk.i....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"¼fu;e  56(7)  nsf[k,½ vfUre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No.          1                                                                  lHkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy la[;k &   2,14,138"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"6"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"7"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"8"	"1"	"84"	"13"	"303"	"31"	"0"	"3"	"2"	"6"	"2"	"444"	"0"	"444"	"0"
"9"	"2"	"273"	"6"	"96"	"39"	"3"	"3"	"3"	"4"	"10"	"437"	"0"	"437"	"0"
"10"	"3"	"114"	"11"	"430"	"50"	"0"	"1"	"1"	"3"	"5"	"615"	"0"	"615"	"0"
"11"	"4"	"112"	"60"	"382"	"115"	"1"	"2"	"6"	"10"	"6"	"694"	"0"	"694"	"0"
"12"	"5"	"207"	"8"	"316"	"64"	"5"	"4"	"10"	"10"	"11"	"635"	"0"	"635"	"0"
"13"	"6"	"237"	"3"	"49"	"179"	"5"	"4"	"0"	"1"	"1"	"479"	"0"	"479"	"0"
"14"	"7"	"84"	"40"	"252"	"19"	"2"	"5"	"4"	"6"	"0"	"412"	"0"	"412"	"0"
"15"	"7 d"	"295"	"24"	"30"	"0"	"0"	"0"	"0"	"4"	"1"	"354"	"0"	"354"	"0"
"16"	"8"	"144"	"2"	"248"	"46"	"2"	"2"	"1"	"58"	"11"	"514"	"0"	"514"	"0"
"17"	"9"	"266"	"51"	"28"	"16"	"1"	"3"	"0"	"74"	"5"	"444"	"0"	"444"	"0"
"18"	"10"	"26"	"93"	"373"	"56"	"0"	"0"	"0"	"3"	"3"	"554"	"0"	"554"	"0"
