"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"(CHAPTER XIV, PARA 2.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET ( SEE RULE 56 C (2) (C) )"	""	""	""	""	""	""	""	""	""	""	""
"3"	"LECTION TO THE HOUSE OF THE LEGISLATIVE ASSEMBLY FROM THE 208 - BIKRAMGANJ ASSEMBLY CONSTITUENC PART I"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No of Electors in Assembly Constituency :- 222641"	""	""	""	""	""	""	""	""	""	""	""
"5"	"FINAL"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly :- 208 - BIKRAMGANJ"	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"8"	""	"Akhalaqu e Ahmad"	"Ashok Kumar singh (Dalmiya
Nagar)"	"Keshav Prasad Singh"	"Jay kumar Singh"	"Dinesh Kumar"	"Harendra Singh"	"Ashok Kumar singh(Vill - Karma)"	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"10"	"1"	"151"	"17"	"4"	"191"	"5"	"2"	"10"	"380"	"0"	"380"	"0"
"11"	"2"	"71"	"204"	"9"	"72"	"3"	"3"	"6"	"368"	"0"	"368"	"0"
"12"	"3"	"245"	"63"	"7"	"201"	"10"	"14"	"5"	"545"	"0"	"545"	"0"
"13"	"4"	"248"	"33"	"1"	"61"	"2"	"5"	"3"	"353"	"0"	"353"	"0"
"14"	"5"	"125"	"13"	"10"	"115"	"0"	"1"	"1"	"265"	"0"	"265"	"0"
"15"	"6"	"260"	"36"	"37"	"243"	"7"	"7"	"12"	"602"	"0"	"602"	"0"
"16"	"7"	"90"	"23"	"37"	"94"	"7"	"201"	"19"	"471"	"0"	"471"	"0"
"17"	"8"	"38"	"13"	"11"	"49"	"9"	"453"	"19"	"592"	"0"	"592"	"0"
"18"	"9"	"9"	"1"	"156"	"191"	"4"	"53"	"2"	"416"	"0"	"416"	"0"
"19"	"10"	"18"	"66"	"28"	"137"	"3"	"6"	"4"	"262"	"0"	"262"	"0"
"20"	"11"	"174"	"52"	"213"	"162"	"53"	"77"	"30"	"761"	"0"	"761"	"0"
"21"	"12"	"195"	"1"	"33"	"303"	"3"	"34"	"6"	"575"	"0"	"575"	"0"
"22"	"13"	"201"	"3"	"49"	"3"	"3"	"86"	"6"	"351"	"0"	"351"	"0"
"23"	"14"	"18"	"23"	"35"	"322"	"2"	"0"	"1"	"401"	"0"	"401"	"0"
"24"	"15"	"130"	"27"	"10"	"196"	"10"	"18"	"16"	"407"	"0"	"407"	"0"
