"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"3"	""	"1
JAGDANAND SINGH"	"2
BABAR KHAN"	"3
MALTI GUPTA"	"4
RAM PRATAP SINGH"	"5
RABINDRA KUMAR ROY"	""	""	""	""
"4"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"5"	"1"	"410"	"38 "	"18"	"11"	"7"	"484"	"0"	"484"	"0"
"6"	"2"	"283"	"16 "	"11"	"209"	"8"	"527"	"0"	"527"	"0"
"7"	"3"	"242"	"45 "	"23"	"24"	"21"	"355"	"0"	"355"	"0"
"8"	"3 A"	"185"	"46 "	"8"	"14"	"4"	"257"	"0"	"257"	"0"
"9"	"4"	"106"	"19 "	"7"	"193"	"11"	"336"	"0"	"336"	"0"
"10"	"5"	"349"	"55 "	"9"	"249"	"4"	"666"	"0"	"666"	"0"
"11"	"6"	"292"	"43 "	"34"	"295"	"14"	"678"	"0"	"678"	"0"
"12"	"7"	"174"	"40 "	"36"	"208"	"29"	"487"	"0"	"487"	"0"
"13"	"8"	"251"	"184"	"15"	"40"	"18"	"508"	"0"	"508"	"0"
"14"	"9"	"126"	"122"	"11"	"309"	"17"	"585"	"0"	"585"	"0"
"15"	"10 "	"316"	"68 "	"34"	"174"	"8"	"600"	"0"	"600"	"0"
"16"	"11 "	"199"	"11 "	"19"	"400"	"26"	"655"	"0"	"655"	"0"
"17"	"12 "	"385"	"76 "	"64"	"129"	"14"	"668"	"0"	"668"	"0"
"18"	"13 "	"101"	"4"	"0"	"2"	"3"	"110"	"0"	"110"	"0"
"19"	"TOTAL"	"3419"	"767"	"289"	"2257"	"184"	"6916"	"0"	"6916"	"0"
"20"	"PART - I"	""	""	""	""	""	""	""	""	""
"21"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"22"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"23"	""	"1
JAGDANAND SINGH"	"2
BABAR KHAN"	"3
MALTI GUPTA"	"4
RAM PRATAP SINGH"	"5
RABINDRA KUMAR ROY"	""	""	""	""
"24"	"BF"	"3419"	"767"	"289"	"2257"	"184"	"6916"	"0"	"6916"	"0"
"25"	"14 "	"452"	"20 "	"66"	"64"	"30"	"632"	"0"	"632"	"0"
"26"	"15 "	"313"	"32 "	"24"	"102"	"24"	"495"	"0"	"495"	"0"
"27"	"16 "	"198"	"15 "	"19"	"332"	"30"	"594"	"0"	"594"	"0"
"28"	"17 "	"230"	"26 "	"19"	"249"	"5"	"529"	"0"	"529"	"0"
"29"	"18 "	"221"	"43 "	"68"	"374"	"19"	"725"	"0"	"725"	"0"
"30"	"19 "	"380"	"23 "	"73"	"51"	"12"	"539"	"0"	"539"	"0"
"31"	"20 "	"180"	"59 "	"149"	"252"	"32"	"672"	"0"	"672"	"0"
"32"	"21 "	"327"	"21 "	"39"	"85"	"22"	"494"	"0"	"494"	"0"
"33"	"22 "	"313"	"26 "	"59"	"70"	"8"	"476"	"0"	"476"	"0"
"34"	"22 A"	"117"	"15 "	"12"	"198"	"13"	"355"	"0"	"355"	"0"
