"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the  237-Fatehpur  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……          1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"6"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""	""
"8"	"1"	"1"	""	"92"	""	""	"4"	""	""	"2"	""	""	""	"27"	""	""	""	"1"	""	""	""	"14"	""	""	""	"1"	""	""	""	"3"	""	""	""	"144"	""	""	""	"0"	""	""	""	"144"	""	""	""	""	""	""	""	""	""
"9"	"2"	"2"	""	"19"	""	""	"0"	""	""	"4"	""	""	""	"57"	""	""	""	"3"	""	""	""	"26"	""	""	""	"0"	""	""	""	"5"	""	""	""	"114"	""	""	""	"0"	""	""	""	"114"	""	""	""	""	""	""	""	""	""
"10"	"3"	"3"	""	"53"	""	""	"13"	""	""	"80"	""	""	""	"138"	""	""	""	"6"	""	""	""	"3"	""	""	""	"3"	""	""	""	"9"	""	""	""	"305"	""	""	""	"0"	""	""	""	"305"	""	""	""	""	""	""	""	""	""
"11"	"4"	"4"	""	"39"	""	""	"6"	""	""	"27"	""	""	""	"166"	""	""	""	"16"	""	""	""	"66"	""	""	""	"4"	""	""	""	"12"	""	""	""	"336"	""	""	""	"0"	""	""	""	"336"	""	""	""	""	""	""	""	""	""
"12"	"5"	"5"	""	"42"	""	""	"4"	""	""	"75"	""	""	""	"44"	""	""	""	"4"	""	""	""	"3"	""	""	""	"1"	""	""	""	"5"	""	""	""	"178"	""	""	""	"0"	""	""	""	"178"	""	""	""	""	""	""	""	""	""
"13"	"6"	"6"	""	"67"	""	""	"6"	""	""	"7"	""	""	""	"12"	""	""	""	"1"	""	""	""	"16"	""	""	""	"4"	""	""	""	"1"	""	""	""	"114"	""	""	""	"0"	""	""	""	"114"	""	""	""	""	""	""	""	""	""
"14"	"7"	"7"	""	"91"	""	""	"7"	""	""	"10"	""	""	""	"131"	""	""	""	"14"	""	""	""	"7"	""	""	""	"7"	""	""	""	"16"	""	""	""	"283"	""	""	""	"0"	""	""	""	"283"	""	""	""	""	""	""	""	""	""
"15"	"8"	"8"	""	"149"	""	""	"4"	""	""	"5"	""	""	""	"31"	""	""	""	"7"	""	""	""	"1"	""	""	""	"0"	""	""	""	"5"	""	""	""	"202"	""	""	""	"0"	""	""	""	"202"	""	""	""	""	""	""	""	""	""
"16"	"9"	"9"	""	"126"	""	""	"18"	""	""	"6"	""	""	""	"11"	""	""	""	"2"	""	""	""	"16"	""	""	""	"1"	""	""	""	"0"	""	""	""	"180"	""	""	""	"0"	""	""	""	"180"	""	""	""	""	""	""	""	""	""
