"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 63-MINAPUR  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 63-MINAPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT…63-Minapur."	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"194195"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"PS NO."	"KEDAR SAHANI"	"JAGDISH PRASAD GUPTA"	"DINESH PRASAD"	"VINDESHWAR SAH"	"HIND KESARI YADAV"	"RAM UDESH ROY"	"JAWAHAR RAM"	"SAHDEO MANJHI"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"
"7"	"1"	"13"	"44"	"355"	"23"	"53"	"14"	"14"	"15"	"531"	""	"531"	""
"8"	"2"	"7"	"51"	"401"	"17"	"97"	"30"	"11"	"19"	"633"	""	"633"	""
"9"	"3"	"20"	"30"	"174"	"11"	"48"	"21"	"12"	"10"	"326"	""	"326"	""
"10"	"4"	"4"	"3"	"153"	"7"	"52"	"10"	"7"	"18"	"254"	""	"254"	""
"11"	"5"	"10"	"21"	"213"	"27"	"133"	"14"	"11"	"19"	"448"	""	"448"	""
"12"	"6"	"19"	"26"	"389"	"9"	"155"	"13"	"14"	"9"	"634"	""	"634"	""
"13"	"7"	"10"	"44"	"149"	"12"	"175"	"17"	"22"	"34"	"463"	""	"463"	""
"14"	"8"	"4"	"8"	"69"	"7"	"112"	"7"	"4"	"2"	"213"	""	"213"	""
"15"	"9"	"11"	"132"	"190"	"35"	"219"	"23"	"14"	"18"	"642"	""	"642"	""
"16"	"10"	"10"	"160"	"163"	"9"	"225"	"27"	"13"	"26"	"633"	""	"633"	""
"17"	"11"	"11"	"149"	"322"	"17"	"21"	"8"	"7"	"10"	"545"	""	"545"	""
"18"	"12"	"5"	"229"	"171"	"8"	"12"	"6"	"19"	"14"	"464"	""	"464"	""
"19"	"13"	"21"	"215"	"205"	"11"	"47"	"6"	"14"	"9"	"528"	""	"528"	""
"20"	"14"	"13"	"196"	"188"	"10"	"7"	"4"	"13"	"8"	"439"	""	"439"	""
"21"	"15"	"9"	"135"	"235"	"5"	"1"	"4"	"6"	"4"	"399"	""	"399"	""
"22"	"16"	"30"	"157"	"204"	"12"	"188"	"25"	"19"	"8"	"643"	""	"643"	""
"23"	"17"	"5"	"94"	"58"	"3"	"39"	"7"	"3"	"5"	"214"	""	"214"	""
"24"	"18"	"15"	"36"	"208"	"9"	"71"	"12"	"9"	"18"	"378"	""	"378"	""
"25"	"19"	"7"	"33"	"324"	"7"	"110"	"20"	"10"	"14"	"525"	""	"525"	""
"26"	"20"	"15"	"31"	"145"	"26"	"349"	"25"	"19"	"42"	"652"	""	"652"	""
"27"	"21"	"12"	"34"	"245"	"10"	"129"	"6"	"6"	"19"	"461"	""	"461"	""
"28"	"22"	"13"	"80"	"435"	"8"	"11"	"4"	"6"	"5"	"562"	""	"562"	""
"29"	"23"	"9"	"113"	"413"	"10"	"61"	"16"	"26"	"27"	"675"	""	"675"	""
"30"	"24"	"10"	"29"	"270"	"7"	"213"	"13"	"10"	"8"	"560"	""	"560"	""
"31"	"25"	"20"	"5"	"17"	"8"	"229"	"10"	"12"	"19"	"320"	""	"320"	""
"32"	"26"	"15"	"30"	"279"	"6"	"73"	"14"	"17"	"24"	"458"	""	"458"	""
"33"	"27"	"6"	"14"	"104"	"10"	"222"	"15"	"9"	"7"	"387"	""	"387"	""
"34"	"28"	"7"	"41"	"44"	"6"	"290"	"20"	"13"	"22"	"443"	""	"443"	""
"35"	"29"	"6"	"56"	"84"	"2"	"99"	"6"	"4"	"9"	"266"	""	"266"	""
"36"	"30"	"2"	"32"	"29"	"7"	"144"	"9"	"10"	"9"	"242"	""	"242"	""
"37"	"31"	"14"	"10"	"30"	"7"	"284"	"17"	"9"	"22"	"393"	""	"393"	""
"38"	"31A"	"6"	"12"	"223"	"5"	"43"	"11"	"7"	"8"	"315"	""	"315"	""
"39"	"32"	"9"	"38"	"98"	"7"	"246"	"12"	"10"	"10"	"430"	""	"430"	""
"40"	"33"	"9"	"152"	"128"	"6"	"229"	"22"	"11"	"6"	"563"	""	"563"	""
"41"	"34"	"14"	"42"	"306"	"12"	"60"	"8"	"15"	"22"	"479"	""	"479"	""
"42"	"35"	"12"	"62"	"89"	"9"	"129"	"15"	"10"	"10"	"336"	""	"336"	""
"43"	"35A"	"2"	"27"	"60"	"0"	"105"	"4"	"1"	"2"	"201"	""	"201"	""
"44"	"36"	"2"	"22"	"110"	"5"	"80"	"8"	"9"	"7"	"243"	""	"243"	""
"45"	"37"	"8"	"42"	"305"	"12"	"202"	"12"	"12"	"8"	"601"	""	"601"	""
"46"	"38"	"8"	"40"	"127"	"11"	"139"	"14"	"21"	"14"	"374"	""	"374"	""
"47"	"39"	"15"	"28"	"164"	"5"	"122"	"11"	"3"	"5"	"353"	""	"353"	""
"48"	"40"	"2"	"18"	"239"	"7"	"111"	"20"	"10"	"7"	"414"	""	"414"	""
"49"	"PS NO."	"KEDAR SAHANI"	"JAGDISH PRASAD GUPTA"	"DINESH PRASAD"	"VINDESHWAR SAH"	"HIND KESARI YADAV"	"RAM UDESH ROY"	"JAWAHAR RAM"	"SAHDEO MANJHI"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"
"50"	"41"	"47"	"86"	"490"	"18"	"76"	"24"	"10"	"22"	"773"	""	"773"	""
"51"	"42"	"9"	"56"	"154"	"10"	"159"	"16"	"11"	"12"	"427"	""	"427"	""
"52"	"43"	"8"	"23"	"200"	"5"	"197"	"10"	"8"	"13"	"464"	""	"464"	""
"53"	"44"	"24"	"32"	"287"	"6"	"208"	"13"	"6"	"6"	"582"	""	"582"	""
"54"	"45"	"3"	"5"	"97"	"3"	"155"	"11"	"5"	"4"	"283"	""	"283"	""
"55"	"46"	"2"	"86"	"259"	"13"	"60"	"17"	"7"	"6"	"450"	""	"450"	""
"56"	"47"	"6"	"0"	"20"	"8"	"313"	"13"	"5"	"3"	"368"	""	"368"	""
"57"	"48"	"7"	"29"	"307"	"17"	"134"	"18"	"20"	"38"	"570"	""	"570"	""
"58"	"49"	"10"	"58"	"359"	"12"	"83"	"6"	"6"	"6"	"540"	""	"540"	""
"59"	"49A"	"4"	"27"	"233"	"11"	"20"	"8"	"11"	"8"	"322"	""	"322"	""
"60"	"50"	"9"	"30"	"212"	"11"	"158"	"21"	"13"	"43"	"497"	""	"497"	""
"61"	"51"	"26"	"16"	"262"	"14"	"161"	"13"	"8"	"9"	"509"	""	"509"	""
"62"	"52"	"45"	"227"	"170"	"4"	"145"	"8"	"11"	"7"	"617"	""	"617"	""
"63"	"53"	"8"	"40"	"430"	"9"	"65"	"12"	"13"	"9"	"586"	""	"586"	""
"64"	"54"	"15"	"89"	"216"	"7"	"67"	"6"	"10"	"16"	"426"	""	"426"	""
"65"	"55"	"14"	"102"	"111"	"20"	"276"	"15"	"21"	"33"	"592"	""	"592"	""
"66"	"56"	"30"	"147"	"129"	"6"	"66"	"6"	"6"	"9"	"399"	""	"399"	""
"67"	"56A"	"11"	"98"	"93"	"5"	"116"	"11"	"12"	"18"	"364"	""	"364"	""
"68"	"57"	"9"	"24"	"99"	"4"	"28"	"8"	"10"	"8"	"190"	""	"190"	""
"69"	"58"	"12"	"17"	"67"	"11"	"353"	"17"	"7"	"9"	"493"	""	"493"	""
"70"	"59"	"7"	"23"	"172"	"7"	"55"	"14"	"11"	"20"	"309"	""	"309"	""
"71"	"60"	"20"	"170"	"273"	"13"	"110"	"8"	"15"	"14"	"623"	""	"623"	""
"72"	"61"	"6"	"4"	"52"	"9"	"335"	"42"	"5"	"10"	"463"	""	"463"	""
"73"	"62"	"11"	"94"	"93"	"9"	"111"	"13"	"8"	"10"	"349"	""	"349"	""
"74"	"63"	"12"	"69"	"206"	"19"	"145"	"12"	"7"	"4"	"474"	""	"474"	""
"75"	"64"	"19"	"39"	"359"	"33"	"102"	"20"	"17"	"21"	"610"	""	"610"	""
"76"	"65"	"14"	"125"	"177"	"13"	"213"	"23"	"31"	"31"	"627"	""	"627"	""
"77"	"66"	"4"	"9"	"42"	"9"	"176"	"15"	"6"	"14"	"275"	""	"275"	""
"78"	"67"	"15"	"7"	"20"	"18"	"336"	"32"	"21"	"15"	"464"	""	"464"	""
"79"	"68"	"5"	"6"	"31"	"4"	"99"	"5"	"4"	"7"	"161"	""	"161"	""
"80"	"69"	"23"	"53"	"379"	"5"	"71"	"14"	"10"	"17"	"572"	""	"572"	""
"81"	"70"	"28"	"104"	"309"	"12"	"44"	"15"	"13"	"15"	"540"	""	"540"	""
"82"	"71"	"8"	"41"	"90"	"5"	"352"	"17"	"3"	"11"	"527"	""	"527"	""
"83"	"72"	"14"	"57"	"265"	"14"	"94"	"8"	"9"	"16"	"477"	""	"477"	""
"84"	"73"	"5"	"13"	"146"	"7"	"39"	"1"	"2"	"1"	"214"	""	"214"	""
"85"	"74"	"14"	"6"	"52"	"9"	"249"	"14"	"13"	"8"	"365"	""	"365"	""
"86"	"75"	"27"	"45"	"173"	"6"	"34"	"9"	"17"	"30"	"341"	""	"341"	""
"87"	"76"	"20"	"48"	"151"	"12"	"76"	"5"	"11"	"3"	"326"	""	"326"	""
"88"	"76A"	"4"	"71"	"41"	"6"	"62"	"3"	"8"	"7"	"202"	""	"202"	""
"89"	"77"	"5"	"14"	"48"	"3"	"500"	"13"	"6"	"2"	"591"	""	"591"	""
"90"	"78"	"4"	"21"	"137"	"9"	"109"	"5"	"16"	"10"	"311"	""	"311"	""
"91"	"79"	"9"	"46"	"289"	"22"	"114"	"19"	"14"	"32"	"545"	""	"545"	""
"92"	"80"	"20"	"42"	"254"	"8"	"64"	"12"	"14"	"9"	"423"	""	"423"	""
"93"	"81"	"10"	"70"	"157"	"13"	"40"	"6"	"22"	"14"	"332"	""	"332"	""
"94"	"82"	"24"	"71"	"173"	"7"	"112"	"3"	"4"	"8"	"402"	""	"402"	""
"95"	"83"	"12"	"70"	"146"	"6"	"94"	"5"	"8"	"5"	"346"	""	"346"	""
"96"	"PS NO."	"KEDAR SAHANI"	"JAGDISH PRASAD GUPTA"	"DINESH PRASAD"	"VINDESHWAR SAH"	"HIND KESARI YADAV"	"RAM UDESH ROY"	"JAWAHAR RAM"	"SAHDEO MANJHI"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"
"97"	"84"	"1"	"9"	"225"	"0"	"29"	"3"	"1"	"1"	"269"	""	"269"	""
"98"	"85"	"1"	"6"	"203"	"1"	"12"	"0"	"0"	"2"	"225"	""	"225"	""
"99"	"86"	"11"	"47"	"199"	"8"	"122"	"11"	"7"	"4"	"409"	""	"409"	""
"100"	"87"	"10"	"22"	"142"	"9"	"154"	"18"	"11"	"21"	"387"	""	"387"	""
"101"	"88"	"2"	"44"	"471"	"7"	"10"	"5"	"5"	"3"	"547"	""	"547"	""
"102"	"89"	"3"	"4"	"82"	"4"	"72"	"10"	"1"	"4"	"180"	""	"180"	""
"103"	"90"	"9"	"9"	"148"	"12"	"326"	"24"	"7"	"8"	"543"	""	"543"	""
"104"	"91"	"15"	"55"	"54"	"7"	"70"	"12"	"8"	"10"	"231"	""	"231"	""
"105"	"92"	"4"	"19"	"185"	"6"	"140"	"7"	"4"	"12"	"377"	""	"377"	""
"106"	"92A"	"11"	"4"	"212"	"3"	"182"	"10"	"1"	"1"	"424"	""	"424"	""
"107"	"93"	"1"	"38"	"451"	"2"	"69"	"6"	"5"	"10"	"582"	""	"582"	""
"108"	"93A"	"9"	"55"	"452"	"10"	"85"	"14"	"24"	"20"	"669"	""	"669"	""
"109"	"94"	"13"	"35"	"179"	"8"	"200"	"14"	"6"	"5"	"460"	""	"460"	""
"110"	"95"	"12"	"50"	"148"	"6"	"135"	"7"	"8"	"5"	"371"	""	"371"	""
"111"	"96"	"9"	"38"	"351"	"5"	"117"	"8"	"9"	"9"	"546"	""	"546"	""
"112"	"97"	"7"	"24"	"248"	"7"	"103"	"13"	"10"	"14"	"426"	""	"426"	""
"113"	"98"	"9"	"30"	"270"	"80"	"82"	"18"	"11"	"20"	"520"	""	"520"	""
"114"	"99"	"20"	"78"	"310"	"32"	"258"	"23"	"20"	"28"	"769"	""	"769"	""
"115"	"100"	"5"	"25"	"227"	"41"	"188"	"21"	"24"	"32"	"563"	""	"563"	""
"116"	"101"	"31"	"200"	"419"	"17"	"86"	"19"	"42"	"23"	"837"	""	"837"	""
"117"	"102"	"28"	"126"	"198"	"14"	"176"	"17"	"16"	"18"	"593"	""	"593"	""
"118"	"103"	"73"	"43"	"75"	"4"	"137"	"7"	"6"	"13"	"358"	""	"358"	""
"119"	"104"	"32"	"30"	"267"	"16"	"185"	"38"	"33"	"46"	"647"	""	"647"	""
"120"	"105"	"13"	"66"	"409"	"8"	"105"	"17"	"22"	"21"	"661"	""	"661"	""
"121"	"106"	"7"	"19"	"482"	"10"	"64"	"11"	"8"	"9"	"610"	""	"610"	""
"122"	"107"	"38"	"57"	"218"	"4"	"202"	"15"	"17"	"10"	"561"	""	"561"	""
"123"	"108"	"10"	"168"	"356"	"8"	"65"	"7"	"16"	"14"	"644"	""	"644"	""
"124"	"109"	"18"	"41"	"500"	"4"	"74"	"13"	"14"	"11"	"675"	""	"675"	""
"125"	"110"	"12"	"56"	"461"	"9"	"185"	"12"	"10"	"9"	"754"	""	"754"	""
"126"	"111"	"11"	"39"	"378"	"26"	"174"	"28"	"18"	"32"	"706"	""	"706"	""
"127"	"112"	"8"	"101"	"247"	"8"	"27"	"18"	"8"	"6"	"423"	""	"423"	""
"128"	"113"	"4"	"88"	"319"	"7"	"76"	"10"	"6"	"3"	"513"	""	"513"	""
"129"	"113A"	"12"	"8"	"136"	"13"	"78"	"6"	"4"	"7"	"264"	""	"264"	""
"130"	"114"	"20"	"68"	"224"	"9"	"116"	"9"	"23"	"5"	"474"	""	"474"	""
"131"	"114A"	"4"	"37"	"256"	"7"	"43"	"11"	"10"	"8"	"376"	""	"376"	""
"132"	"115"	"22"	"126"	"196"	"7"	"48"	"13"	"18"	"11"	"441"	""	"441"	""
"133"	"116"	"9"	"120"	"323"	"8"	"116"	"13"	"16"	"10"	"615"	""	"615"	""
"134"	"117"	"9"	"57"	"200"	"9"	"224"	"11"	"10"	"4"	"524"	""	"524"	""
"135"	"118"	"16"	"108"	"153"	"85"	"61"	"14"	"17"	"12"	"466"	""	"466"	""
"136"	"119"	"8"	"52"	"103"	"63"	"225"	"17"	"13"	"13"	"494"	""	"494"	""
"137"	"120"	"12"	"135"	"347"	"56"	"31"	"11"	"18"	"23"	"633"	""	"633"	""
"138"	"121"	"17"	"21"	"166"	"25"	"291"	"34"	"22"	"20"	"596"	""	"596"	""
"139"	"122"	"15"	"60"	"249"	"27"	"201"	"13"	"12"	"7"	"584"	""	"584"	""
"140"	"123"	"71"	"68"	"383"	"6"	"59"	"17"	"13"	"12"	"629"	""	"629"	""
"141"	"124"	"13"	"99"	"79"	"13"	"215"	"26"	"25"	"24"	"494"	""	"494"	""
"142"	"125"	"17"	"41"	"227"	"11"	"113"	"15"	"8"	"6"	"438"	""	"438"	""
"143"	"PS NO."	"KEDAR SAHANI"	"JAGDISH PRASAD GUPTA"	"DINESH PRASAD"	"VINDESHWAR SAH"	"HIND KESARI YADAV"	"RAM UDESH ROY"	"JAWAHAR RAM"	"SAHDEO MANJHI"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"
"144"	"125A"	"13"	"32"	"238"	"4"	"76"	"21"	"12"	"15"	"411"	""	"411"	""
"145"	"126"	"11"	"8"	"406"	"5"	"47"	"23"	"8"	"7"	"515"	""	"515"	""
"146"	"127"	"5"	"10"	"68"	"22"	"406"	"24"	"10"	"19"	"564"	""	"564"	""
"147"	"128"	"9"	"28"	"151"	"3"	"74"	"11"	"11"	"5"	"292"	""	"292"	""
"148"	"129"	"7"	"2"	"32"	"3"	"269"	"18"	"3"	"13"	"347"	""	"347"	""
"149"	"130"	"16"	"8"	"46"	"6"	"172"	"76"	"7"	"19"	"350"	""	"350"	""
"150"	"131"	"66"	"10"	"143"	"6"	"158"	"31"	"14"	"11"	"439"	""	"439"	""
"151"	"132"	"89"	"41"	"354"	"9"	"85"	"21"	"9"	"12"	"620"	""	"620"	""
