"X."	"No..of.actual.votes.casted.in.favour.of.candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"243"	"20"	"1"	"5"	"12"	"339"	"6"	"6"	"5"	"8"	"2"	"9"	"656"	""	"656"	""
"4"	"2"	"100"	"69"	"4"	"4"	"1"	"68"	"3"	"2"	"0"	"1"	"0"	"3"	"255"	""	"255"	""
"5"	"3"	"182"	"120"	"16"	"8"	"6"	"183"	"2"	"1"	"6"	"1"	"2"	"2"	"529"	""	"529"	""
"6"	"4"	"245"	"58"	"6"	"117"	"6"	"188"	"4"	"3"	"8"	"2"	"10"	"5"	"652"	""	"652"	""
"7"	"5"	"128"	"309"	"14"	"5"	"8"	"142"	"4"	"5"	"0"	"3"	"4"	"5"	"627"	""	"627"	""
"8"	"6"	"39"	"223"	"10"	"7"	"8"	"45"	"1"	"1"	"5"	"1"	"2"	"5"	"347"	""	"347"	""
"9"	"7"	"81"	"78"	"7"	"2"	"8"	"309"	"14"	"8"	"8"	"7"	"7"	"23"	"552"	""	"552"	""
"10"	"8"	"79"	"66"	"6"	"1"	"8"	"169"	"6"	"4"	"2"	"2"	"0"	"6"	"349"	""	"349"	""
"11"	"9"	"238"	"287"	"13"	"2"	"6"	"23"	"4"	"4"	"7"	"3"	"4"	"12"	"603"	""	"603"	""
"12"	"10"	"256"	"133"	"20"	"12"	"4"	"107"	"4"	"13"	"7"	"11"	"8"	"18"	"593"	""	"593"	""
"13"	"11"	"51"	"169"	"289"	"14"	"5"	"29"	"4"	"5"	"11"	"6"	"4"	"24"	"611"	""	"611"	""
"14"	"12"	"49"	"214"	"16"	"5"	"1"	"179"	"3"	"6"	"2"	"5"	"5"	"10"	"495"	""	"495"	""
"15"	"13"	"47"	"52"	"4"	"5"	"9"	"209"	"6"	"4"	"6"	"4"	"7"	"5"	"358"	""	"358"	""
"16"	"14"	"115"	"279"	"16"	"0"	"8"	"240"	"7"	"2"	"4"	"3"	"8"	"13"	"695"	""	"695"	""
"17"	"Total"	"1853"	"2077"	"422"	"187"	"90"	"2230"	"68"	"64"	"71"	"57"	"63"	"140"	"7322"	"0"	"7322"	"0"
"18"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"1                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"23"	"15"	"94"	"139"	"5"	"3"	"15"	"373"	"11"	"12"	"3"	"6"	"12"	"14"	"687"	""	"687"	""
"24"	"16"	"102"	"318"	"4"	"5"	"7"	"344"	"8"	"4"	"7"	"3"	"10"	"11"	"823"	""	"823"	""
"25"	"17"	"109"	"18"	"1"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"136"	""	"136"	""
"26"	"18"	"15"	"33"	"1"	"1"	"2"	"296"	"1"	"1"	"6"	"0"	"1"	"2"	"359"	""	"359"	""
"27"	"19"	"45"	"170"	"12"	"7"	"10"	"310"	"8"	"6"	"5"	"5"	"7"	"10"	"595"	""	"595"	""
"28"	"20"	"50"	"227"	"42"	"10"	"5"	"82"	"6"	"2"	"5"	"4"	"7"	"10"	"450"	""	"450"	""
"29"	"20A"	"124"	"66"	"26"	"13"	"4"	"125"	"2"	"1"	"4"	"0"	"4"	"4"	"373"	""	"373"	""
"30"	"21"	"211"	"167"	"9"	"10"	"4"	"233"	"3"	"9"	"5"	"1"	"5"	"7"	"664"	""	"664"	""
"31"	"22"	"78"	"313"	"9"	"5"	"9"	"121"	"8"	"6"	"3"	"6"	"2"	"12"	"572"	""	"572"	""
"32"	"23"	"66"	"36"	"61"	"2"	"1"	"96"	"2"	"5"	"1"	"0"	"1"	"14"	"285"	""	"285"	""
"33"	"24"	"306"	"131"	"4"	"4"	"3"	"86"	"1"	"2"	"8"	"4"	"3"	"14"	"566"	""	"566"	""
"34"	"25"	"205"	"96"	"7"	"5"	"2"	"128"	"1"	"0"	"8"	"2"	"4"	"16"	"474"	""	"474"	""
"35"	"26"	"232"	"210"	"12"	"5"	"1"	"76"	"5"	"6"	"7"	"5"	"7"	"14"	"580"	""	"580"	""
"36"	"26A"	"145"	"120"	"5"	"4"	"5"	"97"	"4"	"5"	"12"	"2"	"4"	"20"	"423"	""	"423"	""
"37"	"Total"	"1782"	"2044"	"198"	"74"	"68"	"2374"	"60"	"59"	"74"	"38"	"67"	"149"	"6987"	"0"	"6987"	"0"
"38"	"Cumm.Tot."	"3635"	"4121"	"620"	"261"	"158"	"4604"	"128"	"123"	"145"	"95"	"130"	"289"	"14309"	"0"	"14309"	"0"
"39"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"2                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"43"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"44"	"27"	"74"	"210"	"5"	"23"	"6"	"158"	"6"	"7"	"1"	"4"	"5"	"5"	"504"	""	"504"	""
"45"	"28"	"48"	"396"	"15"	"47"	"8"	"70"	"5"	"5"	"8"	"6"	"8"	"17"	"633"	""	"633"	""
"46"	"29"	"206"	"108"	"6"	"25"	"2"	"133"	"2"	"1"	"11"	"0"	"2"	"4"	"500"	""	"500"	""
"47"	"29A"	"40"	"257"	"7"	"5"	"1"	"106"	"0"	"2"	"3"	"2"	"5"	"6"	"434"	""	"434"	""
"48"	"30"	"123"	"244"	"7"	"16"	"3"	"82"	"1"	"2"	"3"	"2"	"3"	"10"	"496"	""	"496"	""
"49"	"31"	"137"	"332"	"11"	"10"	"4"	"61"	"5"	"2"	"6"	"4"	"3"	"3"	"578"	""	"578"	""
"50"	"32"	"134"	"415"	"9"	"1"	"8"	"146"	"3"	"4"	"4"	"1"	"2"	"2"	"729"	""	"729"	""
"51"	"33"	"129"	"148"	"8"	"4"	"9"	"183"	"3"	"8"	"5"	"4"	"6"	"6"	"513"	""	"513"	""
"52"	"34"	"9"	"119"	"3"	"2"	"3"	"131"	"3"	"0"	"2"	"2"	"4"	"10"	"288"	""	"288"	""
"53"	"35"	"67"	"429"	"5"	"1"	"1"	"37"	"1"	"0"	"1"	"2"	"0"	"2"	"546"	""	"546"	""
"54"	"36"	"52"	"122"	"20"	"3"	"1"	"65"	"0"	"3"	"1"	"2"	"1"	"2"	"272"	""	"272"	""
"55"	"37"	"100"	"298"	"8"	"2"	"5"	"117"	"2"	"5"	"5"	"2"	"2"	"0"	"546"	""	"546"	""
"56"	"38"	"72"	"211"	"13"	"8"	"14"	"171"	"11"	"2"	"10"	"3"	"6"	"1"	"522"	""	"522"	""
"57"	"39"	"82"	"314"	"7"	"13"	"1"	"101"	"3"	"6"	"8"	"1"	"1"	"4"	"541"	""	"541"	""
"58"	"Total"	"1273"	"3603"	"124"	"160"	"66"	"1561"	"45"	"47"	"68"	"35"	"48"	"72"	"7102"	"0"	"7102"	"0"
"59"	"Cumm.Tot."	"4908"	"7724"	"744"	"421"	"224"	"6165"	"173"	"170"	"213"	"130"	"178"	"361"	"21411"	"0"	"21411"	"0"
"60"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"3                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"64"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"65"	"40"	"96"	"31"	"6"	"70"	"7"	"41"	"1"	"6"	"4"	"6"	"6"	"13"	"287"	""	"287"	""
"66"	"41"	"164"	"130"	"15"	"7"	"35"	"84"	"2"	"4"	"0"	"0"	"2"	"3"	"446"	""	"446"	""
"67"	"42"	"202"	"326"	"14"	"7"	"16"	"129"	"8"	"10"	"13"	"6"	"7"	"7"	"745"	""	"745"	""
"68"	"43"	"169"	"154"	"32"	"9"	"3"	"92"	"4"	"1"	"3"	"3"	"1"	"6"	"477"	""	"477"	""
"69"	"44"	"205"	"126"	"10"	"42"	"22"	"97"	"2"	"9"	"3"	"3"	"5"	"16"	"540"	""	"540"	""
"70"	"45"	"71"	"173"	"7"	"23"	"9"	"196"	"7"	"4"	"5"	"3"	"5"	"10"	"513"	""	"513"	""
"71"	"46"	"47"	"80"	"10"	"19"	"14"	"231"	"8"	"1"	"4"	"4"	"6"	"5"	"429"	""	"429"	""
"72"	"47"	"34"	"372"	"28"	"4"	"9"	"133"	"13"	"2"	"8"	"2"	"4"	"7"	"616"	""	"616"	""
"73"	"48"	"25"	"182"	"7"	"15"	"3"	"47"	"3"	"1"	"1"	"3"	"4"	"0"	"291"	""	"291"	""
"74"	"49"	"72"	"21"	"4"	"135"	"11"	"28"	"2"	"4"	"14"	"4"	"4"	"15"	"314"	""	"314"	""
"75"	"50"	"46"	"85"	"14"	"9"	"17"	"290"	"14"	"1"	"0"	"0"	"2"	"1"	"479"	""	"479"	""
"76"	"51"	"15"	"294"	"54"	"1"	"1"	"11"	"0"	"3"	"1"	"2"	"4"	"5"	"391"	""	"391"	""
"77"	"52"	"100"	"208"	"11"	"5"	"5"	"290"	"2"	"3"	"3"	"2"	"2"	"3"	"634"	""	"634"	""
"78"	"53"	"171"	"138"	"7"	"29"	"7"	"120"	"8"	"4"	"7"	"5"	"5"	"3"	"504"	""	"504"	""
"79"	"Total"	"1417"	"2320"	"219"	"375"	"159"	"1789"	"74"	"53"	"66"	"43"	"57"	"94"	"6666"	"0"	"6666"	"0"
"80"	"Cumm.Tot."	"6325"	"10044"	"963"	"796"	"383"	"7954"	"247"	"223"	"279"	"173"	"235"	"455"	"28077"	"0"	"28077"	"0"
"81"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"4                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"86"	"54"	"43"	"82"	"3"	"28"	"6"	"191"	"5"	"4"	"3"	"1"	"4"	"2"	"372"	""	"372"	""
"87"	"55"	"212"	"78"	"14"	"2"	"1"	"116"	"7"	"5"	"3"	"2"	"1"	"14"	"455"	""	"455"	""
"88"	"56"	"206"	"182"	"8"	"20"	"13"	"125"	"4"	"6"	"2"	"3"	"6"	"13"	"588"	""	"588"	""
"89"	"57"	"7"	"377"	"6"	"1"	"1"	"8"	"2"	"0"	"3"	"3"	"2"	"4"	"414"	""	"414"	""
"90"	"57A"	"11"	"274"	"12"	"0"	"4"	"24"	"1"	"0"	"1"	"2"	"2"	"0"	"331"	""	"331"	""
"91"	"58"	"147"	"407"	"7"	"1"	"2"	"22"	"2"	"3"	"3"	"0"	"3"	"0"	"597"	""	"597"	""
"92"	"59"	"207"	"40"	"2"	"105"	"5"	"138"	"2"	"5"	"3"	"4"	"4"	"4"	"519"	""	"519"	""
"93"	"60"	"184"	"83"	"18"	"6"	"8"	"262"	"1"	"5"	"4"	"3"	"3"	"11"	"588"	""	"588"	""
"94"	"61"	"56"	"12"	"1"	"35"	"23"	"147"	"7"	"2"	"0"	"0"	"1"	"6"	"290"	""	"290"	""
"95"	"62"	"137"	"85"	"7"	"3"	"68"	"233"	"3"	"1"	"2"	"1"	"2"	"0"	"542"	""	"542"	""
"96"	"62A"	"171"	"49"	"4"	"3"	"84"	"107"	"0"	"6"	"7"	"3"	"4"	"6"	"444"	""	"444"	""
"97"	"63"	"409"	"165"	"19"	"32"	"102"	"54"	"4"	"9"	"7"	"2"	"3"	"5"	"811"	""	"811"	""
"98"	"64"	"236"	"223"	"6"	"7"	"8"	"151"	"2"	"5"	"3"	"5"	"9"	"14"	"669"	""	"669"	""
"99"	"65"	"38"	"151"	"7"	"7"	"11"	"213"	"9"	"7"	"4"	"4"	"2"	"4"	"457"	""	"457"	""
"100"	"Total"	"2064"	"2208"	"114"	"250"	"336"	"1791"	"49"	"58"	"45"	"33"	"46"	"83"	"7077"	"0"	"7077"	"0"
"101"	"Cumm.Tot."	"8389"	"12252"	"1077"	"1046"	"719"	"9745"	"296"	"281"	"324"	"206"	"281"	"538"	"35154"	"0"	"35154"	"0"
"102"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"5                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"107"	"66"	"330"	"45"	"2"	"184"	"7"	"108"	"0"	"5"	"8"	"5"	"1"	"3"	"698"	""	"698"	""
"108"	"67"	"157"	"85"	"4"	"7"	"3"	"311"	"7"	"5"	"3"	"0"	"5"	"2"	"589"	""	"589"	""
"109"	"68"	"22"	"430"	"4"	"3"	"0"	"60"	"0"	"0"	"1"	"1"	"2"	"2"	"525"	""	"525"	""
"110"	"69"	"28"	"381"	"16"	"3"	"3"	"157"	"3"	"2"	"3"	"1"	"7"	"7"	"611"	""	"611"	""
"111"	"70"	"130"	"57"	"0"	"69"	"4"	"124"	"3"	"0"	"1"	"0"	"1"	"2"	"391"	""	"391"	""
"112"	"71"	"177"	"93"	"3"	"150"	"14"	"180"	"6"	"4"	"4"	"0"	"5"	"13"	"649"	""	"649"	""
"113"	"72"	"114"	"61"	"5"	"208"	"7"	"50"	"6"	"6"	"7"	"7"	"8"	"13"	"492"	""	"492"	""
"114"	"73"	"48"	"144"	"7"	"12"	"14"	"235"	"3"	"4"	"2"	"2"	"1"	"4"	"476"	""	"476"	""
"115"	"74"	"156"	"181"	"9"	"8"	"3"	"66"	"3"	"5"	"7"	"1"	"6"	"8"	"453"	""	"453"	""
"116"	"75"	"30"	"120"	"2"	"33"	"11"	"267"	"9"	"6"	"6"	"6"	"3"	"15"	"508"	""	"508"	""
"117"	"76"	"138"	"94"	"4"	"14"	"1"	"92"	"2"	"1"	"0"	"3"	"3"	"1"	"353"	""	"353"	""
"118"	"77"	"40"	"167"	"10"	"30"	"3"	"242"	"8"	"0"	"7"	"2"	"2"	"8"	"519"	""	"519"	""
"119"	"78"	"314"	"111"	"5"	"20"	"2"	"226"	"6"	"2"	"7"	"1"	"10"	"8"	"712"	""	"712"	""
"120"	"79"	"59"	"251"	"11"	"127"	"6"	"48"	"8"	"3"	"5"	"2"	"12"	"12"	"544"	""	"544"	""
"121"	"Total"	"1743"	"2220"	"82"	"868"	"78"	"2166"	"64"	"43"	"61"	"31"	"66"	"98"	"7520"	"0"	"7520"	"0"
"122"	"Cumm.Tot."	"10132"	"14472"	"1159"	"1914"	"797"	"11911"	"360"	"324"	"385"	"237"	"347"	"636"	"42674"	"0"	"42674"	"0"
"123"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"6                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"127"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
