"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"[ SEE RULE 56 C (2) ]"	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO BIHAR ASSEMBLY ELECTION FROM THE 179-ISLAMPUR ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""
"3"	"[To be used for Assembly Election] Total no. of Elector in Assembly Constituency/Segment :- 2,18,651"	""	""	""	""	""	""	""	""	""	""
"4"	"Name of Assembly Segment :- 179 - Islampur"	""	""	""	""	""	""	""	""	""	""
"5"	"(in the case of election from an Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""
"6"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"7"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"8"	"1"	"16"	"140"	"291"	"24"	"10"	"20"	"501"	"-"	"501"	"-"
"9"	"1¼d½"	"12"	"70"	"206"	"14"	"10"	"20"	"332"	"-"	"332"	"-"
"10"	"2"	"12"	"132"	"127"	"18"	"11"	"9"	"309"	"-"	"309"	"-"
"11"	"3"	"14"	"194"	"114"	"7"	"7"	"8"	"344"	"-"	"344"	"-"
"12"	"4"	"22"	"176"	"251"	"15"	"6"	"9"	"479"	"-"	"479"	"-"
"13"	"5"	"13"	"131"	"14"	"5"	"0"	"10"	"173"	"-"	"173"	"-"
"14"	"6"	"42"	"241"	"331"	"20"	"9"	"21"	"664"	"-"	"664"	"-"
"15"	"7"	"13"	"62"	"326"	"17"	"13"	"22"	"453"	"-"	"453"	"-"
"16"	"8"	"19"	"94"	"264"	"10"	"9"	"24"	"420"	"-"	"420"	"-"
"17"	"9"	"18"	"128"	"388"	"8"	"4"	"17"	"563"	"-"	"563"	"-"
"18"	"10"	"15"	"59"	"271"	"11"	"7"	"14"	"377"	"-"	"377"	"-"
"19"	"11"	"15"	"101"	"255"	"38"	"35"	"30"	"474"	"-"	"474"	"-"
"20"	"12"	"27"	"203"	"86"	"9"	"8"	"9"	"342"	"-"	"342"	"-"
"21"	"13"	"3"	"51"	"79"	"5"	"3"	"6"	"147"	"-"	"147"	"-"
"22"	"14"	"36"	"56"	"274"	"38"	"9"	"24"	"437"	"-"	"437"	"-"
"23"	"15"	"23"	"85"	"192"	"6"	"7"	"7"	"320"	"-"	"320"	"-"
"24"	"16"	"11"	"123"	"236"	"13"	"6"	"16"	"405"	"-"	"405"	"-"
"25"	"17"	"30"	"101"	"221"	"5"	"4"	"5"	"366"	"-"	"366"	"-"
"26"	"18"	"175"	"39"	"187"	"13"	"6"	"29"	"449"	"-"	"449"	"-"
"27"	"19"	"6"	"19"	"312"	"3"	"3"	"2"	"345"	"-"	"345"	"-"
"28"	"20"	"18"	"68"	"40"	"8"	"5"	"5"	"144"	"-"	"144"	"-"
"29"	"21"	"19"	"20"	"93"	"19"	"187"	"34"	"372"	"-"	"372"	"-"
"30"	"22"	"6"	"27"	"201"	"9"	"58"	"17"	"318"	"-"	"318"	"-"
"31"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"32"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"33"	"23"	"13"	"69"	"145"	"8"	"27"	"6"	"268"	"-"	"268"	"-"
"34"	"24"	"9"	"63"	"139"	"10"	"34"	"12"	"267"	"-"	"267"	"-"
"35"	"25"	"11"	"113"	"310"	"12"	"28"	"15"	"489"	"-"	"489"	"-"
"36"	"26"	"16"	"68"	"208"	"26"	"8"	"20"	"346"	"-"	"346"	"-"
"37"	"27"	"22"	"289"	"129"	"9"	"22"	"5"	"476"	"-"	"476"	"-"
"38"	"28"	"18"	"75"	"245"	"7"	"4"	"18"	"367"	"-"	"367"	"-"
"39"	"29"	"4"	"33"	"302"	"2"	"3"	"6"	"350"	"-"	"350"	"-"
"40"	"30"	"5"	"64"	"109"	"1"	"5"	"1"	"185"	"-"	"185"	"-"
"41"	"31"	"4"	"82"	"181"	"3"	"4"	"4"	"278"	"-"	"278"	"-"
"42"	"32"	"12"	"229"	"189"	"10"	"9"	"2"	"451"	"-"	"451"	"-"
"43"	"33"	"12"	"125"	"105"	"5"	"10"	"5"	"262"	"-"	"262"	"-"
"44"	"34"	"24"	"185"	"181"	"14"	"4"	"12"	"420"	"-"	"420"	"-"
"45"	"35"	"7"	"59"	"405"	"28"	"8"	"6"	"513"	"-"	"513"	"-"
"46"	"36"	"11"	"141"	"279"	"6"	"8"	"9"	"454"	"-"	"454"	"-"
"47"	"37"	"8"	"8"	"336"	"11"	"12"	"13"	"388"	"-"	"388"	"-"
"48"	"38"	"23"	"206"	"33"	"3"	"6"	"4"	"275"	"-"	"275"	"-"
"49"	"39"	"6"	"2"	"396"	"4"	"2"	"5"	"415"	"-"	"415"	"-"
"50"	"40"	"23"	"138"	"160"	"12"	"6"	"9"	"348"	"-"	"348"	"-"
"51"	"41"	"7"	"68"	"230"	"0"	"4"	"7"	"316"	"-"	"316"	"-"
"52"	"42"	"6"	"93"	"485"	"15"	"6"	"14"	"619"	"-"	"619"	"-"
"53"	"43"	"7"	"50"	"281"	"8"	"7"	"12"	"365"	"-"	"365"	"-"
"54"	"44"	"18"	"51"	"455"	"15"	"13"	"10"	"562"	"-"	"562"	"-"
"55"	"45"	"11"	"83"	"259"	"10"	"10"	"10"	"383"	"-"	"383"	"-"
"56"	"46"	"62"	"37"	"291"	"34"	"13"	"10"	"447"	"-"	"447"	"-"
"57"	"47"	"19"	"43"	"333"	"35"	"17"	"31"	"478"	"-"	"478"	"-"
"58"	"48"	"59"	"124"	"386"	"16"	"10"	"23"	"618"	"-"	"618"	"-"
"59"	"49"	"52"	"101"	"134"	"13"	"4"	"15"	"319"	"-"	"319"	"-"
"60"	"50"	"9"	"40"	"180"	"4"	"3"	"5"	"241"	"-"	"241"	"-"
"61"	"51"	"28"	"63"	"58"	"11"	"9"	"9"	"178"	"-"	"178"	"-"
"62"	"52"	"35"	"83"	"333"	"31"	"13"	"27"	"522"	"-"	"522"	"-"
"63"	"53"	"16"	"68"	"323"	"15"	"10"	"10"	"442"	"-"	"442"	"-"
"64"	"54"	"2"	"39"	"299"	"16"	"2"	"10"	"368"	"-"	"368"	"-"
"65"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"66"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"67"	"55"	"6"	"139"	"358"	"8"	"5"	"10"	"526"	"-"	"526"	"-"
"68"	"56"	"18"	"40"	"470"	"25"	"5"	"18"	"576"	"-"	"576"	"-"
"69"	"57"	"8"	"89"	"297"	"11"	"0"	"10"	"415"	"-"	"415"	"-"
"70"	"58"	"23"	"87"	"366"	"23"	"7"	"13"	"519"	"-"	"519"	"-"
"71"	"59"	"24"	"15"	"273"	"15"	"5"	"10"	"342"	"-"	"342"	"-"
"72"	"60"	"11"	"19"	"288"	"8"	"1"	"13"	"340"	"-"	"340"	"-"
"73"	"61"	"27"	"286"	"156"	"17"	"19"	"22"	"527"	"-"	"527"	"-"
"74"	"62"	"20"	"124"	"285"	"31"	"15"	"16"	"491"	"-"	"491"	"-"
"75"	"63"	"15"	"139"	"192"	"8"	"8"	"12"	"374"	"-"	"374"	"-"
"76"	"64"	"71"	"109"	"62"	"6"	"12"	"31"	"291"	"-"	"291"	"-"
"77"	"65"	"18"	"183"	"183"	"18"	"2"	"13"	"417"	"-"	"417"	"-"
"78"	"66"	"27"	"204"	"102"	"17"	"20"	"17"	"387"	"-"	"387"	"-"
"79"	"67"	"15"	"49"	"376"	"7"	"6"	"18"	"471"	"-"	"471"	"-"
"80"	"68"	"12"	"38"	"182"	"3"	"3"	"2"	"240"	"-"	"240"	"-"
