"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	""	""	"136"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"163"	""	""	""	"7"	""	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1A"	""	""	"72"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"140"	""	""	""	"16"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"2"	""	""	"55"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"70"	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	""	"157"	""	""	""	""	""	""	""	""	"157"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"3"	""	""	"8"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"102"	""	""	""	"15"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"133"	""	""	""	""	""	""	""	""	"133"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"4"	""	""	"146"	""	""	""	""	"6"	""	""	""	"8"	""	""	""	"133"	""	""	""	"15"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"5"	""	""	"116"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"247"	""	""	""	"16"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"6"	""	""	"42"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	"214"	""	""	""	"18"	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"7"	""	""	"41"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"172"	""	""	""	"75"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"8"	""	""	"30"	""	""	""	""	"5"	""	""	""	"13"	""	""	""	"217"	""	""	""	"45"	""	""	""	""	"12"	""	""	""	""	"10"	""	""	""	""	""	""	"4"	""	""	""	""	"23"	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"9"	""	""	"63"	""	""	""	""	"9"	""	""	""	"29"	""	""	""	"147"	""	""	""	"154"	""	""	""	""	"13"	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"10"	""	""	"13"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	"137"	""	""	""	"68"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"11"	""	""	"111"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"148"	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"Total"	""	""	"833"	""	""	""	""	"47"	""	""	""	"80"	""	""	""	"1890"	""	""	""	"448"	""	""	""	""	"82"	""	""	""	""	"41"	""	""	""	""	""	""	"24"	""	""	""	""	"111"	""	""	""	""	""	"3556"	""	""	""	""	""	""	""	""	"3556"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Grand Total"	""	""	"833"	""	""	""	""	"47"	""	""	""	"80"	""	""	""	"1890"	""	""	""	"448"	""	""	""	""	"82"	""	""	""	""	"41"	""	""	""	""	""	""	"24"	""	""	""	""	"111"	""	""	""	""	""	"3556"	""	""	""	"0"	""	""	""	""	"3556"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
