"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 231-Gaya Moffassil Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency                                                                                                                                                       Round No. ……            1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"5"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	""	"JITENDRA RAM"	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	""	""	"MAHESH SINGH YADAV"	""	"YOGENDRA DAS"	""	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	""	"SAHABUDDIN"	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	"17"	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	"21"	""	""	"22"	""	""	""	""	""
"7"	"1"	"1"	""	""	"37"	""	""	"135"	""	"89"	""	""	"17"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	"4"	""	""	""	"7"	""	"1"	""	""	"2"	""	""	"4"	""	""	"77"	""	""	""	"9"	""	""	"13"	""	""	""	"400"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""	""	""
"8"	"2"	"2"	""	""	"60"	""	""	"151"	""	"44"	""	""	"5"	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"7"	""	"1"	""	""	"3"	""	""	"7"	""	""	"66"	""	""	""	"14"	""	""	"21"	""	""	""	"386"	""	""	""	"0"	""	""	""	"386"	""	""	""	""	""	""	""	""
"9"	"3"	"3"	""	""	"51"	""	""	"58"	""	"28"	""	""	"6"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	"2"	""	""	""	"6"	""	"2"	""	""	"2"	""	""	"9"	""	""	"122"	""	""	""	"5"	""	""	"6"	""	""	""	"302"	""	""	""	"0"	""	""	""	"302"	""	""	""	""	""	""	""	""
"10"	"4"	"4"	""	""	"53"	""	""	"174"	""	"60"	""	""	"36"	""	""	"2"	""	""	"2"	""	""	""	"4"	""	""	"0"	""	""	"1"	""	""	""	"6"	""	"1"	""	""	"3"	""	""	"4"	""	""	"100"	""	""	""	"11"	""	""	"8"	""	""	""	"465"	""	""	""	"0"	""	""	""	"465"	""	""	""	""	""	""	""	""
"11"	"5"	"5"	""	""	"24"	""	""	"153"	""	"77"	""	""	"11"	""	""	"3"	""	""	"4"	""	""	""	"0"	""	""	"2"	""	""	"2"	""	""	""	"4"	""	"1"	""	""	"1"	""	""	"3"	""	""	"38"	""	""	""	"6"	""	""	"8"	""	""	""	"337"	""	""	""	"0"	""	""	""	"337"	""	""	""	""	""	""	""	""
"12"	"6"	"6"	""	""	"27"	""	""	"121"	""	"27"	""	""	"3"	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	"4"	""	""	""	"6"	""	"5"	""	""	"1"	""	""	"11"	""	""	"92"	""	""	""	"15"	""	""	"7"	""	""	""	"327"	""	""	""	"0"	""	""	""	"327"	""	""	""	""	""	""	""	""
"13"	"7"	"7"	""	""	"76"	""	""	"187"	""	"61"	""	""	"9"	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	"4"	""	""	"5"	""	""	""	"7"	""	"3"	""	""	"2"	""	""	"10"	""	""	"99"	""	""	""	"9"	""	""	"13"	""	""	""	"492"	""	""	""	"0"	""	""	""	"492"	""	""	""	""	""	""	""	""
"14"	"8"	"8"	""	""	"40"	""	""	"101"	""	"20"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"7"	""	"0"	""	""	"0"	""	""	"3"	""	""	"113"	""	""	""	"7"	""	""	"2"	""	""	""	"299"	""	""	""	"0"	""	""	""	"299"	""	""	""	""	""	""	""	""
"15"	"9"	"9"	""	""	"14"	""	""	"44"	""	"57"	""	""	"3"	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	"2"	""	""	"2"	""	""	"12"	""	""	"164"	""	""	""	"2"	""	""	"6"	""	""	""	"318"	""	""	""	"0"	""	""	""	"318"	""	""	""	""	""	""	""	""
