"Sl..No..of.Polling.Station"	"No..of.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.No..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"1"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"2"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"3"	"1"	"241"	"12"	"180"	"29"	"4"	"7"	""	"5"	""	"14"	""	"8"	"8"	""	"508"	"0"	"508"	"0"
"4"	"2"	"228"	"15"	"241"	"46"	"13"	"9"	""	"5"	""	"4"	""	"17"	"11"	""	"589"	"0"	"589"	"0"
"5"	"3"	"222"	"29"	"270"	"52"	"8"	"5"	""	"8"	""	"18"	""	"6"	"12"	""	"630"	"0"	"630"	"0"
"6"	"4"	"224"	"7"	"76"	"17"	"5"	"5"	""	"1"	""	"2"	""	"1"	"7"	""	"345"	"0"	"345"	"0"
"7"	"5"	"137"	"6"	"107"	"15"	"8"	"1"	""	"0"	""	"5"	""	"2"	"7"	""	"288"	"0"	"288"	"0"
"8"	"6"	"121"	"14"	"152"	"29"	"11"	"2"	""	"2"	""	"4"	""	"7"	"10"	""	"352"	"0"	"352"	"0"
"9"	"7"	"178"	"6"	"273"	"50"	"4"	"0"	""	"10"	""	"1"	""	"4"	"2"	""	"528"	"0"	"528"	"0"
"10"	"8"	"133"	"7"	"7"	"13"	"0"	"0"	""	"1"	""	"1"	""	"2"	"9"	""	"173"	"0"	"173"	"0"
"11"	"9"	"267"	"35"	"159"	"71"	"5"	"2"	""	"2"	""	"6"	""	"21"	"11"	""	"579"	"0"	"579"	"0"
"12"	"9A"	"74"	"16"	"241"	"22"	"3"	"2"	""	"3"	""	"3"	""	"2"	"8"	""	"374"	"0"	"374"	"0"
"13"	"10"	"328"	"30"	"143"	"49"	"12"	"5"	""	"3"	""	"4"	""	"25"	"16"	""	"615"	"0"	"615"	"0"
"14"	"11"	"135"	"11"	"216"	"45"	"11"	"4"	""	"0"	""	"6"	""	"4"	"13"	""	"445"	"0"	"445"	"0"
