"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	"Total no. of votes"	""	"Total No. of tendered votes"	""
"6"	""	""	""	"MD. AMJAD"	""	"KRISHNA KUMAR SINGH"	""	"DILIP KUMAR"	""	"SHEO KUMAR PRASAD SINGH"	""	"SURENDRA PRASAD YADAV"	""	"SURYA VILAS PASWAN"	""	"AJAY KUMAR YADAV"	""	"AWADHESH YADAV"	""	"MD. EQRAMUDIN"	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""
"8"	"1"	"1"	""	"148"	""	"14"	""	"5"	""	"17"	""	"166"	""	"8"	""	"5"	""	"8"	""	"7"	""	"378"	""	"0"	""	"378"	""	""	""
"9"	"2"	"2"	""	"149"	""	"9"	""	"3"	""	"14"	""	"86"	""	"14"	""	"6"	""	"1"	""	"14"	""	"296"	""	"0"	""	"296"	""	""	""
"10"	"3"	"3"	""	"156"	""	"7"	""	"4"	""	"57"	""	"207"	""	"13"	""	"13"	""	"7"	""	"22"	""	"486"	""	"0"	""	"486"	""	""	""
"11"	"4"	"4"	""	"49"	""	"3"	""	"4"	""	"68"	""	"143"	""	"31"	""	"15"	""	"15"	""	"22"	""	"350"	""	"0"	""	"350"	""	""	""
"12"	"5"	"5"	""	"45"	""	"28"	""	"4"	""	"14"	""	"167"	""	"6"	""	"3"	""	"6"	""	"15"	""	"288"	""	"0"	""	"288"	""	""	""
"13"	"6"	"6"	""	"141"	""	"4"	""	"2"	""	"36"	""	"132"	""	"8"	""	"7"	""	"6"	""	"14"	""	"350"	""	"0"	""	"350"	""	""	""
"14"	"7"	"7"	""	"29"	""	"7"	""	"67"	""	"65"	""	"73"	""	"7"	""	"6"	""	"9"	""	"8"	""	"271"	""	"0"	""	"271"	""	""	""
"15"	"8"	"8"	""	"40"	""	"22"	""	"1"	""	"7"	""	"24"	""	"2"	""	"0"	""	"1"	""	"7"	""	"104"	""	"0"	""	"104"	""	""	""
"16"	"9"	"9"	""	"37"	""	"12"	""	"32"	""	"25"	""	"227"	""	"12"	""	"9"	""	"3"	""	"13"	""	"370"	""	"0"	""	"370"	""	""	""
"17"	"10"	"10"	""	"55"	""	"41"	""	"6"	""	"23"	""	"176"	""	"39"	""	"9"	""	"7"	""	"13"	""	"369"	""	"0"	""	"369"	""	""	""
"18"	"11"	"11"	""	"146"	""	"8"	""	"3"	""	"9"	""	"136"	""	"22"	""	"3"	""	"4"	""	"18"	""	"349"	""	"0"	""	"349"	""	""	""
"19"	"12"	"12"	""	"129"	""	"19"	""	"18"	""	"16"	""	"150"	""	"22"	""	"4"	""	"8"	""	"26"	""	"392"	""	"0"	""	"392"	""	""	""
"20"	"13"	"13"	""	"112"	""	"30"	""	"23"	""	"45"	""	"95"	""	"10"	""	"2"	""	"6"	""	"13"	""	"336"	""	"0"	""	"336"	""	""	""
"21"	"14"	"14"	""	"139"	""	"16"	""	"9"	""	"98"	""	"157"	""	"8"	""	"6"	""	"10"	""	"15"	""	"458"	""	"0"	""	"458"	""	""	""
"22"	"Total"	""	""	"1375"	""	"220"	""	"181"	""	"494"	""	"1939"	""	"202"	""	"88"	""	"91"	""	"207"	""	"4797"	""	"0"	""	"4797"	""	""	""
"23"	"1"	"15"	""	"76"	""	"5"	""	"10"	""	"12"	""	"91"	""	"9"	""	"6"	""	"6"	""	"13"	""	"228"	""	"0"	""	"228"	""	""	""
"24"	"2"	"16"	""	"27"	""	"29"	""	"5"	""	"30"	""	"159"	""	"11"	""	"3"	""	"4"	""	"7"	""	"275"	""	"0"	""	"275"	""	""	""
"25"	"3"	"17"	""	"90"	""	"20"	""	"10"	""	"59"	""	"276"	""	"18"	""	"10"	""	"19"	""	"29"	""	"531"	""	"0"	""	"531"	""	""	""
"26"	"4"	"18"	""	"103"	""	"31"	""	"2"	""	"41"	""	"142"	""	"8"	""	"3"	""	"5"	""	"25"	""	"360"	""	"0"	""	"360"	""	""	""
"27"	"5"	"19"	""	"36"	""	"25"	""	"3"	""	"12"	""	"333"	""	"19"	""	"3"	""	"7"	""	"18"	""	"456"	""	"0"	""	"456"	""	""	""
"28"	"6"	"20"	""	"155"	""	"49"	""	"6"	""	"36"	""	"100"	""	"10"	""	"3"	""	"7"	""	"29"	""	"395"	""	"0"	""	"395"	""	""	""
"29"	"7"	"21"	""	"51"	""	"9"	""	"4"	""	"7"	""	"267"	""	"10"	""	"5"	""	"2"	""	"18"	""	"373"	""	"0"	""	"373"	""	""	""
"30"	"8"	"22"	""	"15"	""	"8"	""	"1"	""	"5"	""	"132"	""	"5"	""	"2"	""	"0"	""	"4"	""	"172"	""	"0"	""	"172"	""	""	""
"31"	"9"	"23"	""	"62"	""	"32"	""	"7"	""	"31"	""	"408"	""	"29"	""	"9"	""	"20"	""	"18"	""	"616"	""	"0"	""	"616"	""	""	""
"32"	"10"	"24"	""	"70"	""	"6"	""	"6"	""	"29"	""	"137"	""	"3"	""	"2"	""	"4"	""	"10"	""	"267"	""	"0"	""	"267"	""	""	""
"33"	"11"	"25"	""	"20"	""	"13"	""	"3"	""	"87"	""	"208"	""	"9"	""	"7"	""	"6"	""	"3"	""	"356"	""	"0"	""	"356"	""	""	""
"34"	"12"	"26"	""	"133"	""	"13"	""	"6"	""	"59"	""	"107"	""	"5"	""	"3"	""	"13"	""	"21"	""	"360"	""	"0"	""	"360"	""	""	""
"35"	"13"	"27"	""	"129"	""	"29"	""	"4"	""	"14"	""	"72"	""	"6"	""	"4"	""	"2"	""	"8"	""	"268"	""	"0"	""	"268"	""	""	""
"36"	"14"	"28"	""	"58"	""	"4"	""	"1"	""	"38"	""	"128"	""	"9"	""	"1"	""	"3"	""	"10"	""	"252"	""	"0"	""	"252"	""	""	""
"37"	"Total"	""	""	"1025"	""	"273"	""	"68"	""	"460"	""	"2560"	""	"151"	""	"61"	""	"98"	""	"213"	""	"4909"	""	"0"	""	"4909"	""	""	""
"38"	"1"	"29"	""	"108"	""	"10"	""	"6"	""	"59"	""	"68"	""	"10"	""	"5"	""	"12"	""	"30"	""	"308"	""	"0"	""	"308"	""	""	""
"39"	"2"	"30"	""	"48"	""	"10"	""	"7"	""	"6"	""	"152"	""	"7"	""	"1"	""	"0"	""	"15"	""	"246"	""	"0"	""	"246"	""	""	""
"40"	"3"	"31"	""	"124"	""	"5"	""	"4"	""	"10"	""	"65"	""	"7"	""	"9"	""	"8"	""	"28"	""	"260"	""	"0"	""	"260"	""	""	""
"41"	"4"	"32"	""	"39"	""	"4"	""	"3"	""	"7"	""	"151"	""	"16"	""	"7"	""	"4"	""	"23"	""	"254"	""	"0"	""	"254"	""	""	""
"42"	"5"	"33"	""	"27"	""	"9"	""	"3"	""	"9"	""	"335"	""	"9"	""	"4"	""	"15"	""	"14"	""	"425"	""	"0"	""	"425"	""	""	""
"43"	"6"	"34"	""	"54"	""	"31"	""	"7"	""	"12"	""	"251"	""	"14"	""	"6"	""	"10"	""	"21"	""	"406"	""	"0"	""	"406"	""	""	""
"44"	"7"	"35"	""	"106"	""	"13"	""	"0"	""	"2"	""	"47"	""	"1"	""	"1"	""	"3"	""	"15"	""	"188"	""	"0"	""	"188"	""	""	""
"45"	"8"	"35A"	""	"152"	""	"10"	""	"1"	""	"2"	""	"30"	""	"2"	""	"1"	""	"2"	""	"11"	""	"211"	""	"0"	""	"211"	""	""	""
"46"	"9"	"36"	""	"123"	""	"14"	""	"1"	""	"1"	""	"69"	""	"6"	""	"0"	""	"1"	""	"11"	""	"226"	""	"0"	""	"226"	""	""	""
"47"	"10"	"37"	""	"13"	""	"36"	""	"21"	""	"25"	""	"149"	""	"6"	""	"2"	""	"8"	""	"5"	""	"265"	""	"0"	""	"265"	""	""	""
"48"	"11"	"38"	""	"100"	""	"12"	""	"2"	""	"6"	""	"41"	""	"2"	""	"1"	""	"1"	""	"9"	""	"174"	""	"0"	""	"174"	""	""	""
"49"	"12"	"39"	""	"35"	""	"5"	""	"0"	""	"5"	""	"164"	""	"4"	""	"2"	""	"1"	""	"13"	""	"229"	""	"0"	""	"229"	""	""	""
"50"	"13"	"40"	""	"154"	""	"8"	""	"0"	""	"1"	""	"63"	""	"1"	""	"0"	""	"0"	""	"9"	""	"236"	""	"0"	""	"236"	""	""	""
"51"	"14"	"41"	""	"135"	""	"2"	""	"2"	""	"0"	""	"12"	""	"0"	""	"1"	""	"1"	""	"12"	""	"165"	""	"0"	""	"165"	""	""	""
"52"	"Total"	""	""	"1218"	""	"169"	""	"57"	""	"145"	""	"1597"	""	"85"	""	"40"	""	"66"	""	"216"	""	"3593"	""	"0"	""	"3593"	""	""	""
