"Total.No..of.Electors.in.Assembly.Constituency...189643"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"7"	"1"	"15"	"107"	"60"	"394"	"20"	"5"	"4"	"605"	"0"	"605"	"0"	""
"8"	"2"	"14"	"30"	"29"	"489"	"8"	"4"	"7"	"581"	"0"	"581"	"0"	""
"9"	"3"	"34"	"27"	"38"	"336"	"17"	"2"	"4"	"458"	"0"	"458"	"0"	""
"10"	"4"	"17"	"45"	"162"	"312"	"5"	"14"	"9"	"564"	"0"	"564"	"0"	""
"11"	"5"	"32"	"31"	"119"	"188"	"10"	"11"	"7"	"398"	"0"	"398"	"0"	""
"12"	"6"	"16"	"32"	"95"	"331"	"18"	"1"	"4"	"497"	"0"	"497"	"0"	""
"13"	"7"	"8"	"16"	"23"	"182"	"34"	"3"	"5"	"271"	"0"	"271"	"0"	""
"14"	"8"	"7"	"53"	"35"	"424"	"18"	"4"	"5"	"546"	"0"	"546"	"0"	""
"15"	"9"	"33"	"13"	"27"	"419"	"2"	"5"	"5"	"504"	"0"	"504"	"0"	""
"16"	"9A"	"32"	"27"	"15"	"231"	"5"	"5"	"9"	"324"	"0"	"324"	"0"	""
"17"	"10"	"10"	"20"	"21"	"410"	"18"	"5"	"8"	"492"	"0"	"492"	"0"	""
"18"	"11"	"17"	"31"	"34"	"571"	"20"	"2"	"9"	"684"	"0"	"684"	"0"	""
"19"	"12"	"2"	"45"	"50"	"430"	"7"	"2"	"9"	"545"	"0"	"545"	"0"	""
"20"	"13"	"32"	"67"	"63"	"420"	"14"	"9"	"25"	"630"	"0"	"630"	"0"	""
"21"	"Total"	"269"	"544"	"771"	"5137"	"196"	"72"	"110"	"7099"	"0"	"7099"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"27"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"29"	"14"	"8"	"94"	"57"	"183"	"12"	"2"	"5"	"361"	"0"	"361"	"0"	""
"30"	"15"	"6"	"93"	"28"	"342"	"12"	"4"	"5"	"490"	"0"	"490"	"0"	""
"31"	"16"	"24"	"91"	"140"	"277"	"38"	"7"	"14"	"591"	"0"	"591"	"0"	""
"32"	"17"	"18"	"34"	"186"	"73"	"2"	"1"	"0"	"314"	"0"	"314"	"0"	""
"33"	"18"	"55"	"14"	"24"	"321"	"38"	"1"	"2"	"455"	"0"	"455"	"0"	""
"34"	"19"	"13"	"23"	"99"	"174"	"13"	"2"	"4"	"328"	"0"	"328"	"0"	""
"35"	"20"	"37"	"16"	"23"	"313"	"5"	"6"	"2"	"402"	"0"	"402"	"0"	""
"36"	"21"	"7"	"23"	"56"	"220"	"22"	"3"	"4"	"335"	"0"	"335"	"0"	""
"37"	"22"	"4"	"8"	"27"	"336"	"5"	"2"	"4"	"386"	"0"	"386"	"0"	""
"38"	"23"	"1"	"27"	"29"	"229"	"13"	"4"	"10"	"313"	"0"	"313"	"0"	""
"39"	"24"	"47"	"25"	"59"	"178"	"11"	"4"	"5"	"329"	"0"	"329"	"0"	""
"40"	"25"	"44"	"31"	"107"	"242"	"6"	"3"	"7"	"440"	"0"	"440"	"0"	""
"41"	"26"	"9"	"35"	"70"	"436"	"34"	"13"	"6"	"603"	"0"	"603"	"0"	""
"42"	"27"	"9"	"28"	"211"	"238"	"13"	"10"	"10"	"519"	"0"	"519"	"0"	""
"43"	"Total"	"282"	"542"	"1116"	"3562"	"224"	"62"	"78"	"5866"	"0"	"5866"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"49"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"51"	"28"	"35"	"34"	"296"	"48"	"15"	"5"	"5"	"438"	"0"	"438"	"0"	""
"52"	"29"	"17"	"33"	"315"	"55"	"14"	"5"	"14"	"453"	"0"	"453"	"0"	""
"53"	"30"	"50"	"13"	"273"	"27"	"3"	"1"	"7"	"374"	"0"	"374"	"0"	""
"54"	"31"	"21"	"32"	"260"	"207"	"8"	"4"	"17"	"549"	"0"	"549"	"0"	""
"55"	"32"	"25"	"47"	"154"	"331"	"8"	"11"	"3"	"579"	"0"	"579"	"0"	""
"56"	"33"	"14"	"65"	"219"	"213"	"13"	"7"	"3"	"534"	"0"	"534"	"0"	""
"57"	"34"	"4"	"16"	"16"	"250"	"7"	"4"	"6"	"303"	"0"	"303"	"0"	""
"58"	"35"	"15"	"36"	"106"	"283"	"12"	"4"	"10"	"466"	"0"	"466"	"0"	""
"59"	"35A"	"6"	"8"	"97"	"49"	"2"	"0"	"5"	"167"	"0"	"167"	"0"	""
"60"	"36"	"27"	"49"	"91"	"393"	"19"	"12"	"5"	"596"	"0"	"596"	"0"	""
"61"	"37"	"119"	"42"	"119"	"169"	"26"	"3"	"19"	"497"	"0"	"497"	"0"	""
"62"	"38"	"20"	"97"	"109"	"249"	"10"	"7"	"14"	"506"	"0"	"506"	"0"	""
"63"	"39"	"7"	"48"	"237"	"172"	"13"	"3"	"4"	"484"	"0"	"484"	"0"	""
