"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"3"	"Round - 1"	"1"	"66"	"226"	"380"	"35"	"707"	""	"707"	"0"
"4"	""	"2"	"67"	"267"	"303"	"57"	"694"	""	"694"	"0"
"5"	""	"3"	"39"	"183"	"314"	"28"	"564"	""	"564"	"0"
"6"	""	"4"	"44"	"257"	"68"	"15"	"384"	""	"384"	"0"
"7"	""	"5"	"48"	"262"	"178"	"53"	"541"	""	"541"	"0"
"8"	""	"6"	"67"	"353"	"69"	"19"	"508"	""	"508"	"0"
"9"	""	"7"	"62"	"443"	"82"	"28"	"615"	""	"615"	"0"
"10"	""	"8"	"92"	"314"	"76"	"23"	"505"	""	"505"	"0"
"11"	""	"9"	"90"	"218"	"42"	"21"	"371"	""	"371"	"0"
"12"	""	"9&d"	"30"	"205"	"98"	"21"	"354"	""	"354"	"0"
"13"	""	"10"	"61"	"103"	"112"	"8"	"284"	""	"284"	"0"
"14"	""	"11"	"45"	"156"	"181"	"19"	"401"	""	"401"	"0"
"15"	""	"12"	"30"	"277"	"143"	"28"	"478"	""	"478"	"0"
"16"	""	"13"	"86"	"176"	"129"	"22"	"413"	""	"413"	"0"
"17"	""	"Total"	"827"	"3440"	"2175"	"377"	"6819"	""	"6819"	"0"
"18"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"20"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"21"	"Round - 2"	"13&d"	"39"	"124"	"94"	"18"	"275"	""	"275"	"0"
"22"	""	"14"	"48"	"266"	"181"	"28"	"523"	""	"523"	"0"
"23"	""	"15"	"70"	"138"	"137"	"21"	"366"	""	"366"	"0"
"24"	""	"15&d"	"29"	"121"	"128"	"15"	"293"	""	"293"	"0"
"25"	""	"16"	"81"	"108"	"221"	"17"	"427"	""	"427"	"0"
"26"	""	"17"	"28"	"87"	"138"	"23"	"276"	""	"276"	"0"
"27"	""	"18"	"79"	"119"	"201"	"38"	"437"	""	"437"	"0"
"28"	""	"19"	"149"	"70"	"89"	"40"	"348"	""	"348"	"0"
"29"	""	"19&d"	"47"	"102"	"170"	"9"	"328"	""	"328"	"0"
"30"	""	"20"	"87"	"133"	"194"	"29"	"443"	""	"443"	"0"
"31"	""	"21"	"68"	"89"	"345"	"50"	"552"	""	"552"	"0"
"32"	""	"22"	"126"	"142"	"247"	"53"	"568"	""	"568"	"0"
"33"	""	"23"	"145"	"113"	"223"	"33"	"514"	""	"514"	"0"
"34"	""	"24"	"98"	"69"	"234"	"48"	"449"	""	"449"	"0"
"35"	""	"Total"	"1094"	"1681"	"2602"	"422"	"5799"	""	"5799"	"0"
"36"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"38"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"39"	"Round - 3"	"25"	"239"	"54"	"160"	"20"	"473"	""	"473"	"0"
"40"	""	"26"	"23"	"42"	"265"	"17"	"347"	""	"347"	"0"
"41"	""	"27"	"17"	"156"	"214"	"14"	"401"	""	"401"	"0"
"42"	""	"28"	"55"	"110"	"138"	"10"	"313"	""	"313"	"0"
"43"	""	"29"	"93"	"42"	"108"	"4"	"247"	""	"247"	"0"
"44"	""	"30"	"32"	"52"	"198"	"20"	"302"	""	"302"	"0"
"45"	""	"31"	"47"	"170"	"299"	"23"	"539"	""	"539"	"0"
"46"	""	"32"	"46"	"117"	"284"	"14"	"461"	""	"461"	"0"
"47"	""	"33"	"24"	"51"	"390"	"19"	"484"	""	"484"	"0"
"48"	""	"34"	"119"	"79"	"431"	"30"	"659"	""	"659"	"0"
"49"	""	"35"	"44"	"132"	"370"	"44"	"590"	""	"590"	"0"
"50"	""	"36"	"74"	"97"	"306"	"31"	"508"	""	"508"	"0"
"51"	""	"37"	"44"	"99"	"497"	"26"	"666"	""	"666"	"0"
"52"	""	"38"	"127"	"89"	"152"	"12"	"380"	""	"380"	"0"
"53"	""	"Total"	"984"	"1290"	"3812"	"284"	"6370"	""	"6370"	"0"
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"57"	"Round - 4"	"38&d"	"58"	"128"	"181"	"15"	"382"	""	"382"	"0"
"58"	""	"39"	"66"	"147"	"172"	"23"	"408"	""	"408"	"0"
"59"	""	"39&d"	"108"	"93"	"173"	"18"	"392"	""	"392"	"0"
"60"	""	"40"	"104"	"94"	"130"	"24"	"352"	""	"352"	"0"
"61"	""	"41"	"90"	"161"	"174"	"27"	"452"	""	"452"	"0"
"62"	""	"42"	"46"	"196"	"85"	"18"	"345"	""	"345"	"0"
"63"	""	"43"	"138"	"126"	"206"	"24"	"494"	""	"494"	"0"
"64"	""	"44"	"88"	"73"	"229"	"17"	"407"	""	"407"	"0"
"65"	""	"45"	"107"	"171"	"184"	"33"	"495"	""	"495"	"0"
"66"	""	"46"	"19"	"94"	"215"	"10"	"338"	""	"338"	"0"
"67"	""	"47"	"93"	"152"	"266"	"16"	"527"	""	"527"	"0"
"68"	""	"48"	"174"	"224"	"266"	"58"	"722"	""	"722"	"0"
"69"	""	"49"	"116"	"119"	"198"	"34"	"467"	""	"467"	"0"
"70"	""	"50"	"110"	"243"	"287"	"40"	"680"	""	"680"	"0"
"71"	""	"Total"	"1317"	"2021"	"2766"	"357"	"6461"	""	"6461"	"0"
"72"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"74"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"75"	"Round - 5"	"51"	"168"	"99"	"225"	"44"	"536"	""	"536"	"0"
"76"	""	"52"	"26"	"138"	"201"	"17"	"382"	""	"382"	"0"
"77"	""	"53"	"82"	"69"	"223"	"37"	"411"	""	"411"	"0"
"78"	""	"54"	"63"	"98"	"256"	"26"	"443"	""	"443"	"0"
"79"	""	"55"	"25"	"129"	"129"	"20"	"303"	""	"303"	"0"
"80"	""	"56"	"65"	"67"	"108"	"10"	"250"	""	"250"	"0"
"81"	""	"57"	"24"	"87"	"317"	"11"	"439"	""	"439"	"0"
"82"	""	"58"	"92"	"56"	"295"	"39"	"482"	""	"482"	"0"
"83"	""	"59"	"30"	"97"	"278"	"24"	"429"	""	"429"	"0"
"84"	""	"60"	"135"	"187"	"149"	"27"	"498"	""	"498"	"0"
"85"	""	"61"	"139"	"115"	"208"	"21"	"483"	""	"483"	"0"
"86"	""	"62"	"118"	"160"	"90"	"24"	"392"	""	"392"	"0"
"87"	""	"63"	"156"	"225"	"39"	"19"	"439"	""	"439"	"0"
"88"	""	"64"	"100"	"238"	"99"	"26"	"463"	""	"463"	"0"
"89"	""	"Total"	"1223"	"1765"	"2617"	"345"	"5950"	""	"5950"	"0"
"90"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	""	"Kripa Nand Jha"	"Yugeshwar Jha"	"Shaligram Yadav"	"Chander Pasawan"	""	""	""	""
"92"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"93"	"Round - 6"	"65"	"164"	"88"	"98"	"13"	"363"	""	"363"	"0"
"94"	""	"66"	"214"	"123"	"205"	"56"	"598"	""	"598"	"0"
"95"	""	"67"	"208"	"153"	"152"	"29"	"542"	""	"542"	"0"
"96"	""	"68"	"127"	"145"	"112"	"24"	"408"	""	"408"	"0"
"97"	""	"68&d"	"215"	"66"	"27"	"13"	"321"	""	"321"	"0"
"98"	""	"69"	"169"	"71"	"307"	"36"	"583"	""	"583"	"0"
"99"	""	"70"	"25"	"151"	"54"	"16"	"246"	""	"246"	"0"
"100"	""	"70&d"	"38"	"85"	"232"	"24"	"379"	""	"379"	"0"
"101"	""	"71"	"52"	"206"	"85"	"25"	"368"	""	"368"	"0"
"102"	""	"72"	"32"	"82"	"228"	"31"	"373"	""	"373"	"0"
"103"	""	"72&d"	"15"	"115"	"163"	"24"	"317"	""	"317"	"0"
"104"	""	"73"	"45"	"91"	"181"	"38"	"355"	""	"355"	"0"
"105"	""	"74"	"33"	"111"	"295"	"37"	"476"	""	"476"	"0"
"106"	""	"75"	"31"	"130"	"166"	"17"	"344"	""	"344"	"0"
"107"	""	"Total"	"1368"	"1617"	"2305"	"383"	"5673"	""	"5673"	"0"
"108"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
