"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 71-SURSAND CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 71-Sursand"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total Number of Electors in Assembly Constituency :- 2,01,156"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	""	"Arjun Mandal"	"Jai Nandan Prasad Yadav"	"Baidyanath Prasad"	"Ravindra Prasad Shahi"	"Awadhesh Kumar Choudhary"	"Indal Singh"	"Maya Shankar Sharan"	""	""	""	""
"8"	"1"	"12"	"62"	"69"	"175"	"9"	"12"	"10"	"349"	"-"	"349"	"-"
"9"	"1A"	"19"	"84"	"102"	"47"	"1"	"9"	"13"	"275"	"-"	"275"	"-"
"10"	"2"	"17"	"265"	"62"	"9"	"7"	"5"	"8"	"373"	"-"	"373"	"-"
"11"	"3"	"9"	"241"	"34"	"61"	"2"	"7"	"8"	"362"	"-"	"362"	"-"
"12"	"4"	"16"	"214"	"16"	"114"	"5"	"10"	"9"	"384"	"-"	"384"	"-"
"13"	"5"	"19"	"53"	"133"	"87"	"1"	"3"	"5"	"301"	"-"	"301"	"-"
"14"	"6"	"4"	"34"	"180"	"195"	"3"	"3"	"6"	"425"	"-"	"425"	"-"
"15"	"7"	"5"	"145"	"82"	"16"	"3"	"0"	"8"	"259"	"-"	"259"	"-"
"16"	"8"	"17"	"291"	"53"	"91"	"2"	"9"	"9"	"472"	"-"	"472"	"-"
"17"	"9"	"8"	"90"	"260"	"26"	"10"	"8"	"8"	"410"	"-"	"410"	"-"
"18"	"9A"	"9"	"65"	"326"	"25"	"11"	"5"	"6"	"447"	"-"	"447"	"-"
"19"	"10"	"9"	"225"	"209"	"158"	"14"	"10"	"12"	"637"	"-"	"637"	"-"
"20"	"11"	"24"	"361"	"189"	"37"	"10"	"11"	"19"	"651"	"-"	"651"	"-"
"21"	"12"	"14"	"174"	"89"	"56"	"6"	"10"	"15"	"364"	"-"	"364"	"-"
"22"	"13"	"5"	"183"	"153"	"54"	"11"	"12"	"17"	"435"	"-"	"435"	"-"
"23"	"14"	"4"	"314"	"76"	"15"	"4"	"2"	"4"	"419"	"-"	"419"	"-"
"24"	"14A"	"15"	"241"	"66"	"6"	"1"	"4"	"2"	"335"	"-"	"335"	"-"
"25"	"15"	"11"	"233"	"103"	"142"	"10"	"6"	"10"	"515"	"-"	"515"	"-"
"26"	"16"	"11"	"288"	"22"	"46"	"1"	"8"	"8"	"384"	"-"	"384"	"-"
"27"	"17"	"10"	"196"	"123"	"21"	"3"	"7"	"3"	"363"	"-"	"363"	"-"
"28"	"18"	"47"	"238"	"264"	"170"	"16"	"22"	"16"	"773"	"-"	"773"	"-"
"29"	"19"	"6"	"257"	"239"	"86"	"3"	"3"	"2"	"596"	"-"	"596"	"-"
"30"	"20"	"9"	"153"	"140"	"61"	"4"	"5"	"12"	"384"	"-"	"384"	"-"
"31"	"20A"	"13"	"189"	"84"	"60"	"8"	"9"	"14"	"377"	"-"	"377"	"-"
"32"	"21"	"3"	"174"	"80"	"73"	"0"	"2"	"2"	"334"	"-"	"334"	"-"
"33"	"22"	"42"	"173"	"137"	"106"	"9"	"13"	"15"	"495"	"-"	"495"	"-"
"34"	"23"	"11"	"129"	"156"	"38"	"7"	"10"	"14"	"365"	"-"	"365"	"-"
"35"	"24"	"85"	"152"	"138"	"46"	"7"	"1"	"17"	"446"	"-"	"446"	"-"
"36"	"25"	"54"	"73"	"234"	"133"	"4"	"11"	"17"	"526"	"-"	"526"	"-"
"37"	"26"	"5"	"122"	"348"	"49"	"5"	"7"	"5"	"541"	"-"	"541"	"-"
"38"	"27"	"59"	"174"	"210"	"37"	"9"	"16"	"22"	"527"	"-"	"527"	"-"
"39"	"28"	"96"	"141"	"228"	"90"	"7"	"13"	"16"	"591"	"-"	"591"	"-"
"40"	"29"	"16"	"208"	"177"	"83"	"16"	"14"	"19"	"533"	"-"	"533"	"-"
"41"	"30"	"6"	"93"	"225"	"99"	"12"	"11"	"25"	"471"	"-"	"471"	"-"
"42"	"31"	"11"	"172"	"106"	"101"	"11"	"5"	"6"	"412"	"-"	"412"	"-"
"43"	"32"	"15"	"101"	"113"	"96"	"7"	"10"	"15"	"357"	"-"	"357"	"-"
"44"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"45"	""	"Arjun Mandal"	"Jai Nandan Prasad Yadav"	"Baidyanath Prasad"	"Ravindra Prasad Shahi"	"Awadhesh Kumar Choudhary"	"Indal Singh"	"Maya Shankar Sharan"	""	""	""	""
"46"	"33"	"22"	"438"	"27"	"6"	"4"	"4"	"10"	"511"	"-"	"511"	"-"
"47"	"34"	"16"	"458"	"14"	"4"	"2"	"3"	"4"	"501"	"-"	"501"	"-"
"48"	"35"	"2"	"130"	"13"	"72"	"2"	"0"	"2"	"221"	"-"	"221"	"-"
"49"	"36"	"4"	"306"	"80"	"4"	"2"	"3"	"2"	"401"	"-"	"401"	"-"
"50"	"37"	"9"	"136"	"256"	"21"	"7"	"6"	"5"	"440"	"-"	"440"	"-"
"51"	"38"	"43"	"124"	"75"	"143"	"20"	"22"	"19"	"446"	"-"	"446"	"-"
"52"	"39"	"22"	"103"	"161"	"115"	"9"	"12"	"12"	"434"	"-"	"434"	"-"
"53"	"40"	"11"	"222"	"46"	"54"	"1"	"4"	"9"	"347"	"-"	"347"	"-"
"54"	"41"	"9"	"232"	"346"	"69"	"13"	"10"	"11"	"690"	"-"	"690"	"-"
"55"	"42"	"13"	"143"	"338"	"97"	"9"	"12"	"8"	"620"	"-"	"620"	"-"
"56"	"43"	"13"	"240"	"230"	"56"	"22"	"24"	"19"	"604"	"-"	"604"	"-"
"57"	"44"	"10"	"108"	"180"	"132"	"26"	"22"	"30"	"508"	"-"	"508"	"-"
"58"	"45"	"41"	"112"	"79"	"54"	"9"	"8"	"8"	"311"	"-"	"311"	"-"
"59"	"45A"	"10"	"72"	"31"	"83"	"3"	"7"	"7"	"213"	"-"	"213"	"-"
"60"	"46"	"4"	"310"	"74"	"107"	"4"	"2"	"1"	"502"	"-"	"502"	"-"
"61"	"47"	"17"	"67"	"290"	"76"	"7"	"8"	"5"	"470"	"-"	"470"	"-"
"62"	"48"	"29"	"149"	"106"	"24"	"6"	"6"	"9"	"329"	"-"	"329"	"-"
