"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency                              Name of the Assembly Segment"	""	""	""	""	""	"204203+756
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	"Serial No. of Polling Station"	""	"Anuradha Devi"	"Ram Bihari Singh"	"Saroj Chaubey"	"Sunil Singh"	"Dadan Singh"	"Dhananjay Kumar"	"Sanjay Kumar Singh"	"Sidh Nath Singh"	"Baban Paswan"	""	"TOTAL VALID VOTES"	""	"REJECTED VOTES"	""	"TOTAL VOTES"	"NO.OF TENDERED VOTES"	""
"6"	""	""	""	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD6"	"CD7"	"CD8"	"CD9"	""	""	""	""	""	""	""	""
"7"	"R
o u n d
1"	""	"1"	"176"	"78"	"5"	"14"	"71"	"180"	"2"	"7"	"12"	""	"545"	""	"0"	""	"545"	"0"	""
"8"	""	""	"2"	"32"	"198"	"13"	"52"	"147"	"4"	"2"	"5"	"7"	""	"460"	""	"0"	""	"460"	"0"	""
"9"	""	""	"3"	"9"	"149"	"14"	"134"	"96"	"1"	"3"	"3"	"5"	""	"414"	""	"0"	""	"414"	"0"	""
"10"	""	""	"4"	"32"	"168"	""	"22"	"42"	"2"	""	"2"	"1"	""	"269"	""	"0"	""	"269"	"0"	""
"11"	""	""	"5"	"88"	"189"	"21"	"28"	"114"	"181"	"9"	"5"	"8"	""	"643"	""	"0"	""	"643"	"0"	""
"12"	""	""	"6"	"19"	"170"	"11"	"85"	"203"	"40"	"6"	"17"	"15"	""	"566"	""	"0"	""	"566"	"0"	""
"13"	""	""	"7"	"3"	"161"	"8"	"31"	"200"	"2"	"2"	"3"	"5"	""	"415"	""	"0"	""	"415"	"0"	""
"14"	""	""	"8"	"24"	"123"	"8"	"171"	"421"	"15"	"4"	"6"	"16"	""	"788"	""	"0"	""	"788"	"0"	""
"15"	""	""	"9"	"18"	"100"	"1"	"41"	"333"	"15"	"2"	"5"	"3"	""	"518"	""	"0"	""	"518"	"0"	""
"16"	""	""	"10"	"18"	"148"	"7"	"69"	"309"	"16"	"8"	"7"	"15"	""	"597"	""	"0"	""	"597"	"0"	""
"17"	""	""	"11"	"11"	"90"	"5"	"33"	"144"	"9"	"3"	"3"	"5"	""	"303"	""	"0"	""	"303"	"0"	""
"18"	""	""	"12"	"22"	"141"	""	"31"	"179"	"8"	"5"	"3"	"9"	""	"398"	""	"0"	""	"398"	"0"	""
