"X..vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X1....izk.i.20.."	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"vfHkfyf[kr djus ds fy, mi;ksx essa yk;k tk, ½"	""	""	""	""	""	""	""	""	"[  fu;e 56 ¼7½ nsf[k,"	""	""	""	"]"	""	""	""	""	""	""
"2"	"141 & cjkjh fuokZpu {ks= ls fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	"vfUre ifj.kkei="	""	""	""	""	"lHkk fuokZpu&{ks= [kaM esa fuokZpdks dh dqy la0 -------"	""	""	""	""	""
"3"	"lHkk [kaM dk uke ¼lalnh;½ fuokZpu dh lHkk esa -----------"	""	""	""	""	""	""	""	""	"Hkkx 1"	""	""	""	""	"lHkk fuokZpu&{ks= [kaM esa fuokZpdks dh dqy la0 -------"	""	""	""	""	""
"4"	"¼ lalnh; vkSj fo/kku lHkk nksuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"6"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"7"	"1"	""	"25"	"7"	""	"279"	"219"	"127"	""	"10"	""	"14"	"8"	"14"	""	"703"	"0"	"703"	""	""
"8"	"2"	""	"28"	"12"	""	"429"	"184"	"132"	""	"14"	""	"10"	"20"	"19"	""	"848"	"0"	"848"	""	""
"9"	"3"	""	"16"	"13"	""	"505"	"37"	"80"	""	"9"	""	"9"	"6"	"13"	""	"688"	"0"	"688"	""	""
"10"	"4"	""	"23"	"5"	""	"227"	"243"	"110"	""	"18"	""	"11"	"10"	"11"	""	"658"	"0"	"658"	""	""
