"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"11"	"1"	"1"	"14"	"198"	"17"	"8"	"1"	"0"	"1"	"1"	"7"	"2"	"2"	"32"	"0"	"7"	"290"	"0"	"290"	"0"
"12"	"2"	"2"	"11"	"116"	"5"	"6"	"2"	"2"	"2"	"1"	"4"	"0"	"5"	"50"	"8"	"11"	"223"	"0"	"223"	"0"
"13"	"3"	"3"	"4"	"395"	"4"	"2"	"0"	"2"	"1"	"0"	"3"	"0"	"0"	"1"	"2"	"2"	"416"	"0"	"416"	"0"
"14"	"4"	"4"	"4"	"8"	"3"	"3"	"4"	"389"	"9"	"6"	"17"	"2"	"4"	"2"	"0"	"7"	"458"	"0"	"458"	"0"
"15"	"5"	"5"	"20"	"154"	"20"	"13"	"4"	"34"	"1"	"2"	"2"	"2"	"3"	"11"	"2"	"7"	"275"	"0"	"275"	"0"
"16"	"6"	"6"	"18"	"246"	"2"	"0"	"1"	"1"	"3"	"1"	"2"	"3"	"3"	"20"	"2"	"7"	"309"	"0"	"309"	"0"
"17"	"7"	"7"	"24"	"371"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"401"	"0"	"401"	"0"
"18"	"8"	"7A"	"14"	"359"	"7"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"4"	"1"	"2"	"390"	"0"	"390"	"0"
"19"	"9"	"8"	"7"	"223"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"237"	"0"	"237"	"0"
"20"	"10"	"9"	"24"	"103"	"12"	"25"	"4"	"7"	"1"	"4"	"9"	"3"	"14"	"166"	"16"	"17"	"405"	"0"	"405"	"0"
"21"	"11"	"10"	"8"	"29"	"6"	"20"	"5"	"8"	"1"	"8"	"7"	"7"	"16"	"210"	"12"	"31"	"368"	"0"	"368"	"0"
