"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"1"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used both for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ROUND-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""
"6"	"Serial no. of polling station"	""	"Aquil Haider"	""	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	""	"Ram Babu Baitha"	""	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	"Amit Kumar Albela"	""	""	""	""	"Kapileshwar Lal"	""	""	"Sanjay Kumar"	""	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	""	"51"	""	""	"138"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	"16"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"6"	""	""	""	"233"	""	""	""	""	""	""	"233"	""	""	""	""	""	""
"8"	"2"	""	"207"	""	""	"197"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	"7"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	"6"	""	""	""	"437"	""	""	""	""	""	""	"437"	""	""	""	""	""	""
"9"	"3"	""	"125"	""	""	"255"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	"11"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"3"	""	""	""	"412"	""	""	""	""	""	""	"412"	""	""	""	""	""	""
"10"	"4"	""	"123"	""	""	"460"	""	""	""	"2"	""	""	""	""	"18"	""	""	""	""	""	"6"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"2"	""	""	"5"	""	""	""	""	"2"	""	""	""	"631"	""	""	""	""	""	""	"631"	""	""	""	""	""	""
