"X."	"X..1"	"X..2"	"X..3"	"Foram.20......017.PIPRA"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"KRISHNANDAN PASWAN"	"MALA  DEVI"	"VISHWA  NATH PASWAN"	"SURENDRA KUMAR CHANDRA"	"VEENA  PASWAN"	"SAHDEO  PASWAN"	"GANESH PASWAN"	"SURESH PASWAN"	"Total"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"4"	"1"	""	"719"	"1"	"167"	"1"	"8"	"207"	"19"	"4"	"4"	"28"	"438"
"5"	"2"	""	"623"	"1"	"15"	"1"	"10"	"408"	"10"	"6"	"3"	"2"	"455"
"6"	"3"	""	"625"	"1"	"196"	"6"	"29"	"109"	"5"	"4"	"2"	"5"	"356"
"7"	"4"	""	"594"	"1"	"114"	"8"	"3"	"89"	"9"	"1"	"2"	"15"	"241"
"8"	"5"	""	"699"	"1"	"186"	"5"	"4"	"92"	"8"	"2"	"5"	"12"	"314"
"9"	"6"	""	"985"	"1"	"243"	"10"	"33"	"103"	"7"	"1"	"0"	"25"	"422"
"10"	"7"	""	"903"	"1"	"64"	"5"	"17"	"329"	"23"	"1"	"3"	"7"	"449"
"11"	"8"	""	"991"	"1"	"211"	"2"	"41"	"164"	"8"	"0"	"4"	"10"	"440"
"12"	"9"	""	"1297"	"1"	"314"	"7"	"9"	"129"	"15"	"1"	"6"	"18"	"499"
"13"	"10"	""	"955"	"1"	"415"	"10"	"25"	"125"	"5"	"2"	"3"	"21"	"606"
"14"	"11"	""	"575"	"2"	"105"	"5"	"9"	"173"	"15"	"5"	"2"	"12"	"326"
"15"	"12"	""	"1097"	"2"	"253"	"2"	"24"	"205"	"8"	"1"	"0"	"2"	"495"
"16"	"13"	""	"1066"	"2"	"276"	"2"	"13"	"96"	"5"	"0"	"0"	"9"	"401"
"17"	"14"	""	"1095"	"2"	"299"	"5"	"12"	"150"	"9"	"2"	"4"	"5"	"486"
"18"	"15"	""	"1305"	"2"	"183"	"22"	"49"	"263"	"25"	"13"	"7"	"28"	"590"
"19"	"16"	""	"891"	"2"	"390"	"2"	"4"	"31"	"0"	"0"	"3"	"17"	"447"
"20"	"17"	""	"848"	"2"	"270"	"6"	"21"	"89"	"2"	"2"	"2"	"6"	"398"
"21"	"18"	""	"781"	"2"	"307"	"14"	"6"	"68"	"3"	"1"	"3"	"10"	"412"
"22"	"19"	""	"946"	"2"	"285"	"10"	"7"	"140"	"11"	"2"	"6"	"14"	"475"
"23"	"19"	"A"	"537"	"2"	"117"	"4"	"9"	"68"	"4"	"2"	"0"	"8"	"212"
"24"	"20"	""	"1269"	"3"	"375"	"11"	"17"	"204"	"16"	"7"	"1"	"8"	"639"
"25"	"21"	""	"654"	"3"	"92"	"2"	"4"	"242"	"10"	"2"	"6"	"12"	"370"
"26"	"22"	""	"733"	"3"	"172"	"39"	"6"	"137"	"3"	"2"	"1"	"1"	"361"
"27"	"23"	""	"1124"	"3"	"204"	"8"	"7"	"214"	"10"	"6"	"10"	"32"	"491"
"28"	"24"	""	"1283"	"3"	"347"	"8"	"35"	"184"	"7"	"3"	"1"	"12"	"597"
"29"	"25"	""	"1296"	"3"	"326"	"10"	"109"	"121"	"3"	"3"	"2"	"1"	"575"
"30"	"26"	""	"1071"	"3"	"186"	"13"	"20"	"321"	"11"	"12"	"11"	"35"	"609"
"31"	"27"	""	"893"	"3"	"161"	"7"	"14"	"270"	"12"	"6"	"5"	"17"	"492"
"32"	"28"	""	"975"	"3"	"204"	"6"	"22"	"280"	"17"	"3"	"9"	"9"	"550"
"33"	"29"	""	"683"	"3"	"29"	"5"	"2"	"311"	"18"	"8"	"7"	"17"	"397"
"34"	"30"	""	"1296"	"4"	"161"	"3"	"143"	"371"	"8"	"6"	"4"	"11"	"707"
"35"	"31"	""	"582"	"4"	"151"	"4"	"21"	"105"	"5"	"4"	"4"	"8"	"302"
"36"	"32"	""	"936"	"4"	"320"	"4"	"12"	"36"	"2"	"3"	"13"	"1"	"391"
"37"	"33"	""	"913"	"4"	"118"	"6"	"33"	"257"	"13"	"4"	"2"	"7"	"440"
"38"	"33"	"A"	"576"	"4"	"167"	"2"	"5"	"52"	"3"	"3"	"0"	"2"	"234"
"39"	"34"	""	"794"	"4"	"59"	"3"	"64"	"275"	"18"	"6"	"2"	"2"	"429"
"40"	"35"	""	"813"	"4"	"154"	"5"	"7"	"181"	"15"	"5"	"2"	"18"	"387"
"41"	"36"	""	"1027"	"4"	"254"	"14"	"25"	"254"	"22"	"10"	"6"	"18"	"603"
"42"	"37"	""	"811"	"4"	"171"	"2"	"5"	"235"	"11"	"5"	"4"	"11"	"444"
"43"	"38"	""	"807"	"4"	"108"	"7"	"7"	"157"	"12"	"6"	"2"	"4"	"303"
"44"	"39"	""	"912"	"5"	"70"	"3"	"23"	"191"	"13"	"30"	"3"	"16"	"349"
"45"	"40"	""	"880"	"5"	"67"	"3"	"10"	"214"	"11"	"3"	"5"	"15"	"328"
"46"	"40"	"A"	"S"	"5"	"72"	"5"	"11"	"64"	"8"	"5"	"0"	"6"	"171"
"47"	"41"	""	"1081"	"5"	"235"	"12"	"14"	"50"	"5"	"8"	"7"	"29"	"360"
"48"	"42"	""	"1165"	"5"	"214"	"11"	"52"	"90"	"22"	"16"	"13"	"33"	"451"
"49"	"43"	""	"802"	"5"	"179"	"3"	"36"	"87"	"7"	"8"	"3"	"17"	"340"
"50"	"44"	""	"937"	"5"	"124"	"11"	"44"	"244"	"16"	"8"	"5"	"25"	"477"
"51"	"45"	""	"902"	"5"	"156"	"4"	"103"	"169"	"7"	"15"	"4"	"5"	"463"
"52"	"46"	""	"746"	"5"	"147"	"5"	"70"	"105"	"7"	"23"	"2"	"2"	"361"
"53"	"47"	""	"841"	"5"	"79"	"5"	"8"	"248"	"9"	"38"	"2"	"15"	"404"
"54"	"47"	"A"	"586"	"6"	"27"	"1"	"22"	"212"	"9"	"21"	"1"	"8"	"301"
"55"	"48"	""	"1334"	"6"	"243"	"8"	"63"	"250"	"19"	"24"	"3"	"14"	"624"
"56"	"49"	""	"784"	"6"	"157"	"3"	"7"	"117"	"5"	"7"	"2"	"4"	"302"
"57"	"50"	""	"1071"	"6"	"271"	"21"	"35"	"123"	"9"	"5"	"9"	"30"	"503"
"58"	""	""	""	""	"Foram 20      017-PIPRA"	""	""	""	""	""	""	""	""
"59"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""
"60"	"Booth No."	"Ext"	"Voters"	"Round"	"KRISHNANDAN PASWAN"	"MALA  DEVI"	"VISHWA  NATH PASWAN"	"SURENDRA KUMAR CHANDRA"	"VEENA  PASWAN"	"SAHDEO  PASWAN"	"GANESH PASWAN"	"SURESH PASWAN"	"Total"
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"62"	"51"	""	"535"	"6"	"94"	"5"	"67"	"97"	"6"	"3"	"2"	"6"	"280"
"63"	"52"	""	"845"	"6"	"224"	"6"	"13"	"151"	"10"	"1"	"1"	"7"	"413"
"64"	"53"	""	"840"	"6"	"105"	"7"	"74"	"187"	"13"	"4"	"1"	"10"	"401"
"65"	"54"	""	"854"	"6"	"189"	"8"	"15"	"169"	"19"	"8"	"4"	"18"	"430"
"66"	"55"	""	"929"	"6"	"327"	"4"	"3"	"75"	"5"	"3"	"3"	"26"	"446"
"67"	"56"	""	"1005"	"6"	"324"	"8"	"26"	"105"	"5"	"4"	"2"	"18"	"492"
"68"	"57"	""	"1328"	"7"	"371"	"5"	"9"	"128"	"9"	"6"	"3"	"12"	"543"
"69"	"58"	""	"1252"	"7"	"374"	"11"	"2"	"22"	"1"	"3"	"3"	"11"	"427"
"70"	"59"	""	"1007"	"7"	"226"	"8"	"2"	"88"	"9"	"6"	"5"	"24"	"368"
"71"	"60"	""	"1026"	"7"	"150"	"3"	"28"	"232"	"8"	"3"	"3"	"7"	"434"
"72"	"61"	""	"1140"	"7"	"206"	"10"	"36"	"157"	"6"	"5"	"4"	"4"	"428"
"73"	"62"	""	"965"	"7"	"128"	"8"	"35"	"163"	"13"	"5"	"2"	"3"	"357"
"74"	"63"	""	"706"	"7"	"163"	"5"	"31"	"157"	"7"	"2"	"5"	"8"	"378"
"75"	"64"	""	"1399"	"7"	"272"	"1"	"102"	"169"	"10"	"4"	"3"	"16"	"577"
"76"	"65"	""	"1011"	"7"	"287"	"5"	"61"	"135"	"8"	"3"	"3"	"15"	"517"
