"Polling.Station.No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total.Votes.Polled"
"1"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"2"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"4"	"1"	"60"	"312"	"30"	"14"	"8"	"14"	"438"
"5"	"2"	"70"	"107"	"9"	"2"	"31"	"7"	"226"
"6"	"3"	"358"	"12"	"18"	"10"	"16"	"16"	"430"
"7"	"4"	"128"	"70"	"12"	"8"	"4"	"3"	"225"
"8"	"5"	"45"	"201"	"11"	"2"	"5"	"3"	"267"
"9"	"6"	"296"	"184"	"40"	"1"	"8"	"26"	"555"
"10"	"7"	"308"	"150"	"16"	"8"	"13"	"27"	"522"
"11"	"8"	"310"	"77"	"27"	"1"	"5"	"5"	"425"
"12"	"9"	"304"	"29"	"4"	"3"	"1"	"14"	"355"
"13"	"10"	"140"	"186"	"118"	"41"	"23"	"33"	"541"
"14"	"11"	"123"	"49"	"6"	"2"	"1"	"5"	"186"
"15"	"12"	"119"	"239"	"18"	"9"	"8"	"8"	"401"
"16"	"13"	"271"	"35"	"3"	"1"	"4"	"6"	"320"
"17"	"14"	"367"	"55"	"33"	"10"	"6"	"8"	"479"
"18"	"15"	"311"	"129"	"23"	"8"	"6"	"19"	"496"
"19"	"16"	"263"	"49"	"15"	"5"	"3"	"8"	"343"
"20"	"17"	"250"	"195"	"41"	"8"	"8"	"14"	"516"
"21"	"18"	"86"	"185"	"29"	"6"	"8"	"17"	"331"
"22"	"19"	"102"	"177"	"15"	"4"	"3"	"3"	"304"
"23"	"20"	"122"	"31"	"48"	"7"	"16"	"19"	"243"
"24"	"21"	"179"	"11"	"8"	"2"	"4"	"7"	"211"
"25"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"Total Votes Polled"
"26"	""	"KANT LAL RISHI"	"KRISHNA KUMAR RISHI"	"VEENA DEVI"	"GUGAL PASWAN"	"RAMDEO RISHI"	"UMESH PASWAN"	""
"27"	""	"Rastriya Janata Dal"	"Bharatiya Janata Party"	"Communist Party Of India"	"Samata Party"	"Samajwadi Party"	"Independent"	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"29"	"22"	"228"	"25"	"31"	"5"	"3"	"21"	"313"
"30"	"23"	"39"	"90"	"102"	"10"	"7"	"14"	"262"
"31"	"24"	"53"	"272"	"41"	"4"	"7"	"21"	"398"
"32"	"25"	"102"	"25"	"61"	"14"	"14"	"9"	"225"
"33"	"26"	"242"	"161"	"24"	"6"	"8"	"3"	"444"
"34"	"27"	"135"	"148"	"30"	"5"	"10"	"15"	"343"
"35"	"28"	"159"	"91"	"37"	"5"	"3"	"12"	"307"
"36"	"29"	"190"	"54"	"38"	"7"	"6"	"17"	"312"
"37"	"30"	"287"	"75"	"35"	"5"	"21"	"55"	"478"
"38"	"31"	"76"	"13"	"234"	"26"	"15"	"11"	"375"
"39"	"32"	"75"	"147"	"27"	"5"	"11"	"15"	"280"
"40"	"32A"	"90"	"140"	"28"	"10"	"10"	"25"	"303"
"41"	"33"	"82"	"243"	"38"	"10"	"23"	"31"	"427"
