"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No.of Polling Station"	""	"Janardan Singh Sigriwal"	""	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	"Tatal of Valid Votes"	""	""	""	"No.of Rejected Votes"	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""
"4"	"1"	""	"283"	""	""	"132"	""	""	"141"	""	"9"	""	""	"14"	""	"9"	""	""	"31"	""	"619"	""	""	""	""	""	""	""	""	""	""	""
"5"	"2"	""	"166"	""	""	"78"	""	""	"217"	""	"21"	""	""	"10"	""	"4"	""	""	"28"	""	"524"	""	""	""	""	""	""	""	""	""	""	""
"6"	"3"	""	"235"	""	""	"172"	""	""	"251"	""	"14"	""	""	"18"	""	"10"	""	""	"27"	""	"727"	""	""	""	""	""	""	""	""	""	""	""
"7"	"4"	""	"122"	""	""	"76"	""	""	"100"	""	"2"	""	""	"2"	""	"4"	""	""	"12"	""	"318"	""	""	""	""	""	""	""	""	""	""	""
"8"	"4A"	""	"72"	""	""	"131"	""	""	"118"	""	"8"	""	""	"3"	""	"7"	""	""	"8"	""	"347"	""	""	""	""	""	""	""	""	""	""	""
"9"	"5"	""	"202"	""	""	"191"	""	""	"97"	""	"18"	""	""	"12"	""	"26"	""	""	"60"	""	"606"	""	""	""	""	""	""	""	""	""	""	""
"10"	"6"	""	"132"	""	""	"179"	""	""	"80"	""	"10"	""	""	"12"	""	"11"	""	""	"23"	""	"447"	""	""	""	""	""	""	""	""	""	""	""
"11"	"7"	""	"242"	""	""	"226"	""	""	"64"	""	"7"	""	""	"6"	""	"11"	""	""	"19"	""	"575"	""	""	""	""	""	""	""	""	""	""	""
"12"	"8"	""	"215"	""	""	"301"	""	""	"23"	""	"11"	""	""	"4"	""	"11"	""	""	"22"	""	"587"	""	""	""	""	""	""	""	""	""	""	""
"13"	"9"	""	"305"	""	""	"156"	""	""	"11"	""	"6"	""	""	"10"	""	"12"	""	""	"15"	""	"515"	""	""	""	""	""	""	""	""	""	""	""
"14"	"10"	""	"319"	""	""	"239"	""	""	"39"	""	"6"	""	""	"3"	""	"15"	""	""	"33"	""	"654"	""	""	""	""	""	""	""	""	""	""	""
"15"	"11"	""	"406"	""	""	"198"	""	""	"16"	""	"5"	""	""	"4"	""	"8"	""	""	"20"	""	"657"	""	""	""	""	""	""	""	""	""	""	""
"16"	"12"	""	"222"	""	""	"123"	""	""	"18"	""	"4"	""	""	"2"	""	"3"	""	""	"15"	""	"387"	""	""	""	""	""	""	""	""	""	""	""
"17"	"13"	""	"180"	""	""	"267"	""	""	"13"	""	"7"	""	""	"4"	""	"13"	""	""	"18"	""	"502"	""	""	""	""	""	""	""	""	""	""	""
"18"	"TOTAL"	""	"3101"	""	""	"2469"	""	""	"1188"	""	"128"	""	""	"104"	""	"144"	""	""	"331"	""	"7465"	""	""	""	""	""	""	""	""	""	""	""
"19"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Serial No.of Polling Station"	""	"Janardan Singh Sigriwal"	""	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""
"23"	"14"	""	"308"	""	""	"286"	""	""	"41"	""	"7"	""	""	"5"	""	"13"	""	""	"24"	""	"684"	""	""	""	""	""	""	""	""	""	""	""
"24"	"15"	""	"213"	""	""	"124"	""	""	"17"	""	"3"	""	""	"2"	""	"7"	""	""	"7"	""	"373"	""	""	""	""	""	""	""	""	""	""	""
"25"	"16"	""	"110"	""	""	"251"	""	""	"12"	""	"3"	""	""	"3"	""	"7"	""	""	"14"	""	"400"	""	""	""	""	""	""	""	""	""	""	""
"26"	"17"	""	"382"	""	""	"99"	""	""	"10"	""	"2"	""	""	"4"	""	"6"	""	""	"25"	""	"528"	""	""	""	""	""	""	""	""	""	""	""
"27"	"18"	""	"183"	""	""	"133"	""	""	"17"	""	"4"	""	""	"3"	""	"8"	""	""	"19"	""	"367"	""	""	""	""	""	""	""	""	""	""	""
"28"	"19"	""	"294"	""	""	"261"	""	""	"22"	""	"7"	""	""	"3"	""	"14"	""	""	"18"	""	"619"	""	""	""	""	""	""	""	""	""	""	""
"29"	"20"	""	"285"	""	""	"238"	""	""	"48"	""	"12"	""	""	"8"	""	"6"	""	""	"28"	""	"625"	""	""	""	""	""	""	""	""	""	""	""
"30"	"21"	""	"242"	""	""	"111"	""	""	"27"	""	"6"	""	""	"3"	""	"4"	""	""	"13"	""	"406"	""	""	""	""	""	""	""	""	""	""	""
"31"	"21A"	""	"147"	""	""	"107"	""	""	"5"	""	"3"	""	""	"5"	""	"4"	""	""	"15"	""	"286"	""	""	""	""	""	""	""	""	""	""	""
"32"	"22"	""	"256"	""	""	"196"	""	""	"67"	""	"7"	""	""	"13"	""	"15"	""	""	"41"	""	"595"	""	""	""	""	""	""	""	""	""	""	""
"33"	"23"	""	"301"	""	""	"80"	""	""	"84"	""	"6"	""	""	"12"	""	"16"	""	""	"56"	""	"555"	""	""	""	""	""	""	""	""	""	""	""
"34"	"24"	""	"219"	""	""	"111"	""	""	"68"	""	"12"	""	""	"11"	""	"8"	""	""	"8"	""	"437"	""	""	""	""	""	""	""	""	""	""	""
"35"	"25"	""	"186"	""	""	"211"	""	""	"67"	""	"16"	""	""	"11"	""	"18"	""	""	"20"	""	"529"	""	""	""	""	""	""	""	""	""	""	""
"36"	"26"	""	"195"	""	""	"183"	""	""	"54"	""	"7"	""	""	"6"	""	"20"	""	""	"20"	""	"485"	""	""	""	""	""	""	""	""	""	""	""
"37"	"TOTAL"	""	"3321"	""	""	"2391"	""	""	"539"	""	"95"	""	""	"89"	""	"146"	""	""	"308"	""	"6889"	""	""	""	""	""	""	""	""	""	""	""
"38"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No.of Polling Station"	"Janardan Singh Sigriwal"	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""	""
"42"	"27"	"302"	""	"193"	""	""	"20"	""	"5"	""	""	"6"	""	"15"	""	""	"21"	""	""	"562"	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"28"	"251"	""	"26"	""	""	"11"	""	"2"	""	""	"1"	""	"2"	""	""	"7"	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"29"	"283"	""	"44"	""	""	"130"	""	"22"	""	""	"7"	""	"10"	""	""	"32"	""	""	"528"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"30"	"34"	""	"358"	""	""	"15"	""	"4"	""	""	"2"	""	"9"	""	""	"14"	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"31"	"132"	""	"130"	""	""	"55"	""	"6"	""	""	"6"	""	"8"	""	""	"31"	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"31A"	"189"	""	"44"	""	""	"9"	""	"3"	""	""	"2"	""	"2"	""	""	"11"	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"32"	"168"	""	"163"	""	""	"56"	""	"30"	""	""	"8"	""	"11"	""	""	"18"	""	""	"454"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"32A"	"173"	""	"110"	""	""	"20"	""	"17"	""	""	"2"	""	"7"	""	""	"11"	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"33"	"406"	""	"90"	""	""	"18"	""	"1"	""	""	"3"	""	"3"	""	""	"24"	""	""	"545"	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"34"	"365"	""	"161"	""	""	"38"	""	"11"	""	""	"4"	""	"5"	""	""	"15"	""	""	"599"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"35"	"433"	""	"30"	""	""	"34"	""	"2"	""	""	"0"	""	"3"	""	""	"5"	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"36"	"225"	""	"59"	""	""	"8"	""	"3"	""	""	"0"	""	"6"	""	""	"9"	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"37"	"323"	""	"22"	""	""	"55"	""	"9"	""	""	"1"	""	"2"	""	""	"13"	""	""	"425"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"38"	"225"	""	"150"	""	""	"20"	""	"14"	""	""	"3"	""	"7"	""	""	"25"	""	""	"444"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"TOTAL"	"3509"	""	"1580"	""	""	"489"	""	"129"	""	""	"45"	""	"90"	""	""	"236"	""	""	"6078"	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Serial No.of Polling Station"	"Janardan Singh Sigriwal"	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""	""
"61"	"39"	"75"	""	"203"	""	""	"14"	""	"9"	""	""	"5"	""	"14"	""	""	"10"	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"40"	"266"	""	"232"	""	""	"15"	""	"5"	""	""	"10"	""	"21"	""	""	"38"	""	""	"587"	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"41"	"350"	""	"61"	""	""	"97"	""	"6"	""	""	"11"	""	"12"	""	""	"10"	""	""	"547"	""	""	""	""	""	""	""	""	""	""	""	""
