"Polling.Station.No."	"I"	"II"	"III"	"IV"	"V"	"Total.Votes.Polled"
"1"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"3"	"1"	"40"	"461"	"38"	"6"	"32"	"577"
"4"	"2"	"35"	"122"	"474"	"66"	"62"	"759"
"5"	"3"	"115"	"216"	"37"	"7"	"57"	"432"
"6"	"3A"	"68"	"152"	"128"	"7"	"58"	"413"
"7"	"4"	"45"	"209"	"177"	"17"	"48"	"496"
"8"	"4A"	"20"	"175"	"210"	"12"	"37"	"454"
"9"	"5"	"52"	"161"	"206"	"23"	"51"	"493"
"10"	"6"	"16"	"230"	"125"	"13"	"18"	"402"
"11"	"6A"	"20"	"303"	"29"	"14"	"15"	"381"
"12"	"7"	"52"	"329"	"143"	"43"	"44"	"611"
"13"	"8"	"50"	"170"	"279"	"18"	"20"	"537"
"14"	"9"	"187"	"17"	"370"	"29"	"31"	"634"
"15"	"10"	"92"	"196"	"100"	"15"	"90"	"493"
"16"	"11"	"82"	"161"	"51"	"23"	"70"	"387"
"17"	"11A"	"48"	"111"	"142"	"8"	"58"	"367"
"18"	"12"	"301"	"28"	"77"	"9"	"58"	"473"
"19"	"13"	"12"	"20"	"445"	"8"	"9"	"494"
"20"	"14"	"120"	"13"	"521"	"26"	"12"	"692"
"21"	"15"	"50"	"24"	"439"	"16"	"14"	"543"
"22"	"15A"	"56"	"12"	"386"	"14"	"53"	"521"
"23"	"16"	"52"	"12"	"612"	"28"	"19"	"723"
"24"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"25"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"26"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"27"	"17"	"190"	"41"	"50"	"20"	"203"	"504"
"28"	"18"	"93"	"14"	"113"	"20"	"180"	"420"
"29"	"19"	"142"	"42"	"300"	"24"	"306"	"814"
"30"	"20"	"267"	"65"	"134"	"16"	"269"	"751"
"31"	"21"	"193"	"70"	"97"	"9"	"24"	"393"
"32"	"21A"	"111"	"71"	"94"	"6"	"62"	"344"
"33"	"22"	"161"	"21"	"427"	"22"	"117"	"748"
"34"	"23"	"217"	"14"	"350"	"31"	"104"	"716"
"35"	"24"	"89"	"20"	"429"	"27"	"92"	"657"
"36"	"25"	"24"	"7"	"355"	"18"	"18"	"422"
"37"	"25A"	"36"	"8"	"270"	"23"	"31"	"368"
"38"	"26"	"85"	"12"	"330"	"18"	"89"	"534"
"39"	"26A"	"166"	"14"	"63"	"7"	"173"	"423"
"40"	"27"	"117"	"21"	"495"	"39"	"89"	"761"
"41"	"28"	"42"	"145"	"321"	"16"	"93"	"617"
"42"	"29"	"86"	"24"	"253"	"24"	"181"	"568"
"43"	"30"	"33"	"261"	"180"	"29"	"91"	"594"
"44"	"31"	"47"	"65"	"482"	"42"	"90"	"726"
"45"	"32"	"44"	"217"	"198"	"21"	"56"	"536"
"46"	"33"	"93"	"65"	"330"	"23"	"61"	"572"
"47"	"34"	"57"	"228"	"69"	"13"	"31"	"398"
"48"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"49"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"50"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"51"	"35"	"59"	"113"	"408"	"35"	"72"	"687"
"52"	"36"	"213"	"35"	"279"	"20"	"75"	"622"
"53"	"36A"	"46"	"70"	"156"	"15"	"44"	"331"
"54"	"37"	"52"	"23"	"443"	"25"	"173"	"716"
"55"	"38"	"22"	"103"	"186"	"12"	"153"	"476"
"56"	"39"	"50"	"203"	"91"	"10"	"75"	"429"
"57"	"39A"	"22"	"123"	"134"	"13"	"104"	"396"
"58"	"40"	"65"	"5"	"75"	"11"	"283"	"439"
"59"	"40A"	"15"	"31"	"422"	"9"	"36"	"513"
"60"	"41"	"171"	"60"	"179"	"26"	"213"	"649"
"61"	"42"	"160"	"14"	"140"	"19"	"157"	"490"
"62"	"43"	"40"	"382"	"31"	"5"	"60"	"518"
"63"	"43A"	"67"	"252"	"110"	"10"	"29"	"468"
"64"	"44"	"20"	"66"	"112"	"7"	"188"	"393"
"65"	"44A"	"34"	"182"	"156"	"10"	"68"	"450"
"66"	"45"	"35"	"309"	"48"	"19"	"84"	"495"
"67"	"46"	"54"	"172"	"16"	"9"	"96"	"347"
"68"	"47"	"44"	"80"	"266"	"68"	"133"	"591"
"69"	"48"	"365"	"37"	"127"	"13"	"42"	"584"
"70"	"49"	"193"	"26"	"113"	"8"	"140"	"480"
"71"	"49A"	"81"	"64"	"118"	"53"	"34"	"350"
"72"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"73"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"75"	"50"	"37"	"32"	"49"	"268"	"75"	"461"
"76"	"51"	"208"	"24"	"194"	"141"	"19"	"586"
"77"	"52"	"23"	"37"	"294"	"27"	"36"	"417"
"78"	"52A"	"65"	"11"	"261"	"18"	"22"	"377"
"79"	"53"	"149"	"25"	"292"	"40"	"87"	"593"
"80"	"54"	"72"	"67"	"474"	"13"	"38"	"664"
"81"	"55"	"168"	"127"	"15"	"15"	"35"	"360"
"82"	"56"	"248"	"49"	"35"	"47"	"51"	"430"
"83"	"57"	"205"	"66"	"19"	"12"	"51"	"353"
"84"	"58"	"190"	"21"	"53"	"23"	"182"	"469"
"85"	"59"	"209"	"32"	"351"	"12"	"52"	"656"
"86"	"60"	"36"	"355"	"47"	"11"	"59"	"508"
"87"	"61"	"48"	"253"	"46"	"7"	"21"	"375"
"88"	"61A"	"39"	"259"	"14"	"6"	"26"	"344"
"89"	"62"	"89"	"222"	"104"	"19"	"27"	"461"
"90"	"63"	"56"	"160"	"67"	"59"	"140"	"482"
"91"	"64"	"56"	"32"	"59"	"298"	"181"	"626"
"92"	"65"	"55"	"11"	"58"	"84"	"121"	"329"
"93"	"65A"	"29"	"68"	"78"	"69"	"110"	"354"
"94"	"66"	"32"	"19"	"151"	"72"	"206"	"480"
"95"	"66A"	"103"	"29"	"127"	"38"	"65"	"362"
"96"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"97"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"99"	"67"	"165"	"11"	"375"	"16"	"49"	"616"
"100"	"68"	"50"	"19"	"129"	"57"	"261"	"516"
"101"	"69"	"113"	"20"	"252"	"11"	"41"	"437"
"102"	"69A"	"70"	"16"	"174"	"4"	"202"	"466"
"103"	"70"	"60"	"7"	"84"	"17"	"370"	"538"
"104"	"71"	"123"	"14"	"162"	"9"	"160"	"468"
"105"	"72"	"41"	"9"	"38"	"9"	"247"	"344"
"106"	"72A"	"88"	"2"	"6"	"7"	"298"	"401"
"107"	"73"	"66"	"31"	"228"	"14"	"251"	"590"
"108"	"74"	"133"	"19"	"10"	"11"	"241"	"414"
"109"	"74A"	"67"	"16"	"28"	"8"	"296"	"415"
"110"	"75"	"57"	"21"	"284"	"17"	"232"	"611"
"111"	"76"	"167"	"13"	"267"	"17"	"190"	"654"
"112"	"77"	"153"	"39"	"29"	"34"	"232"	"487"
"113"	"78"	"60"	"5"	"35"	"18"	"111"	"229"
"114"	"78A"	"85"	"13"	"141"	"13"	"61"	"313"
"115"	"79"	"215"	"25"	"154"	"29"	"148"	"571"
"116"	"80"	"71"	"12"	"371"	"22"	"14"	"490"
"117"	"80A"	"42"	"11"	"396"	"27"	"14"	"490"
"118"	"81"	"162"	"21"	"42"	"13"	"174"	"412"
"119"	"81A"	"39"	"33"	"28"	"41"	"143"	"284"
"120"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
