"iz.i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"pÿ la[;k&1                                                                                          º fu;e 56 º7Ω nsf[k;sΩ"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"vafre ifj.kke &i=                                                           Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"209& fnukjk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy;s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"209& fnukjk fo/kku lHkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy la[;k   206190"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"6"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"7"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"8"	"1"	"105"	"67"	"196"	"205"	"11"	"14"	"9"	"8"	"32"	""	""	"647"	""
"9"	"2"	"1"	"34"	"47"	"504"	"9"	"2"	"1"	"2"	"2"	""	""	"602"	""
"10"	"3"	"31"	"82"	"68"	"441"	"12"	"14"	"2"	"2"	"4"	""	""	"656"	""
"11"	"4"	"100"	"3"	"407"	"32"	"3"	"2"	"4"	"3"	"1"	""	""	"555"	""
"12"	"5"	"36"	"76"	"106"	"229"	"10"	"5"	"10"	"13"	"44"	""	""	"529"	""
"13"	"6"	"19"	"41"	"231"	"123"	"2"	"1"	"3"	"0"	"3"	""	""	"423"	""
"14"	"7"	"5"	"99"	"58"	"94"	"4"	"1"	"3"	"2"	"6"	""	""	"272"	""
"15"	"8"	"44"	"128"	"182"	"220"	"5"	"0"	"1"	"1"	"8"	""	""	"589"	""
"16"	"9"	"25"	"22"	"137"	"55"	"0"	"0"	"1"	"0"	"0"	""	""	"240"	""
"17"	"10"	"17"	"79"	"131"	"217"	"6"	"4"	"2"	"1"	"4"	""	""	"461"	""
"18"	"11"	"21"	"39"	"184"	"294"	"11"	"4"	"3"	"0"	"9"	""	""	"565"	""
"19"	"12"	"5"	"37"	"56"	"70"	"5"	"1"	"2"	"2"	"3"	""	""	"181"	""
"20"	"13"	"89"	"27"	"251"	"222"	"18"	"1"	"5"	"3"	"8"	""	""	"624"	""
"21"	"14"	"14"	"60"	"225"	"324"	"20"	"7"	"4"	"5"	"6"	""	""	"665"	""
"22"	";ksx&"	"512"	"794"	"2279"	"3030"	"116"	"56"	"50"	"42"	"130"	"0"	"0"	"7009"	""
"23"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"i`\"B la0 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"27"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"29"	"15"	"252"	"62"	"104"	"255"	"9"	"2"	"4"	"5"	"6"	""	""	"699"	""
"30"	"16"	"55"	"262"	"127"	"175"	"11"	"2"	"2"	"0"	"6"	""	""	"640"	""
"31"	"17"	"149"	"22"	"187"	"113"	"7"	"2"	"10"	"8"	"8"	""	""	"506"	""
"32"	"17 d"	"43"	"84"	"73"	"76"	"3"	"1"	"1"	"1"	"3"	""	""	"285"	""
"33"	"18"	"57"	"54"	"204"	"226"	"11"	"5"	"3"	"5"	"13"	""	""	"578"	""
"34"	"19"	"57"	"88"	"267"	"119"	"5"	"1"	"2"	"3"	"2"	""	""	"544"	""
"35"	"19 d"	"29"	"40"	"277"	"40"	"2"	"0"	"1"	"1"	"0"	""	""	"390"	""
"36"	"20"	"227"	"29"	"321"	"101"	"8"	"1"	"9"	"5"	"5"	""	""	"706"	""
"37"	"20 d"	"160"	"25"	"125"	"32"	"1"	"0"	"2"	"3"	"0"	""	""	"348"	""
"38"	"21"	"28"	"125"	"64"	"367"	"13"	"4"	"3"	"5"	"4"	""	""	"613"	""
"39"	"21 d"	"12"	"152"	"61"	"160"	"5"	"1"	"0"	"1"	"4"	""	""	"396"	""
"40"	"22"	"14"	"72"	"294"	"115"	"4"	"4"	"17"	"4"	"11"	""	""	"535"	""
"41"	"23"	"15"	"41"	"217"	"168"	"8"	"2"	"3"	"2"	"5"	""	""	"461"	""
"42"	"24"	"14"	"4"	"116"	"382"	"1"	"0"	"1"	"1"	"2"	""	""	"521"	""
"43"	";ksx&"	"1112"	"1060"	"2437"	"2329"	"88"	"25"	"58"	"44"	"69"	"0"	"0"	"7222"	"0"
"44"	"fiNys i`\"B dk ;ksx"	"512"	"794"	"2279"	"3030"	"116"	"56"	"50"	"42"	"130"	"0"	"0"	"7009"	""
"45"	"dqy ;ksx"	"1624"	"1854"	"4716"	"5359"	"204"	"81"	"108"	"86"	"199"	"0"	"0"	"14231"	"0"
"46"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"i`\"B la0 2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"50"	""	"v'kksd dqekj
xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh
nsoh"	"f'koewjr
frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky
ikloku"	"lqjs'k ilkn"	""	""	""	""
"51"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"52"	"25"	"19"	"64"	"7"	"379"	"8"	"3"	"0"	"1"	"2"	""	""	"483"	""
"53"	"26"	"43"	"43"	"85"	"434"	"6"	"4"	"1"	"2"	"0"	""	""	"618"	""
"54"	"27"	"39"	"92"	"129"	"139"	"9"	"2"	"2"	"2"	"8"	""	""	"422"	""
"55"	"28"	"41"	"86"	"197"	"422"	"13"	"13"	"5"	"2"	"3"	""	""	"782"	""
"56"	"29"	"25"	"12"	"636"	"149"	"6"	"1"	"4"	"0"	"0"	""	""	"833"	""
"57"	"30"	"51"	"204"	"152"	"42"	"3"	"3"	"2"	"3"	"5"	""	""	"465"	""
"58"	"31"	"14"	"23"	"329"	"127"	"17"	"1"	"10"	"1"	"6"	""	""	"528"	""
"59"	"32"	"7"	"10"	"325"	"44"	"1"	"1"	"2"	"1"	"2"	""	""	"393"	""
"60"	"33"	"32"	"14"	"155"	"152"	"7"	"2"	"0"	"3"	"0"	""	""	"365"	""
"61"	"34"	"38"	"16"	"332"	"108"	"3"	"1"	"1"	"1"	"2"	""	""	"502"	""
"62"	"35"	"108"	"15"	"101"	"119"	"17"	"4"	"5"	"0"	"3"	""	""	"372"	""
"63"	"35 d"	"8"	"3"	"325"	"147"	"2"	"1"	"1"	"0"	"5"	""	""	"492"	""
"64"	"36"	"42"	"10"	"311"	"86"	"4"	"2"	"3"	"2"	"1"	""	""	"461"	""
"65"	"36d"	"147"	"7"	"175"	"123"	"3"	"0"	"3"	"0"	"3"	""	""	"461"	""
"66"	";ksx&"	"614"	"599"	"3259"	"2471"	"99"	"38"	"39"	"18"	"40"	"0"	"0"	"7177"	""
"67"	"fiNys i`\"B dk ;ksx"	"1624"	"1854"	"4716"	"5359"	"204"	"81"	"108"	"86"	"199"	"0"	"0"	"14231"	""
"68"	"dqy ;ksx"	"2238"	"2453"	"7975"	"7830"	"303"	"119"	"147"	"104"	"239"	"0"	"0"	"21408"	""
