"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"3"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"4"	""	""	""	""	""	"Ist round"
"5"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"6"	""	"1"	"2"	"3"	"4"	"5"
"7"	"1"	"318"	"84"	"60"	"18"	"480"
"8"	"2"	"217"	"22"	"101"	"20"	"360"
"9"	"3"	"339"	"129"	"148"	"26"	"642"
"10"	"4"	"310"	"169"	"101"	"26"	"606"
"11"	"5"	"201"	"135"	"107"	"37"	"480"
"12"	"6"	"167"	"223"	"242"	"21"	"653"
"13"	"7"	"239"	"87"	"84"	"26"	"436"
"14"	"8"	"235"	"9"	"114"	"13"	"371"
"15"	"9"	"252"	"189"	"99"	"13"	"553"
"16"	"10"	"186"	"165"	"107"	"18"	"476"
"17"	"10A"	"169"	"68"	"28"	"14"	"279"
"18"	"11"	"306"	"74"	"137"	"21"	"538"
"19"	"12"	"103"	"157"	"119"	"28"	"407"
"20"	"12A"	"74"	"15"	"91"	"15"	"195"
"21"	";ksx"	"3116"	"1526"	"1538"	"296"	"6476"
"22"	"LFkku&"	""	""	""	""	""
"23"	""	""	""	""	""	""
"24"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"25"	"izi=&20"	""	""	""	""	""
"26"	"x.kuk dk ifj.kke"	""	""	""	""	""
"27"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"28"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"29"	""	""	""	""	""	"2nd round"
"30"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"31"	""	"1"	"2"	"3"	"4"	"5"
"32"	"13"	"391"	"18"	"100"	"37"	"546"
"33"	"14"	"140"	"16"	"97"	"9"	"262"
"34"	"15"	"255"	"9"	"51"	"11"	"326"
"35"	"16"	"324"	"57"	"131"	"24"	"536"
"36"	"17"	"187"	"93"	"184"	"13"	"477"
"37"	"18"	"131"	"401"	"141"	"16"	"689"
"38"	"19"	"146"	"80"	"229"	"16"	"471"
"39"	"20"	"509"	"42"	"85"	"23"	"659"
"40"	"21"	"148"	"22"	"51"	"7"	"228"
"41"	"22"	"191"	"28"	"69"	"3"	"291"
"42"	"23"	"349"	"108"	"75"	"14"	"546"
