"X.See.Rule.56c.2.c."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final  Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No Electors in Assembly Constituency                                            248298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly Constituency                                                      172-Lakhisarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No"	"KRISHNA CHANDRA PD.SINGH"	"PHULENA SINGH"	"RAM GOPAL DROLIYA"	"VIJAY KUMAR SINHA"	"PRAVEEN KUMAR"	"PHULAN SINGH"	"BINOD GOSWAMI"	"MANOJ SINGH"	"SHAMBHU NATH SINGH"	"SURESH SINGH"	"HARIHAR SINGH"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"14"	"13"	"15"	"16"
"7"	"1"	"9"	"20"	"3"	"258"	"12"	"3"	"2"	"9"	"4"	"1"	"13"	"0"	"334"	"334"	"0"
"8"	"2"	"8"	"37"	"3"	"289"	"2"	"1"	"2"	"3"	"1"	"0"	"13"	"0"	"359"	"359"	"0"
"9"	"3"	"3"	"51"	"5"	"247"	"6"	"2"	"3"	"3"	"2"	"3"	"4"	"0"	"329"	"329"	"0"
"10"	"4"	"14"	"34"	"4"	"239"	"10"	"1"	"3"	"5"	"1"	"6"	"20"	"0"	"337"	"337"	"0"
"11"	"4A"	"23"	"39"	"5"	"131"	"9"	"3"	"6"	"5"	"6"	"9"	"17"	"0"	"253"	"253"	"0"
"12"	"5"	"7"	"55"	"2"	"300"	"10"	"3"	"7"	"6"	"5"	"4"	"21"	"0"	"420"	"420"	"0"
"13"	"6"	"10"	"12"	"2"	"210"	"6"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"243"	"243"	"0"
"14"	"7"	"16"	"50"	"8"	"321"	"10"	"0"	"1"	"6"	"1"	"1"	"4"	"0"	"418"	"418"	"0"
"15"	"8"	"1"	"14"	"4"	"233"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"0"
"16"	"9"	"12"	"37"	"3"	"392"	"6"	"1"	"0"	"2"	"0"	"2"	"5"	"0"	"460"	"460"	"0"
"17"	"10"	"15"	"31"	"1"	"270"	"7"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"327"	"327"	"0"
"18"	"11"	"41"	"53"	"4"	"442"	"5"	"1"	"3"	"2"	"0"	"2"	"7"	"0"	"560"	"560"	"0"
"19"	"12"	"54"	"32"	"2"	"422"	"8"	"3"	"2"	"6"	"2"	"1"	"1"	"0"	"533"	"533"	"0"
"20"	"13"	"6"	"42"	"2"	"275"	"4"	"0"	"0"	"5"	"0"	"1"	"5"	"0"	"340"	"340"	"0"
"21"	"13A"	"8"	"71"	"5"	"89"	"7"	"1"	"1"	"4"	"2"	"5"	"15"	"0"	"208"	"208"	"0"
"22"	"14"	"19"	"60"	"7"	"152"	"5"	"1"	"1"	"2"	"0"	"1"	"3"	"0"	"251"	"251"	"0"
"23"	"15"	"7"	"53"	"6"	"157"	"7"	"2"	"0"	"7"	"1"	"1"	"12"	"0"	"253"	"253"	"0"
"24"	"15A"	"6"	"32"	"1"	"132"	"3"	"0"	"1"	"3"	"1"	"0"	"4"	"0"	"183"	"183"	"0"
"25"	"16"	"15"	"119"	"8"	"121"	"2"	"2"	"0"	"2"	"1"	"2"	"3"	"0"	"275"	"275"	"0"
"26"	"17"	"1"	"63"	"3"	"141"	"3"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"215"	"215"	"0"
"27"	"18"	"24"	"215"	"5"	"247"	"5"	"1"	"0"	"2"	"1"	"1"	"1"	"0"	"502"	"502"	"0"
"28"	"19"	"29"	"119"	"6"	"134"	"7"	"0"	"5"	"5"	"3"	"2"	"14"	"0"	"324"	"324"	"0"
"29"	"20"	"21"	"143"	"11"	"225"	"8"	"7"	"4"	"4"	"7"	"3"	"32"	"0"	"465"	"465"	"0"
"30"	"21"	"24"	"118"	"5"	"141"	"3"	"1"	"1"	"0"	"1"	"2"	"2"	"0"	"298"	"298"	"0"
"31"	"21A"	"13"	"110"	"7"	"195"	"3"	"1"	"2"	"2"	"1"	"3"	"1"	"0"	"338"	"338"	"0"
"32"	"22"	"40"	"169"	"6"	"347"	"6"	"1"	"1"	"5"	"3"	"2"	"14"	"0"	"594"	"594"	"0"
"33"	"23"	"37"	"74"	"11"	"193"	"9"	"2"	"3"	"4"	"2"	"0"	"3"	"0"	"338"	"338"	"0"
"34"	"24"	"29"	"101"	"7"	"126"	"5"	"1"	"4"	"5"	"3"	"10"	"25"	"0"	"316"	"316"	"0"
"35"	"25"	"49"	"47"	"6"	"179"	"9"	"5"	"4"	"4"	"3"	"2"	"18"	"0"	"326"	"326"	"0"
"36"	"26"	"63"	"49"	"7"	"160"	"10"	"1"	"4"	"1"	"2"	"2"	"6"	"0"	"305"	"305"	"0"
"37"	"26A"	"34"	"101"	"10"	"80"	"8"	"2"	"3"	"6"	"0"	"7"	"21"	"0"	"272"	"272"	"0"
"38"	"27"	"23"	"62"	"1"	"80"	"4"	"1"	"1"	"3"	"1"	"0"	"4"	"0"	"180"	"180"	"0"
"39"	"28"	"27"	"146"	"4"	"72"	"4"	"3"	"1"	"1"	"2"	"2"	"3"	"0"	"265"	"265"	"0"
"40"	"29"	"2"	"92"	"3"	"205"	"6"	"1"	"1"	"4"	"1"	"4"	"13"	"0"	"332"	"332"	"0"
"41"	"30"	"26"	"237"	"13"	"122"	"0"	"1"	"1"	"5"	"0"	"2"	"6"	"0"	"413"	"413"	"0"
"42"	"31"	"39"	"116"	"12"	"194"	"17"	"2"	"2"	"3"	"1"	"2"	"7"	"0"	"395"	"395"	"0"
"43"	"32"	"62"	"141"	"9"	"256"	"16"	"3"	"1"	"8"	"4"	"4"	"15"	"0"	"519"	"519"	"0"
"44"	"33"	"28"	"232"	"10"	"62"	"5"	"3"	"4"	"1"	"3"	"6"	"10"	"0"	"364"	"364"	"0"
"45"	"34"	"24"	"171"	"14"	"59"	"10"	"9"	"1"	"4"	"1"	"5"	"16"	"0"	"314"	"314"	"0"
"46"	"35"	"27"	"227"	"8"	"48"	"3"	"4"	"3"	"6"	"1"	"8"	"12"	"0"	"347"	"347"	"0"
