"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"227- JEHANABAD ASSEMBLY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""	""
"2"	"Form-20 See rule 56(7)"	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""
"4"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"5"	"Election to the Bihar Legislative Assembly from 227-Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"7"	""	"Kunti Devi"	"Gopal Sharma"	"Basant Mochi"	"Mohammad Akbar Imam"	"Sachita Nand Yadav"	"Uma Shanker Verma"	""	""	""	""
"8"	"1"	"159"	"30"	"15"	"28"	"135"	"29"	"396"	""	"396"	""
"9"	"2"	"42"	"46"	"8"	"63"	"37"	"4"	"200"	""	"200"	""
"10"	"3"	"192"	"105"	"7"	"26"	"22"	"8"	"360"	""	"360"	""
"11"	"4"	"254"	"12"	"7"	"19"	"99"	"13"	"404"	""	"404"	""
"12"	"5"	"11"	"86"	"9"	"83"	"22"	"9"	"220"	""	"220"	""
"13"	"6"	"5"	"3"	"3"	"229"	"9"	"14"	"263"	""	"263"	""
"14"	"7"	"102"	"17"	"3"	"205"	"130"	"12"	"469"	""	"469"	""
"15"	"8"	"16"	"48"	"0"	"128"	"44"	"14"	"250"	""	"250"	""
"16"	"9"	"58"	"115"	"6"	"52"	"52"	"15"	"298"	""	"298"	""
"17"	"10"	"6"	"86"	"16"	"40"	"138"	"4"	"290"	""	"290"	""
"18"	"11"	"67"	"97"	"2"	"70"	"135"	"3"	"374"	""	"374"	""
"19"	"11A"	"30"	"18"	"5"	"15"	"167"	"18"	"253"	""	"253"	""
"20"	"12"	"22"	"95"	"6"	"192"	"28"	"15"	"358"	""	"358"	""
"21"	"13"	"67"	"10"	"2"	"159"	"8"	"8"	"254"	""	"254"	""
"22"	"14"	"21"	"78"	"10"	"51"	"184"	"11"	"355"	""	"355"	""
"23"	"15"	"67"	"15"	"11"	"114"	"14"	"11"	"232"	""	"232"	""
"24"	"16"	"260"	"56"	"2"	"12"	"3"	"2"	"335"	""	"335"	""
"25"	"17"	"23"	"24"	"9"	"168"	"53"	"18"	"295"	""	"295"	""
"26"	"18"	"82"	"12"	"3"	"99"	"166"	"9"	"371"	""	"371"	""
"27"	"19"	"138"	"8"	"7"	"43"	"86"	"12"	"294"	""	"294"	""
"28"	"19A"	"27"	"19"	"2"	"59"	"176"	"13"	"296"	""	"296"	""
"29"	"20"	"0"	"11"	"1"	"71"	"6"	"2"	"91"	""	"91"	""
"30"	"21"	"5"	"0"	"0"	"0"	"206"	"2"	"213"	""	"213"	""
"31"	"22"	"26"	"58"	"39"	"154"	"19"	"3"	"299"	""	"299"	""
