"Round.Total"	"X12"	"X11A"	"X."	"X11"	"X10"	"X..1"	"X9"	"X8"	"X7"	"X..2"	"X6"	"X5"	"X..3"	"X4"	"X3"	"X..4"	"X2"	"X1A"	"X..5"	"X1"	"ROUND..I"	"ernku.dsUnz.dh.la..k"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	2130	13	30	""	37	387	""	172	68	141	""	41	517	""	167	155	""	202	88	""	112	""	"MkŒ  vCnqqyqqy  xQqqjqqj"	""	""	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"2"	91	0	2	""	6	8	""	10	10	4	""	5	13	""	10	6	""	4	7	""	6	""	"cgknqqjqqj  ikloku"	""	""	""	""	""	""	""	""	""	""
"3"	316	32	16	""	68	25	""	76	21	8	""	11	10	""	9	3	""	14	20	""	3	""	"ekssŒssŒ  ehj  gkfle"	""	""	""	""	""	""	""	""	""	""
"4"	2193	446	233	""	199	17	""	86	137	209	""	255	16	""	102	40	""	174	112	""	167	""	"laataatho  dqqeqqekj  >k"	""	""	""	""	""	""	""	""	""	""
"5"	89	20	4	""	6	2	""	10	5	3	""	13	4	""	7	3	""	3	7	""	2	""	"fcgkjh  lknk"	""	""	""	""	""	""	""	""	""	""
"6"	421	51	20	""	50	16	""	12	10	94	""	30	4	""	34	69	""	16	4	""	11	""	"'kaadaadj  izzlzzlkn  Vssdssdjhoky"	""	""	""	""	""	""	""	""	""	""
"7"	34	2	1	""	2	2	""	3	2	6	""	2	0	""	5	2	""	4	1	""	2	""	"f'ko  dqqeqqekj  flaagaag"	""	""	""	""	""	""	""	""	""	""
"8"	53	8	7	""	4	2	""	3	2	3	""	8	1	""	3	1	""	6	4	""	1	""	"jÙku  ikloku"	""	""	""	""	""	""	""	""	""	""
"9"	63	1	6	""	2	9	""	10	5	6	""	8	4	""	2	2	""	3	1	""	4	""	"jktssUssUnzzzz jke"	""	""	""	""	""	""	""	""	""	""
"10"	36	0	4	""	2	1	""	4	1	5	""	6	3	""	1	3	""	5	0	""	1	""	"fojssaanssaanzzzz ;kno"	""	""	""	""	""	""	""	""	""	""
"11"	141	9	18	""	5	18	""	16	7	12	""	11	7	""	9	8	""	10	4	""	7	""	"gfjukjk;.k  flaagaag"	""	""	""	""	""	""	""	""	""	""
"12"	5567	582	341	""	381	487	""	402	268	491	""	390	579	""	349	292	""	441	248	""	316	""	"dqqyqqy  fof/kekU;  er"	""	""	""	""	""	""	""	""	""	""
"13"	0	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	"fufonr  erkssss dh  laa[aa[;k"	""	""	""	""	""	""	""	""	""	""
