"Name.of.the.Assembly....72.Pupri"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[ SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 72-PUPRI CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total Number of Electors in Assembly Constituency :- 2,18,172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"8"	"1"	"11"	"239"	"49"	"21"	"5"	"11"	"0"	"2"	"13"	"4"	"8"	"363"	"-"	"363"	"-"
"9"	"2"	"3"	"199"	"28"	"15"	"4"	"4"	"2"	"0"	"0"	"2"	"4"	"261"	"-"	"261"	"-"
"10"	"3"	"38"	"144"	"134"	"137"	"9"	"21"	"6"	"12"	"7"	"12"	"24"	"544"	"-"	"544"	"-"
"11"	"4"	"18"	"250"	"47"	"61"	"1"	"4"	"1"	"4"	"3"	"1"	"2"	"392"	"-"	"392"	"-"
"12"	"5"	"13"	"115"	"24"	"168"	"2"	"7"	"15"	"1"	"4"	"6"	"13"	"368"	"-"	"368"	"-"
"13"	"5A"	"7"	"228"	"23"	"19"	"4"	"2"	"1"	"4"	"8"	"6"	"11"	"313"	"-"	"313"	"-"
"14"	"6"	"7"	"106"	"73"	"83"	"7"	"8"	"11"	"10"	"5"	"4"	"16"	"396"	"-"	"396"	"-"
"15"	"6A"	"12"	"86"	"59"	"178"	"15"	"15"	"15"	"20"	"6"	"2"	"7"	"349"	"-"	"349"	"-"
"16"	"7"	"0"	"110"	"30"	"161"	"12"	"13"	"25"	"10"	"9"	"3"	"20"	"393"	"-"	"393"	"-"
"17"	"8"	"3"	"86"	"14"	"200"	"3"	"5"	"9"	"3"	"3"	"1"	"7"	"334"	"-"	"334"	"-"
"18"	"9"	"9"	"240"	"11"	"48"	"2"	"2"	"2"	"0"	"1"	"0"	"0"	"315"	"-"	"315"	"-"
"19"	"10"	"9"	"155"	"24"	"169"	"6"	"5"	"11"	"3"	"5"	"4"	"10"	"401"	"-"	"401"	"-"
"20"	"11"	"17"	"245"	"29"	"234"	"7"	"3"	"9"	"4"	"5"	"3"	"12"	"568"	"-"	"568"	"-"
"21"	"12"	"14"	"337"	"43"	"111"	"11"	"7"	"9"	"5"	"4"	"3"	"13"	"557"	"-"	"557"	"-"
"22"	"13"	"17"	"233"	"46"	"122"	"8"	"9"	"16"	"3"	"7"	"9"	"10"	"480"	"-"	"480"	"-"
"23"	"14"	"1"	"95"	"21"	"230"	"4"	"6"	"7"	"2"	"3"	"1"	"2"	"372"	"-"	"372"	"-"
"24"	"15"	"37"	"470"	"48"	"15"	"5"	"5"	"2"	"5"	"5"	"7"	"11"	"610"	"-"	"610"	"-"
"25"	"16"	"18"	"71"	"107"	"172"	"7"	"22"	"17"	"11"	"19"	"11"	"19"	"474"	"-"	"474"	"-"
"26"	"17"	"8"	"115"	"111"	"216"	"14"	"11"	"17"	"17"	"24"	"11"	"39"	"583"	"-"	"583"	"-"
"27"	"18"	"3"	"104"	"104"	"276"	"2"	"6"	"6"	"6"	"1"	"1"	"2"	"511"	"-"	"511"	"-"
"28"	"19"	"4"	"281"	"6"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"297"	"-"	"297"	"-"
"29"	"20"	"9"	"156"	"19"	"199"	"10"	"9"	"21"	"5"	"4"	"4"	"26"	"462"	"-"	"462"	"-"
"30"	"21"	"11"	"158"	"20"	"158"	"7"	"7"	"11"	"7"	"9"	"12"	"17"	"417"	"-"	"417"	"-"
"31"	"22"	"4"	"42"	"172"	"332"	"2"	"5"	"1"	"3"	"0"	"1"	"4"	"566"	"-"	"566"	"-"
"32"	"23"	"18"	"144"	"139"	"269"	"3"	"10"	"11"	"13"	"2"	"6"	"2"	"617"	"-"	"617"	"-"
"33"	"24"	"4"	"110"	"54"	"287"	"4"	"6"	"22"	"4"	"5"	"7"	"12"	"515"	"-"	"515"	"-"
"34"	"25"	"6"	"43"	"33"	"157"	"5"	"8"	"2"	"3"	"4"	"4"	"9"	"274"	"-"	"274"	"-"
"35"	"26"	"6"	"83"	"17"	"199"	"5"	"2"	"11"	"4"	"2"	"2"	"3"	"334"	"-"	"334"	"-"
"36"	"27"	"7"	"42"	"19"	"301"	"4"	"3"	"7"	"14"	"1"	"3"	"8"	"409"	"-"	"409"	"-"
"37"	"28"	"15"	"76"	"197"	"246"	"10"	"16"	"17"	"9"	"13"	"10"	"21"	"630"	"-"	"630"	"-"
"38"	"29"	"26"	"59"	"97"	"251"	"4"	"13"	"13"	"9"	"4"	"4"	"10"	"490"	"-"	"490"	"-"
"39"	"30"	"2"	"38"	"27"	"126"	"3"	"5"	"11"	"0"	"0"	"4"	"8"	"224"	"-"	"224"	"-"
"40"	"31"	"11"	"169"	"25"	"145"	"4"	"3"	"6"	"1"	"3"	"6"	"0"	"373"	"-"	"373"	"-"
"41"	"32"	"22"	"46"	"159"	"113"	"9"	"5"	"10"	"13"	"9"	"4"	"10"	"400"	"-"	"400"	"-"
"42"	"33"	"3"	"30"	"28"	"258"	"4"	"3"	"11"	"3"	"5"	"1"	"6"	"352"	"-"	"352"	"-"
"43"	"34"	"6"	"40"	"34"	"125"	"2"	"9"	"9"	"9"	"10"	"10"	"0"	"254"	"-"	"254"	"-"
"44"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"45"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
