"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of Tendered votes"
"7"	""	"Dinesh Prasad"	"Prashant Kumar"	"Rajendra Prasad"	"Surendra Mehta"	"Mahendra Sahni"	"Umesh Prasad"	"Nand Kishore"	"Ram Naresh"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"9"	"1"	"33"	"4"	"243"	"170"	"8"	"6"	"3"	"6"	"473"	"0"	"473"	"0"
"10"	"2"	"46"	"6"	"245"	"95"	"6"	"18"	"22"	"18"	"456"	"0"	"456"	"0"
"11"	"3"	"33"	"6"	"202"	"236"	"27"	"22"	"28"	"20"	"574"	"0"	"574"	"0"
"12"	"4"	"30"	"3"	"67"	"173"	"9"	"2"	"6"	"3"	"293"	"0"	"293"	"0"
"13"	"4A"	"21"	"3"	"92"	"68"	"1"	"2"	"3"	"3"	"193"	"0"	"193"	"0"
"14"	"5"	"69"	"9"	"332"	"100"	"9"	"5"	"15"	"9"	"548"	"0"	"548"	"0"
"15"	"6"	"50"	"1"	"421"	"105"	"3"	"9"	"18"	"10"	"617"	"0"	"617"	"0"
"16"	"7"	"44"	"6"	"194"	"26"	"4"	"7"	"8"	"10"	"299"	"0"	"299"	"0"
"17"	"7A"	"36"	"5"	"179"	"30"	"15"	"6"	"11"	"9"	"291"	"0"	"291"	"0"
"18"	"8"	"50"	"5"	"248"	"89"	"7"	"6"	"5"	"2"	"412"	"0"	"412"	"0"
"19"	"9"	"28"	"13"	"249"	"15"	"5"	"10"	"39"	"8"	"367"	"0"	"367"	"0"
"20"	"10"	"23"	"5"	"115"	"62"	"1"	"5"	"40"	"5"	"256"	"0"	"256"	"0"
"21"	"11"	"14"	"4"	"215"	"64"	"4"	"11"	"6"	"0"	"318"	"0"	"318"	"0"
"22"	"11A"	"27"	"7"	"136"	"63"	"7"	"12"	"27"	"7"	"286"	"0"	"286"	"0"
"23"	"12"	"22"	"18"	"41"	"4"	"5"	"20"	"222"	"12"	"344"	"0"	"344"	"0"
"24"	"13"	"26"	"8"	"58"	"89"	"75"	"9"	"124"	"7"	"396"	"0"	"396"	"0"
"25"	"14"	"79"	"9"	"46"	"235"	"11"	"8"	"2"	"8"	"398"	"0"	"398"	"0"
"26"	"14A"	"154"	"19"	"29"	"21"	"5"	"2"	"43"	"22"	"295"	"0"	"295"	"0"
"27"	"15"	"39"	"11"	"167"	"105"	"8"	"7"	"82"	"16"	"435"	"0"	"435"	"0"
"28"	"16"	"43"	"5"	"155"	"88"	"22"	"2"	"90"	"7"	"412"	"0"	"412"	"0"
"29"	"17"	"38"	"2"	"190"	"283"	"13"	"6"	"30"	"13"	"575"	"0"	"575"	"0"
"30"	"18"	"109"	"4"	"95"	"141"	"10"	"3"	"8"	"18"	"388"	"0"	"388"	"0"
"31"	"18A"	"43"	"5"	"40"	"118"	"6"	"3"	"3"	"10"	"228"	"0"	"228"	"0"
"32"	"19"	"13"	"1"	"70"	"59"	"2"	"12"	"14"	"6"	"177"	"0"	"177"	"0"
"33"	"20"	"39"	"0"	"70"	"130"	"3"	"0"	"7"	"7"	"256"	"0"	"256"	"0"
"34"	"20A"	"125"	"8"	"106"	"95"	"1"	"5"	"9"	"3"	"352"	"0"	"352"	"0"
"35"	"21"	"60"	"6"	"113"	"211"	"4"	"3"	"12"	"10"	"419"	"0"	"419"	"0"
"36"	"22"	"39"	"5"	"81"	"107"	"2"	"1"	"2"	"5"	"242"	"0"	"242"	"0"
"37"	"22A"	"45"	"3"	"66"	"185"	"6"	"4"	"7"	"9"	"325"	"0"	"325"	"0"
"38"	"23"	"38"	"8"	"178"	"162"	"7"	"9"	"21"	"13"	"436"	"0"	"436"	"0"
"39"	"24"	"33"	"7"	"47"	"182"	"9"	"4"	"8"	"8"	"298"	"0"	"298"	"0"
"40"	"24A"	"38"	"0"	"27"	"87"	"4"	"0"	"6"	"4"	"166"	"0"	"166"	"0"
"41"	"25"	"34"	"2"	"72"	"196"	"2"	"16"	"12"	"4"	"338"	"0"	"338"	"0"
"42"	"25A"	"31"	"4"	"73"	"158"	"6"	"15"	"15"	"1"	"303"	"0"	"303"	"0"
"43"	"26"	"56"	"11"	"52"	"216"	"8"	"8"	"10"	"25"	"386"	"0"	"386"	"0"
"44"	"27"	"39"	"5"	"86"	"195"	"7"	"3"	"12"	"9"	"356"	"0"	"356"	"0"
"45"	"28"	"58"	"17"	"351"	"65"	"10"	"19"	"10"	"26"	"556"	"0"	"556"	"0"
"46"	"29"	"51"	"11"	"127"	"182"	"13"	"6"	"9"	"15"	"414"	"0"	"414"	"0"
"47"	"30"	"38"	"3"	"102"	"69"	"5"	"6"	"3"	"4"	"230"	"0"	"230"	"0"
"48"	"30A"	"44"	"0"	"57"	"39"	"12"	"7"	"5"	"8"	"172"	"0"	"172"	"0"
"49"	"31"	"34"	"12"	"104"	"197"	"4"	"6"	"10"	"18"	"385"	"0"	"385"	"0"
"50"	"31A"	"29"	"4"	"55"	"69"	"2"	"2"	"16"	"17"	"194"	"0"	"194"	"0"
"51"	"32"	"63"	"12"	"83"	"159"	"3"	"5"	"14"	"9"	"348"	"0"	"348"	"0"
"52"	"32A"	"43"	"3"	"37"	"138"	"5"	"6"	"6"	"9"	"247"	"0"	"247"	"0"
"53"	"33"	"129"	"5"	"137"	"30"	"2"	"3"	"1"	"5"	"312"	"0"	"312"	"0"
"54"	"33A"	"30"	"2"	"63"	"115"	"4"	"1"	"13"	"14"	"242"	"0"	"242"	"0"
"55"	"34"	"44"	"6"	"234"	"75"	"3"	"10"	"19"	"7"	"398"	"0"	"398"	"0"
"56"	"34A"	"20"	"7"	"71"	"15"	"2"	"5"	"7"	"3"	"130"	"0"	"130"	"0"
"57"	"35"	"54"	"5"	"96"	"57"	"6"	"2"	"3"	"7"	"230"	"0"	"230"	"0"
"58"	"36"	"47"	"7"	"286"	"97"	"3"	"9"	"50"	"10"	"509"	"0"	"509"	"0"
"59"	"37"	"86"	"7"	"284"	"67"	"2"	"11"	"8"	"5"	"470"	"0"	"470"	"0"
"60"	"38"	"122"	"11"	"299"	"56"	"9"	"13"	"14"	"35"	"559"	"0"	"559"	"0"
"61"	"39"	"57"	"7"	"365"	"80"	"1"	"39"	"3"	"4"	"556"	"0"	"556"	"0"
