"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 60-BOCHAHAN(SC)  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 60-BOCHAHAN(SC) ASSEMBLY CONSTITUENCY          - 216417 NAME OF THE ASSEMBLY /SEGMENT 60-BOCHAHAN(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PS NO."	"AWDHESH PASWAN"	"KUMAR RAVI ANAND"	"RAMAI RAM"	"RAM NANDAN PASWAN"	"SHIV NATH CHAUDHARY"	"KIRAN KUMAR CHOUDHARY"	"BINAY KUMAR CHAUDHARY"	"SAKHI CHAND PASWAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"5"	"1"	"83"	"16"	"285"	"16"	"141"	"5"	"10"	"16"	"-572"	""	"-572"	""	""
"6"	"2"	"22"	"9"	"227"	"6"	"205"	"8"	"5"	"12"	"-494"	""	"-494"	""	""
"7"	"3"	"21"	"4"	"103"	"10"	"230"	"9"	"7"	"11"	"-395"	""	"-395"	""	""
"8"	"4"	"143"	"8"	"163"	"13"	"157"	"7"	"6"	"14"	"-511"	""	"-511"	""	""
"9"	"5"	"11"	"1"	"37"	"5"	"337"	"4"	"1"	"13"	"-409"	""	"-409"	""	""
"10"	"6"	"12"	"11"	"93"	"16"	"91"	"1"	"2"	"22"	"-248"	""	"-248"	""	""
"11"	"7"	"31"	"12"	"253"	"11"	"153"	"7"	"12"	"13"	"-492"	""	"-492"	""	""
"12"	"8"	"57"	"16"	"253"	"23"	"190"	"19"	"16"	"41"	"-615"	""	"-615"	""	""
"13"	"9"	"48"	"19"	"339"	"25"	"69"	"6"	"10"	"15"	"-531"	""	"-531"	""	""
"14"	"10"	"40"	"14"	"177"	"20"	"275"	"19"	"18"	"33"	"-596"	""	"-596"	""	""
"15"	"11"	"92"	"16"	"337"	"14"	"156"	"15"	"14"	"22"	"-666"	""	"-666"	""	""
"16"	"12"	"63"	"23"	"326"	"19"	"132"	"16"	"10"	"14"	"-603"	""	"-603"	""	""
"17"	"13"	"25"	"6"	"171"	"13"	"238"	"7"	"6"	"9"	"-475"	""	"-475"	""	""
"18"	"14"	"86"	"18"	"210"	"16"	"222"	"14"	"11"	"17"	"-594"	""	"-594"	""	""
"19"	"15"	"7"	"2"	"55"	"10"	"181"	"1"	"4"	"10"	"-270"	""	"-270"	""	""
"20"	"15A"	"11"	"7"	"140"	"13"	"150"	"4"	"5"	"9"	"-339"	""	"-339"	""	""
"21"	"16"	"9"	"8"	"49"	"21"	"247"	"7"	"2"	"12"	"-355"	""	"-355"	""	""
"22"	"16A"	"29"	"4"	"166"	"16"	"100"	"2"	"7"	"10"	"-334"	""	"-334"	""	""
"23"	"17"	"5"	"4"	"299"	"36"	"110"	"3"	"5"	"6"	"-468"	""	"-468"	""	""
"24"	"18"	"69"	"7"	"140"	"10"	"141"	"6"	"13"	"13"	"-399"	""	"-399"	""	""
"25"	"18A"	"12"	"3"	"45"	"2"	"187"	"2"	"1"	"3"	"-255"	""	"-255"	""	""
"26"	"19"	"8"	"0"	"77"	"1"	"352"	"1"	"2"	"5"	"-446"	""	"-446"	""	""
"27"	"20"	"11"	"7"	"186"	"4"	"170"	"4"	"3"	"9"	"-394"	""	"-394"	""	""
"28"	"21"	"16"	"1"	"83"	"2"	"186"	"4"	"2"	"10"	"-304"	""	"-304"	""	""
"29"	"22"	"40"	"13"	"402"	"11"	"149"	"10"	"9"	"27"	"-661"	""	"-661"	""	""
"30"	"23"	"7"	"0"	"41"	"2"	"258"	"1"	"1"	"4"	"-314"	""	"-314"	""	""
"31"	"23A"	"2"	"0"	"65"	"4"	"158"	"1"	"0"	"2"	"-232"	""	"-232"	""	""
"32"	"24"	"2"	"2"	"25"	"2"	"152"	"2"	"2"	"4"	"-191"	""	"-191"	""	""
"33"	"24A"	"0"	"0"	"14"	"2"	"154"	"0"	"0"	"3"	"-173"	""	"-173"	""	""
"34"	"25"	"8"	"1"	"49"	"5"	"381"	"0"	"4"	"6"	"-454"	""	"-454"	""	""
"35"	"26"	"6"	"2"	"86"	"5"	"179"	"7"	"2"	"13"	"-300"	""	"-300"	""	""
"36"	"26A"	"29"	"8"	"95"	"11"	"150"	"5"	"6"	"23"	"-327"	""	"-327"	""	""
"37"	"27"	"10"	"4"	"50"	"4"	"228"	"4"	"4"	"3"	"-307"	""	"-307"	""	""
"38"	"27A"	"65"	"13"	"33"	"15"	"142"	"3"	"9"	"8"	"-288"	""	"-288"	""	""
"39"	"28"	"60"	"16"	"362"	"12"	"57"	"21"	"9"	"26"	"-563"	""	"-563"	""	""
"40"	"29"	"44"	"8"	"237"	"12"	"105"	"7"	"7"	"19"	"-439"	""	"-439"	""	""
"41"	"30"	"18"	"3"	"173"	"8"	"141"	"6"	"8"	"26"	"-383"	""	"-383"	""	""
"42"	"31"	"114"	"16"	"336"	"17"	"66"	"11"	"3"	"5"	"-568"	""	"-568"	""	""
"43"	"32"	"17"	"6"	"203"	"12"	"30"	"7"	"5"	"5"	"-285"	""	"-285"	""	""
"44"	"33"	"22"	"14"	"377"	"24"	"81"	"3"	"7"	"10"	"-538"	""	"-538"	""	""
"45"	"34"	"40"	"13"	"298"	"65"	"146"	"15"	"19"	"44"	"-640"	""	"-640"	""	""
"46"	"35"	"28"	"11"	"443"	"17"	"61"	"6"	"5"	"12"	"-583"	""	"-583"	""	""
"47"	"36"	"74"	"16"	"302"	"13"	"139"	"7"	"10"	"19"	"-580"	""	"-580"	""	""
"48"	"37"	"14"	"9"	"280"	"16"	"139"	"3"	"11"	"20"	"-492"	""	"-492"	""	""
"49"	"38"	"8"	"7"	"74"	"35"	"181"	"2"	"1"	"9"	"-317"	""	"-317"	""	""
"50"	"39"	"44"	"17"	"344"	"24"	"165"	"8"	"7"	"18"	"-627"	""	"-627"	""	""
"51"	"40"	"24"	"7"	"202"	"7"	"178"	"8"	"13"	"35"	"-474"	""	"-474"	""	""
"52"	"41"	"16"	"13"	"134"	"12"	"160"	"4"	"10"	"20"	"-369"	""	"-369"	""	""
"53"	"42"	"26"	"6"	"237"	"10"	"197"	"9"	"6"	"19"	"-510"	""	"-510"	""	""
"54"	"43"	"45"	"3"	"179"	"10"	"152"	"3"	"4"	"10"	"-406"	""	"-406"	""	""
"55"	"43A"	"35"	"7"	"151"	"8"	"252"	"5"	"2"	"11"	"-471"	""	"-471"	""	""
"56"	"44"	"37"	"7"	"267"	"7"	"273"	"6"	"5"	"22"	"-624"	""	"-624"	""	""
"57"	"45"	"13"	"23"	"415"	"21"	"302"	"17"	"15"	"13"	"-819"	""	"-819"	""	""
"58"	"PS NO."	"AWDHESH PASWAN"	"KUMAR RAVI ANAND"	"RAMAI RAM"	"RAM NANDAN PASWAN"	"SHIV NATH CHAUDHARY"	"KIRAN KUMAR CHOUDHARY"	"BINAY KUMAR CHAUDHARY"	"SAKHI CHAND PASWAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"59"	"46"	"14"	"14"	"211"	"10"	"244"	"10"	"11"	"17"	"-531"	""	"-531"	""	""
"60"	"47"	"4"	"10"	"216"	"4"	"229"	"2"	"5"	"13"	"-483"	""	"-483"	""	""
"61"	"48"	"26"	"8"	"216"	"10"	"330"	"10"	"6"	"16"	"-622"	""	"-622"	""	""
"62"	"49"	"17"	"6"	"181"	"9"	"218"	"6"	"4"	"29"	"-470"	""	"-470"	""	""
"63"	"50"	"26"	"19"	"342"	"22"	"94"	"17"	"11"	"21"	"-552"	""	"-552"	""	""
"64"	"51"	"17"	"8"	"270"	"8"	"137"	"8"	"5"	"9"	"-462"	""	"-462"	""	""
"65"	"52"	"23"	"3"	"151"	"18"	"85"	"6"	"3"	"9"	"-298"	""	"-298"	""	""
"66"	"53"	"20"	"11"	"306"	"19"	"294"	"8"	"7"	"27"	"-692"	""	"-692"	""	""
"67"	"54"	"22"	"3"	"327"	"7"	"141"	"6"	"2"	"8"	"-516"	""	"-516"	""	""
"68"	"55"	"45"	"20"	"224"	"58"	"201"	"20"	"11"	"22"	"-601"	""	"-601"	""	""
"69"	"56"	"102"	"18"	"230"	"21"	"145"	"9"	"15"	"24"	"-564"	""	"-564"	""	""
"70"	"57"	"51"	"14"	"182"	"21"	"309"	"9"	"14"	"32"	"-632"	""	"-632"	""	""
