"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"SEE RULE 56C (2) ©"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE 39 MARHOWRAH LEGSLATIVE ASSEMBLY CONSTITUENCY 2005 PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RSULT SHEET 39- MARHOWRAH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"SR.NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	"TOTAL"	""	""	""	""	""	""	""	""	""
"5"	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	""	"SHEO NATH SHARMA"	""	"AJJET
KUMAR"	""	"TEJ NARAYAN
SINGH"	""	"RAJENDRA
MANJHI"	""	"RAJESH
KUMAR"	""	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""	""	""	""	""	""	""
"7"	"ROUND-1"	"217"	""	""	"737"	""	"2180"	""	"937"	""	""	"106"	""	""	"60"	""	"51"	""	"70"	""	"79"	""	"131"	""	""	"1470"	""	""	"309"	""	""	"6347"	""	""	""	""	""	""	""	""	""	""	""
"8"	"ROUND-2"	"263"	""	""	"737"	""	"1062"	""	"735"	""	""	"94"	""	""	"70"	""	"62"	""	"62"	""	"77"	""	"128"	""	""	"2549"	""	""	"306"	""	""	"6145"	""	""	""	""	""	""	""	""	""	""	""
"9"	"ROUND-3"	"183"	""	""	"809"	""	"950"	""	"900"	""	""	"106"	""	""	"49"	""	"104"	""	"57"	""	"68"	""	"108"	""	""	"2085"	""	""	"292"	""	""	"5711"	""	""	""	""	""	""	""	""	""	""	""
"10"	"ROUND-4"	"124"	""	""	"1346"	""	"961"	""	"413"	""	""	"61"	""	""	"50"	""	"54"	""	"56"	""	"82"	""	"105"	""	""	"1969"	""	""	"278"	""	""	"5499"	""	""	""	""	""	""	""	""	""	""	""
"11"	"ROUND-5"	"163"	""	""	"956"	""	"429"	""	"771"	""	""	"90"	""	""	"89"	""	"58"	""	"66"	""	"75"	""	"115"	""	""	"2743"	""	""	"217"	""	""	"5772"	""	""	""	""	""	""	""	""	""	""	""
"12"	"ROUND-6"	"134"	""	""	"445"	""	"548"	""	"756"	""	""	"80"	""	""	"47"	""	"52"	""	"35"	""	"81"	""	"127"	""	""	"2945"	""	""	"361"	""	""	"5611"	""	""	""	""	""	""	""	""	""	""	""
"13"	"ROUND-7"	"155"	""	""	"520"	""	"687"	""	"809"	""	""	"69"	""	""	"60"	""	"68"	""	"61"	""	"62"	""	"115"	""	""	"3214"	""	""	"342"	""	""	"6162"	""	""	""	""	""	""	""	""	""	""	""
"14"	"ROUND-8"	"247"	""	""	"718"	""	"128"	""	"580"	""	""	"68"	""	""	"56"	""	"48"	""	"64"	""	"157"	""	"166"	""	""	"3351"	""	""	"365"	""	""	"5948"	""	""	""	""	""	""	""	""	""	""	""
"15"	"ROUND-9"	"95"	""	""	"1481"	""	"214"	""	"450"	""	""	"59"	""	""	"53"	""	"235"	""	"59"	""	"88"	""	"92"	""	""	"2872"	""	""	"356"	""	""	"6054"	""	""	""	""	""	""	""	""	""	""	""
"16"	"ROUND-10"	"113"	""	""	"1229"	""	"691"	""	"956"	""	""	"74"	""	""	"47"	""	"75"	""	"44"	""	"89"	""	"75"	""	""	"1698"	""	""	"243"	""	""	"5334"	""	""	""	""	""	""	""	""	""	""	""
"17"	"ROUND-11"	"153"	""	""	"954"	""	"501"	""	"1973"	""	""	"188"	""	""	"57"	""	"81"	""	"96"	""	"118"	""	"137"	""	""	"1536"	""	""	"317"	""	""	"6111"	""	""	""	""	""	""	""	""	""	""	""
"18"	"ROUND-12"	"161"	""	""	"795"	""	"445"	""	"747"	""	""	"115"	""	""	"49"	""	"56"	""	"60"	""	"68"	""	"94"	""	""	"2785"	""	""	"290"	""	""	"5665"	""	""	""	""	""	""	""	""	""	""	""
"19"	"ROUND-13"	"415"	""	""	"969"	""	"147"	""	"936"	""	""	"167"	""	""	"72"	""	"83"	""	"96"	""	"95"	""	"138"	""	""	"2929"	""	""	"389"	""	""	"6436"	""	""	""	""	""	""	""	""	""	""	""
"20"	"ROUND-14"	"308"	""	""	"1177"	""	"463"	""	"638"	""	""	"71"	""	""	"57"	""	"64"	""	"78"	""	"94"	""	"118"	""	""	"2876"	""	""	"346"	""	""	"6290"	""	""	""	""	""	""	""	""	""	""	""
"21"	"ROUND-15"	"29"	""	""	"256"	""	"175"	""	"230"	""	""	"21"	""	""	"20"	""	"17"	""	"9"	""	"18"	""	"25"	""	""	"606"	""	""	"62"	""	""	"1468"	""	""	""	""	""	""	""	""	""	""	""
