"Election.to.the..Bihar.Legislative..Assembly..From.100.ROSERA.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"PART I"	""	""	""	""	""	""	""	""	""	""
"2"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"4"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"5"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"6"	"1"	"89"	"16"	"184"	"189"	"21"	"28"	"527"	""	"527"	""
"7"	"2"	"37"	"9"	"198"	"118"	"15"	"52"	"429"	""	"429"	""
"8"	"3"	"84"	"4"	"19"	"148"	"16"	"11"	"282"	""	"282"	""
"9"	"4"	"53"	"8"	"122"	"92"	"10"	"17"	"302"	""	"302"	""
"10"	"4A"	"64"	"13"	"123"	"72"	"10"	"25"	"307"	""	"307"	""
"11"	"5"	"166"	"2"	"117"	"251"	"18"	"13"	"567"	""	"567"	""
"12"	"6"	"179"	"4"	"58"	"201"	"11"	"26"	"479"	""	"479"	""
"13"	"7"	"265"	"4"	"7"	"189"	"10"	"3"	"478"	""	"478"	""
"14"	"8"	"178"	"6"	"25"	"128"	"4"	"8"	"349"	""	"349"	""
"15"	"9"	"328"	"5"	"5"	"54"	"6"	"7"	"405"	""	"405"	""
"16"	"10"	"124"	"6"	"39"	"224"	"14"	"14"	"421"	""	"421"	""
"17"	"11"	"253"	"4"	"6"	"161"	"10"	"4"	"438"	""	"438"	""
"18"	"12"	"270"	"7"	"9"	"253"	"20"	"21"	"580"	""	"580"	""
"19"	"13"	"141"	"2"	"3"	"124"	"6"	"15"	"291"	""	"291"	""
"20"	"Page Total"	"2231"	"90"	"915"	"2204"	"171"	"244"	"5855"	"0"	"5855"	"0"
"21"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"22"	"PART I"	""	""	""	""	""	""	""	""	""	""
"23"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"24"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"25"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"26"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"27"	"B.F."	"2231"	"90"	"915"	"2204"	"171"	"244"	"5855"	"0"	"5855"	"0"
"28"	"14"	"257"	"2"	"8"	"358"	"11"	"7"	"643"	""	"643"	""
"29"	"15"	"214"	"14"	"14"	"146"	"11"	"10"	"409"	""	"409"	""
"30"	"16"	"60"	"2"	"7"	"303"	"15"	"14"	"401"	""	"401"	""
"31"	"17"	"92"	"5"	"5"	"140"	"11"	"9"	"262"	""	"262"	""
"32"	"18"	"75"	"8"	"14"	"292"	"18"	"16"	"423"	""	"423"	""
"33"	"19"	"190"	"5"	"58"	"251"	"16"	"22"	"542"	""	"542"	""
"34"	"20"	"144"	"7"	"20"	"180"	"21"	"23"	"395"	""	"395"	""
"35"	"21"	"225"	"7"	"13"	"231"	"11"	"13"	"500"	""	"500"	""
"36"	"22"	"144"	"8"	"48"	"246"	"30"	"37"	"513"	""	"513"	""
"37"	"23"	"180"	"0"	"0"	"61"	"1"	"0"	"242"	""	"242"	""
"38"	"24"	"400"	"3"	"70"	"151"	"5"	"8"	"637"	""	"637"	""
"39"	"25"	"239"	"0"	"1"	"86"	"6"	"2"	"334"	""	"334"	""
"40"	"26"	"279"	"1"	"1"	"12"	"0"	"0"	"293"	""	"293"	""
"41"	"27"	"343"	"3"	"11"	"155"	"23"	"17"	"552"	""	"552"	""
"42"	"Page Total"	"5073"	"155"	"1185"	"4816"	"350"	"422"	"12001"	"0"	"12001"	"0"
"43"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"44"	"PART I"	""	""	""	""	""	""	""	""	""	""
"45"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
