"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.108.CHERIA.BARIARPUR.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"4"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"6"	"1"	"342"	"262"	"13"	"2"	"7"	"8"	"12"	"14"	"660"	"0"	"660"	"0"
"7"	"2"	"154"	"245"	"30"	"23"	"5"	"2"	"6"	"8"	"473"	"0"	"473"	"0"
"8"	"3"	"171"	"202"	"9"	"28"	"0"	"3"	"1"	"11"	"425"	"0"	"425"	"0"
"9"	"4"	"186"	"40"	"7"	"150"	"14"	"4"	"12"	"5"	"418"	"0"	"418"	"0"
"10"	"5"	"283"	"55"	"6"	"33"	"3"	"2"	"6"	"1"	"389"	"0"	"389"	"0"
"11"	"6"	"145"	"78"	"5"	"58"	"6"	"3"	"11"	"4"	"310"	"0"	"310"	"0"
"12"	"6A"	"80"	"112"	"6"	"123"	"6"	"2"	"8"	"15"	"352"	"0"	"352"	"0"
"13"	"7"	"213"	"49"	"6"	"70"	"2"	"0"	"3"	"7"	"350"	"0"	"350"	"0"
"14"	"8"	"130"	"132"	"11"	"40"	"3"	"2"	"8"	"12"	"338"	"0"	"338"	"0"
"15"	"9"	"235"	"31"	"15"	"141"	"13"	"2"	"14"	"21"	"472"	"0"	"472"	"0"
"16"	"10"	"209"	"26"	"4"	"123"	"8"	"4"	"7"	"8"	"389"	"0"	"389"	"0"
"17"	"11"	"114"	"242"	"15"	"165"	"16"	"13"	"21"	"39"	"625"	"0"	"625"	"0"
