"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"2"	"1"	"338"	"16"	"12"	"92"	"9"	"6"	"38"	"511"	""	"511"	""
"3"	"2"	"344"	"6"	"6"	"56"	"1"	"1"	"4"	"418"	""	"418"	""
"4"	"2d"	"75"	"6"	"28"	"201"	"15"	"10"	"22"	"357"	""	"357"	""
"5"	"3"	"204"	"6"	"8"	"154"	"3"	"3"	"2"	"380"	""	"380"	""
"6"	"3d"	"268"	"8"	"9"	"101"	"7"	"4"	"4"	"401"	""	"401"	""
"7"	"4"	"87"	"8"	"80"	"70"	"15"	"3"	"20"	"283"	""	"283"	""
"8"	"5"	"417"	"7"	"8"	"75"	"6"	"13"	"15"	"541"	""	"541"	""
"9"	"6"	"304"	"10"	"42"	"137"	"11"	"8"	"8"	"520"	""	"520"	""
"10"	"7"	"503"	"3"	"42"	"48"	"1"	"5"	"6"	"608"	""	"608"	""
"11"	"8"	"363"	"6"	"9"	"90"	"6"	"6"	"11"	"491"	""	"491"	""
"12"	"9"	"173"	"8"	"16"	"224"	"8"	"11"	"21"	"461"	""	"461"	""
"13"	"9d"	"233"	"5"	"12"	"134"	"14"	"6"	"3"	"407"	""	"407"	""
"14"	"10"	"218"	"15"	"10"	"250"	"30"	"20"	"23"	"566"	""	"566"	""
"15"	"11"	"298"	"13"	"6"	"55"	"7"	"8"	"13"	"400"	""	"400"	""
"16"	"Total-I"	"3825"	"117"	"288"	"1687"	"133"	"104"	"190"	"6344"	""	"6344"	""
"17"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"18"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"19"	"12"	"218"	"11"	"12"	"130"	"6"	"10"	"11"	"398"	""	"398"	""
"20"	"13"	"112"	"4"	"9"	"133"	"10"	"8"	"7"	"283"	""	"283"	""
"21"	"14"	"437"	"11"	"13"	"126"	"3"	"12"	"6"	"608"	""	"608"	""
"22"	"15"	"476"	"7"	"23"	"91"	"8"	"6"	"4"	"615"	""	"615"	""
"23"	"16"	"498"	"19"	"13"	"86"	"2"	"16"	"4"	"638"	""	"638"	""
"24"	"17"	"339"	"6"	"6"	"57"	"6"	"6"	"14"	"434"	""	"434"	""
"25"	"17d"	"269"	"12"	"9"	"70"	"11"	"6"	"13"	"390"	""	"390"	""
"26"	"18"	"318"	"6"	"36"	"199"	"13"	"13"	"11"	"596"	""	"596"	""
"27"	"19"	"268"	"8"	"25"	"79"	"12"	"9"	"14"	"415"	""	"415"	""
"28"	"20"	"371"	"16"	"17"	"64"	"10"	"7"	"36"	"521"	""	"521"	""
"29"	"21"	"207"	"14"	"12"	"166"	"10"	"17"	"13"	"439"	""	"439"	""
"30"	"22"	"235"	"13"	"8"	"116"	"9"	"17"	"82"	"480"	""	"480"	""
"31"	"23"	"349"	"11"	"11"	"42"	"7"	"15"	"67"	"502"	""	"502"	""
"32"	"24"	"150"	"3"	""	"36"	""	"1"	"23"	"213"	""	"213"	""
"33"	"Total-II"	"4247"	"141"	"194"	"1395"	"107"	"143"	"305"	"6532"	""	"6532"	""
"34"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"35"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"36"	"25"	"217"	"6"	"3"	"17"	"3"	"2"	"8"	"256"	""	"256"	""
"37"	"26"	"242"	"5"	"12"	"59"	"5"	"4"	"10"	"337"	""	"337"	""
"38"	"27"	"71"	"1"	"1"	"40"	"2"	"8"	""	"123"	""	"123"	""
"39"	"28"	"323"	"28"	"4"	"151"	"13"	"7"	"25"	"551"	""	"551"	""
"40"	"29"	"332"	"16"	"22"	"142"	"17"	"23"	"35"	"587"	""	"587"	""
"41"	"30"	"216"	"9"	"3"	"123"	"18"	"7"	"23"	"399"	""	"399"	""
"42"	"31"	"253"	"21"	"13"	"87"	"12"	"12"	"11"	"409"	""	"409"	""
"43"	"32"	"511"	"21"	"5"	"81"	"14"	"9"	"9"	"650"	""	"650"	""
"44"	"33"	"180"	"25"	"11"	"9"	""	"7"	"13"	"245"	""	"245"	""
"45"	"34"	"93"	"4"	"7"	"78"	"8"	"89"	"14"	"293"	""	"293"	""
"46"	"35"	"91"	"3"	"11"	"92"	"4"	"28"	"9"	"238"	""	"238"	""
"47"	"36"	"265"	"5"	"8"	"30"	"3"	"19"	"5"	"335"	""	"335"	""
"48"	"37"	"163"	"5"	"7"	"70"	"4"	"5"	"1"	"255"	""	"255"	""
"49"	"37d"	"223"	"12"	"27"	"41"	"7"	"6"	"8"	"324"	""	"324"	""
"50"	"Total-III"	"3180"	"161"	"134"	"1020"	"110"	"226"	"171"	"5002"	""	"5002"	""
"51"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"52"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"53"	"38"	"235"	"8"	"7"	"23"	"1"	"4"	"2"	"280"	""	"280"	""
"54"	"39"	"284"	"4"	"5"	"38"	"3"	"11"	"8"	"353"	""	"353"	""
"55"	"39d"	"221"	"7"	"13"	"73"	"7"	"6"	"14"	"341"	""	"341"	""
"56"	"40"	"499"	"7"	"8"	"56"	"6"	"11"	"15"	"602"	""	"602"	""
"57"	"41"	"615"	"7"	"9"	"73"	"2"	"2"	"7"	"715"	""	"715"	""
"58"	"42"	"359"	"7"	"7"	"37"	"2"	"2"	"19"	"433"	""	"433"	""
"59"	"43"	"248"	"4"	"22"	"38"	"2"	"2"	"8"	"324"	""	"324"	""
"60"	"43d"	"198"	"7"	"8"	"41"	"3"	"5"	"1"	"263"	""	"263"	""
