"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"3"	"Round - 1"	"1"	"166"	"135"	"24"	"215"	"35"	"34"	"609"	"0"	"609"	"0"
"4"	""	"2"	"114"	"53"	"12"	"200"	"16"	"9"	"404"	"0"	"404"	"0"
"5"	""	"3"	"200"	"51"	"16"	"178"	"66"	"26"	"537"	"0"	"537"	"0"
"6"	""	"4"	"283"	"58"	"18"	"62"	"195"	"19"	"635"	"0"	"635"	"0"
"7"	""	"5"	"81"	"46"	"16"	"274"	"23"	"36"	"476"	"0"	"476"	"0"
"8"	""	"6"	"264"	"42"	"7"	"24"	"40"	"19"	"396"	"0"	"396"	"0"
"9"	""	"7"	"163"	"7"	"5"	"52"	"10"	"12"	"249"	"0"	"249"	"0"
"10"	""	"7-A"	"117"	"16"	"6"	"98"	"12"	"10"	"259"	"0"	"259"	"0"
"11"	""	"8"	"121"	"50"	"7"	"93"	"8"	"12"	"291"	"0"	"291"	"0"
"12"	""	"9"	"37"	"42"	"9"	"168"	"10"	"14"	"280"	"0"	"280"	"0"
"13"	""	"10"	"172"	"25"	"23"	"148"	"28"	"22"	"418"	"0"	"418"	"0"
"14"	""	"11"	"103"	"37"	"14"	"371"	"32"	"26"	"583"	"0"	"583"	"0"
"15"	""	"12"	"261"	"36"	"8"	"131"	"30"	"20"	"486"	"0"	"486"	"0"
"16"	""	"13"	"127"	"101"	"37"	"191"	"38"	"21"	"515"	"0"	"515"	"0"
"17"	""	"Total"	"2209"	"699"	"202"	"2205"	"543"	"280"	"6138"	"0"	"6138"	"0"
"18"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"20"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"21"	"Round - 2"	"14"	"117"	"119"	"7"	"130"	"58"	"23"	"454"	"0"	"454"	"0"
"22"	""	"14-A"	"33"	"16"	"6"	"328"	"16"	"6"	"405"	"0"	"405"	"0"
"23"	""	"15"	"67"	"30"	"9"	"433"	"4"	"14"	"557"	"0"	"557"	"0"
"24"	""	"16"	"149"	"9"	"4"	"36"	"15"	"22"	"235"	"0"	"235"	"0"
"25"	""	"17"	"326"	"47"	"22"	"89"	"28"	"39"	"551"	"0"	"551"	"0"
"26"	""	"18"	"299"	"37"	"9"	"19"	"14"	"43"	"421"	"0"	"421"	"0"
"27"	""	"18-A"	"204"	"10"	"2"	"33"	"14"	"10"	"273"	"0"	"273"	"0"
"28"	""	"19"	"173"	"16"	"12"	"95"	"34"	"20"	"350"	"0"	"350"	"0"
"29"	""	"20"	"92"	"31"	"14"	"118"	"283"	"64"	"602"	"0"	"602"	"0"
"30"	""	"21"	"187"	"24"	"12"	"280"	"27"	"14"	"544"	"0"	"544"	"0"
"31"	""	"22"	"152"	"36"	"8"	"100"	"41"	"50"	"387"	"0"	"387"	"0"
"32"	""	"23"	"319"	"6"	"1"	"2"	"35"	"5"	"368"	"0"	"368"	"0"
"33"	""	"24"	"291"	"72"	"22"	"96"	"36"	"20"	"537"	"0"	"537"	"0"
"34"	""	"25"	"321"	"30"	"11"	"68"	"23"	"34"	"487"	"0"	"487"	"0"
"35"	""	"Total"	"2730"	"483"	"139"	"1827"	"628"	"364"	"6171"	"0"	"6171"	"0"
"36"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"38"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"39"	"Round - 3"	"26"	"47"	"24"	"20"	"250"	"10"	"8"	"359"	"0"	"359"	"0"
"40"	""	"27"	"39"	"15"	"5"	"315"	"42"	"16"	"432"	"0"	"432"	"0"
"41"	""	"28"	"53"	"9"	"11"	"49"	"214"	"16"	"352"	"0"	"352"	"0"
"42"	""	"29"	"84"	"12"	"8"	"116"	"156"	"11"	"387"	"0"	"387"	"0"
"43"	""	"29-A"	"89"	"37"	"4"	"219"	"57"	"9"	"415"	"0"	"415"	"0"
"44"	""	"30"	"32"	"138"	"29"	"200"	"22"	"30"	"451"	"0"	"451"	"0"
"45"	""	"30-A"	"42"	"90"	"15"	"219"	"29"	"23"	"418"	"0"	"418"	"0"
"46"	""	"31"	"13"	"80"	"11"	"256"	"14"	"9"	"383"	"0"	"383"	"0"
"47"	""	"32"	"156"	"32"	"15"	"222"	"28"	"25"	"478"	"0"	"478"	"0"
"48"	""	"33"	"117"	"76"	"23"	"194"	"22"	"10"	"442"	"0"	"442"	"0"
"49"	""	"34"	"117"	"137"	"15"	"321"	"23"	"9"	"622"	"0"	"622"	"0"
"50"	""	"35"	"96"	"16"	"17"	"221"	"7"	"8"	"365"	"0"	"365"	"0"
"51"	""	"36"	"30"	"49"	"4"	"189"	"9"	"12"	"293"	"0"	"293"	"0"
"52"	""	"37"	"157"	"93"	"19"	"140"	"16"	"23"	"448"	"0"	"448"	"0"
"53"	""	"Total"	"1072"	"808"	"196"	"2911"	"649"	"209"	"5845"	"0"	"5845"	"0"
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"57"	"Round - 4"	"38"	"266"	"18"	"10"	"194"	"28"	"20"	"536"	"0"	"536"	"0"
"58"	""	"39"	"141"	"24"	"14"	"179"	"9"	"8"	"375"	"0"	"375"	"0"
"59"	""	"40"	"135"	"42"	"14"	"321"	"23"	"31"	"566"	"0"	"566"	"0"
"60"	""	"41"	"123"	"20"	"6"	"330"	"28"	"28"	"535"	"0"	"535"	"0"
"61"	""	"42"	"49"	"14"	"10"	"258"	"7"	"20"	"358"	"0"	"358"	"0"
"62"	""	"43"	"57"	"14"	"26"	"352"	"17"	"17"	"483"	"0"	"483"	"0"
