"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"2"	"1"	"11"	"70"	"540"	"7"	"4"	"2"	"9"	"8"	"651"	"-"	"651"	"-"
"3"	"2"	"6"	"55"	"478"	"7"	"0"	"1"	"0"	"4"	"551"	"-"	"551"	"-"
"4"	"3"	"2"	"36"	"457"	"13"	"1"	"1"	"4"	"5"	"519"	"-"	"519"	"-"
"5"	"4"	"38"	"120"	"390"	"7"	"1"	"3"	"9"	"11"	"579"	"-"	"579"	"-"
"6"	"5"	"10"	"145"	"253"	"3"	"5"	"2"	"3"	"3"	"424"	"-"	"424"	"-"
"7"	"6"	"12"	"221"	"13"	"1"	"2"	"1"	"3"	"6"	"259"	"-"	"259"	"-"
"8"	"7"	"47"	"103"	"475"	"20"	"6"	"4"	"5"	"7"	"667"	"-"	"667"	"-"
"9"	"8"	"14"	"227"	"171"	"4"	"1"	"4"	"0"	"2"	"423"	"-"	"423"	"-"
"10"	"9"	"4"	"92"	"342"	"1"	"2"	"4"	"4"	"1"	"450"	"-"	"450"	"-"
"11"	"10"	"7"	"30"	"376"	"2"	"5"	"3"	"4"	"5"	"432"	"-"	"432"	"-"
"12"	"11"	"25"	"11"	"454"	"5"	"2"	"0"	"1"	"1"	"499"	"-"	"499"	"-"
"13"	"12"	"11"	"18"	"398"	"5"	"0"	"0"	"1"	"1"	"434"	"-"	"434"	"-"
"14"	"13"	"8"	"13"	"545"	"10"	"5"	"2"	"1"	"4"	"588"	"-"	"588"	"-"
"15"	"13A"	"2"	"9"	"300"	"3"	"2"	"0"	"1"	"3"	"320"	"-"	"320"	"-"
"16"	"14"	"18"	"49"	"420"	"5"	"1"	"4"	"8"	"4"	"509"	"-"	"509"	"-"
"17"	"15"	"14"	"45"	"407"	"7"	"2"	"1"	"3"	"2"	"481"	"-"	"481"	"-"
"18"	"16"	"49"	"19"	"509"	"3"	"2"	"1"	"4"	"1"	"588"	"-"	"588"	"-"
"19"	"17"	"2"	"13"	"388"	"4"	"0"	"0"	"1"	"2"	"410"	"-"	"410"	"-"
"20"	"18"	"25"	"32"	"473"	"12"	"3"	"0"	"5"	"8"	"558"	"-"	"558"	"-"
"21"	"19"	"47"	"31"	"370"	"8"	"2"	"0"	"4"	"5"	"467"	"-"	"467"	"-"
"22"	"20"	"2"	"46"	"167"	"3"	"1"	"2"	"0"	"0"	"221"	"-"	"221"	"-"
"23"	"21"	"8"	"57"	"348"	"0"	"1"	"1"	"1"	"2"	"418"	"-"	"418"	"-"
"24"	"21A"	"13"	"11"	"126"	"3"	"1"	"0"	"1"	"1"	"156"	"-"	"156"	"-"
"25"	"22"	"3"	"56"	"298"	"1"	"1"	"2"	"0"	"0"	"361"	"-"	"361"	"-"
"26"	"23"	"7"	"76"	"494"	"3"	"3"	"2"	"2"	"6"	"593"	"-"	"593"	"-"
"27"	"24"	"2"	"29"	"462"	"3"	"2"	"0"	"1"	"1"	"500"	"-"	"500"	"-"
"28"	"25"	"5"	"59"	"419"	"3"	"1"	"4"	"3"	"1"	"495"	"-"	"495"	"-"
"29"	"26"	"0"	"22"	"393"	"1"	"1"	"1"	"1"	"3"	"422"	"-"	"422"	"-"
"30"	"27"	"8"	"54"	"254"	"3"	"0"	"0"	"2"	"0"	"321"	"-"	"321"	"-"
"31"	"28"	"4"	"27"	"195"	"1"	"1"	"0"	"0"	"2"	"230"	"-"	"230"	"-"
"32"	"29"	"4"	"141"	"112"	"3"	"1"	"0"	"2"	"0"	"263"	"-"	"263"	"-"
"33"	"30"	"7"	"10"	"151"	"5"	"1"	"0"	"0"	"0"	"174"	"-"	"174"	"-"
"34"	"30A"	"3"	"11"	"159"	"0"	"0"	"1"	"0"	"0"	"174"	"-"	"174"	"-"
"35"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"36"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"37"	"31"	"5"	"63"	"342"	"3"	"3"	"1"	"0"	"2"	"419"	"-"	"419"	"-"
"38"	"32"	"24"	"47"	"273"	"5"	"2"	"0"	"2"	"7"	"360"	"-"	"360"	"-"
"39"	"33"	"23"	"191"	"312"	"5"	"3"	"3"	"1"	"1"	"539"	"-"	"539"	"-"
