"Total.No..of.Electors.in.Assembly.Constituency...203388"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"7"	"1"	"60"	"3"	"8"	"7"	"175"	"100"	"15"	"3"	"10"	"14"	"395"	"0"	"395"	"0"	""
"8"	"2"	"227"	"11"	"6"	"25"	"80"	"68"	"7"	"3"	"7"	"16"	"450"	"0"	"450"	"0"	""
"9"	"3"	"94"	"2"	"3"	"46"	"126"	"9"	"16"	"4"	"1"	"3"	"304"	"0"	"304"	"0"	""
"10"	"4"	"490"	"12"	"8"	"4"	"128"	"33"	"5"	"3"	"1"	"9"	"693"	"0"	"693"	"0"	""
"11"	"5"	"326"	"22"	"19"	"34"	"57"	"9"	"5"	"2"	"4"	"13"	"491"	"0"	"491"	"0"	""
"12"	"6"	"254"	"16"	"8"	"36"	"75"	"28"	"13"	"11"	"6"	"22"	"469"	"0"	"469"	"0"	""
"13"	"7"	"153"	"5"	"43"	"30"	"80"	"22"	"10"	"11"	"3"	"9"	"366"	"0"	"366"	"0"	""
"14"	"7A"	"101"	"5"	"34"	"71"	"37"	"8"	"15"	"13"	"6"	"19"	"309"	"0"	"309"	"0"	""
"15"	"8"	"221"	"8"	"13"	"89"	"48"	"6"	"6"	"0"	"4"	"5"	"400"	"0"	"400"	"0"	""
"16"	"9"	"56"	"2"	"5"	"118"	"133"	"7"	"17"	"6"	"5"	"3"	"352"	"0"	"352"	"0"	""
"17"	"10"	"261"	"13"	"3"	"3"	"48"	"23"	"3"	"1"	"1"	"3"	"359"	"0"	"359"	"0"	""
"18"	"11"	"122"	"8"	"10"	"72"	"89"	"7"	"3"	"2"	"3"	"2"	"318"	"0"	"318"	"0"	""
"19"	"12"	"68"	"9"	"9"	"210"	"135"	"14"	"15"	"12"	"7"	"10"	"489"	"0"	"489"	"0"	""
"20"	"13"	"30"	"10"	"0"	"1"	"348"	"16"	"6"	"3"	"4"	"8"	"426"	"0"	"426"	"0"	""
"21"	"Total"	"2463"	"126"	"169"	"746"	"1559"	"350"	"136"	"74"	"62"	"136"	"5821"	"0"	"5821"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
