"Total.No..of.Electors.in.Assembly.Constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"2"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"3"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"4"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"5"	"Round - 1"	"1"	"45"	"105"	"15"	"203"	"28"	"396"	""	"396"	"0"
"6"	""	"2"	"24"	"45"	"22"	"200"	"14"	"305"	""	"305"	"0"
"7"	""	"2&d"	"5"	"13"	"5"	"65"	"5"	"93"	""	"93"	"0"
"8"	""	"3"	"31"	"92"	"14"	"205"	"35"	"377"	""	"377"	"0"
"9"	""	"4"	"143"	"235"	"37"	"214"	"32"	"661"	""	"661"	"0"
"10"	""	"5"	"66"	"184"	"18"	"96"	"18"	"382"	""	"382"	"0"
"11"	""	"5&d"	"20"	"55"	"4"	"126"	"5"	"210"	""	"210"	"0"
"12"	""	"6"	"18"	"98"	"11"	"255"	"35"	"417"	""	"417"	"0"
"13"	""	"7"	"61"	"49"	"17"	"222"	"25"	"374"	""	"374"	"0"
"14"	""	"7&d"	"49"	"122"	"7"	"138"	"7"	"323"	""	"323"	"0"
"15"	""	"8"	"63"	"58"	"11"	"119"	"19"	"270"	""	"270"	"0"
"16"	""	"9"	"19"	"20"	"10"	"192"	"20"	"261"	""	"261"	"0"
"17"	""	"10"	"40"	"266"	"25"	"44"	"24"	"399"	""	"399"	"0"
"18"	""	"11"	"30"	"205"	"23"	"221"	"42"	"521"	""	"521"	"0"
"19"	""	"Total"	"614"	"1547"	"219"	"2300"	"309"	"4989"	""	"4989"	"0"
"20"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"21"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"22"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"23"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"24"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"25"	"Round - 2"	"12"	"39"	"309"	"21"	"71"	"32"	"472"	""	"472"	"0"
"26"	""	"13"	"82"	"219"	"13"	"266"	"20"	"600"	""	"600"	"0"
"27"	""	"14"	"162"	"116"	"17"	"249"	"47"	"591"	""	"591"	"0"
"28"	""	"15"	"55"	"247"	"16"	"34"	"13"	"365"	""	"365"	"0"
"29"	""	"16"	"70"	"87"	"9"	"207"	"21"	"394"	""	"394"	"0"
"30"	""	"17"	"12"	"64"	"9"	"39"	"5"	"129"	""	"129"	"0"
"31"	""	"17&d"	"34"	"97"	"8"	"89"	"15"	"243"	""	"243"	"0"
"32"	""	"18"	"73"	"115"	"18"	"49"	"36"	"291"	""	"291"	"0"
"33"	""	"19"	"13"	"42"	"12"	"297"	"18"	"382"	""	"382"	"0"
"34"	""	"20"	"85"	"57"	"21"	"207"	"25"	"395"	""	"395"	"0"
