"Á.Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"ºfu;e 56º7Ω nsf[k,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"vf/klwfpr ernku dsUnkzsa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk; A 225 dqFkkZ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu 2005 ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx& 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"º lalnh; ,oa fo/kku lHkk nksuks fuokZpu ds fy, mi;ksx esa yk;k tk; Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"lHkk fuokZpu {ks= [k.M esa fuokZpdksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku lHkk [k.M ºlalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa Ω 225 dqFkkZ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"dqy la[;k          203847"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	""	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz
dh ÿe la[;k"	"vaTtuh dqekj"	"v'kksd dqekj"	"misanz ukFk"	"lgnso izlkn ;kno"	"lqfp=k flUgk"	"v[kykdqj jgeku"	"d`\".kk eqjkjh flag"	"izks0 t;jke izlkn flag"	"vuqt flag"	"nsopan pkS/kjh"	"egs'k izlkn ;kno"	"foÿkUr izrki flag"	"fotsanz flag"	"f'ko dqekj flag"	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"dqy erksa dh la[;k"	"fufonr erksa dh la[;k"
"11"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"12"	"1"	"69"	"0"	"0"	"65"	"160"	"7"	"0"	"1"	"0"	"2"	"36"	"1"	"1"	"0"	"342"	"0"	"342"	"0"
"13"	"2"	"114"	"8"	"21"	"53"	"41"	"1"	"0"	"0"	"2"	"0"	"10"	"2"	"0"	"5"	"257"	"0"	"257"	"0"
"14"	"3"	"56"	"7"	"9"	"140"	"119"	"7"	"1"	"5"	"4"	"2"	"11"	"1"	"3"	"8"	"373"	"0"	"373"	"0"
"15"	"4"	"34"	"3"	"11"	"128"	"104"	"3"	"2"	"2"	"2"	"1"	"4"	"1"	"1"	"6"	"302"	"0"	"302"	"0"
