"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Name of the Assembly Constituency : - 87 - Baheri"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"8"	"1"	"1"	"58"	"220"	"20"	"23"	"176"	"22"	"12"	"22"	"553"	"-"	"553"	""
"9"	"2"	"2"	"47"	"163"	"15"	"7"	"90"	"10"	"10"	"10"	"352"	"-"	"352"	""
"10"	"3"	"2A"	"9"	"26"	"1"	"3"	"62"	"3"	"2"	"2"	"108"	"-"	"108"	""
"11"	"4"	"3"	"82"	"5"	"3"	"19"	"281"	"9"	"5"	"4"	"408"	"-"	"408"	""
"12"	"5"	"4"	"24"	"20"	"3"	"13"	"323"	"13"	"12"	"14"	"422"	"-"	"422"	""
"13"	"6"	"5"	"71"	"59"	"6"	"25"	"235"	"19"	"9"	"41"	"465"	"-"	"465"	""
"14"	"7"	"6"	"120"	"65"	"23"	"3"	"189"	"15"	"15"	"13"	"443"	"-"	"443"	""
"15"	"8"	"7"	"46"	"28"	"5"	"17"	"195"	"10"	"16"	"15"	"332"	"-"	"332"	""
"16"	"9"	"7A"	"18"	"33"	"4"	"11"	"166"	"7"	"7"	"15"	"261"	"-"	"261"	""
"17"	"10"	"8"	"235"	"54"	"12"	"49"	"79"	"14"	"14"	"18"	"475"	"-"	"475"	""
"18"	"11"	"9"	"134"	"122"	"11"	"9"	"53"	"5"	"13"	"20"	"367"	"-"	"367"	""
