"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 161 TARAPUR ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""
"3"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""
"5"	"161-TARAPUR (VOTERS)"	""	""	""	""	""	""	""	""	""	""
"6"	"GENERAL VOTERS"	""	""	""	""	""	""	""	""	""	""
"7"	"SERVICE VOTERS                                                        DATE-22/11/2005"	""	""	""	""	""	""	""	""	""	""
"8"	"Name of Assembly Segment:- 161-TARAPUR"	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""
"10"	"MEN                 WOMEN                      TOTAL                                MEN                      WOMEN             TOTAL G. TOTAL"	""	""	""	""	""	""	""	""	""	""
"11"	"100060                      85199                     185259                                  125                                 49                   174         185433"	""	""	""	""	""	""	""	""	""	""
"12"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"13"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"14"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"15"	"1"	"40"	"101"	"91"	"10"	"4"	"10"	"256"	""	"256"	""
"16"	"2"	"7"	"109"	"44"	"2"	"3"	"2"	"167"	""	"167"	""
"17"	"3"	"6"	"228"	"93"	"5"	"4"	"3"	"339"	""	"339"	""
"18"	"4"	"127"	"24"	"257"	"12"	"5"	"10"	"435"	""	"435"	""
"19"	"5"	"21"	"48"	"141"	"14"	"9"	"12"	"245"	""	"245"	""
"20"	"5A"	"60"	"87"	"292"	"18"	"7"	"17"	"481"	""	"481"	""
"21"	"6"	"16"	"146"	"330"	"8"	"4"	"9"	"513"	""	"513"	""
"22"	"7"	"32"	"116"	"165"	"6"	"2"	"2"	"323"	""	"323"	""
"23"	"8"	"8"	"143"	"33"	"2"	"2"	"6"	"194"	""	"194"	""
"24"	"9"	"101"	"81"	"148"	"16"	"14"	"24"	"384"	""	"384"	""
"25"	"10"	"51"	"221"	"187"	"7"	"3"	"16"	"485"	""	"485"	""
"26"	"11"	"67"	"101"	"169"	"14"	"2"	"15"	"368"	""	"368"	""
"27"	"12"	"158"	"121"	"53"	"5"	"5"	"4"	"346"	""	"346"	""
"28"	"13"	"153"	"158"	"195"	"28"	"25"	"30"	"589"	""	"589"	""
"29"	""	""	""	""	""	""	""	""	""	""	""
"30"	"TOTAL"	"847"	"1684"	"2198"	"147"	"89"	"160"	"5125"	""	"5125"	"0"
"31"	"ROUND:-1"	""	""	""	""	""	""	""	""	""	""
"32"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"33"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
