"No..and.Name.of.Assembly.Contituency.37.MASHRAKH.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"Serial No of Polling Station"	""	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""
"2"	""	""	"Kedar Nath Singh"	"Tarkesh war Singh"	"Sanjeev Kumar Mishra"	""	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwa r Ram"	""	"Ram Narayan Prasad Yadav"	""	"Sanjay Kumar"	"Sanjee v Ku.Sin gh"	"Sadhu Rai"	""	""	""	""	""	""	""	""	""
"3"	"1"	""	"2"	"3"	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""
"4"	"1"	""	"186"	"112"	"13"	""	"4"	""	"7"	""	"1"	""	"2"	""	"11"	""	"1"	""	"10"	""	"9"	"3"	"23"	""	"382"	""	""	""	""	""	""	""
"5"	"2"	""	"332"	"202"	"22"	""	"9"	""	"14"	""	"5"	""	"7"	""	"32"	""	"8"	""	"21"	""	"3"	"6"	"24"	""	"685"	""	""	""	""	""	""	""
"6"	"3"	""	"114"	"144"	"12"	""	"3"	""	"10"	""	"1"	""	"3"	""	"3"	""	"5"	""	"21"	""	"7"	"6"	"12"	""	"341"	""	""	""	""	""	""	""
"7"	"4"	""	"75"	"133"	"6"	""	"3"	""	"3"	""	"2"	""	"2"	""	"4"	""	"2"	""	"7"	""	"3"	"7"	"11"	""	"258"	""	""	""	""	""	""	""
"8"	"4A"	""	"155"	"205"	"16"	""	"4"	""	"5"	""	"4"	""	"5"	""	"11"	""	"3"	""	"9"	""	"6"	"13"	"34"	""	"470"	""	""	""	""	""	""	""
"9"	"5"	""	"217"	"107"	"20"	""	"7"	""	"26"	""	"1"	""	"3"	""	"3"	""	"1"	""	"7"	""	"3"	"5"	"6"	""	"406"	""	""	""	""	""	""	""
"10"	"6"	""	"138"	"343"	"18"	""	"2"	""	"4"	""	"2"	""	"6"	""	"2"	""	"2"	""	"7"	""	"9"	"15"	"22"	""	"570"	""	""	""	""	""	""	""
"11"	"7"	""	"300"	"140"	"12"	""	"7"	""	"4"	""	"1"	""	"3"	""	"6"	""	"1"	""	"13"	""	"8"	"17"	"34"	""	"546"	""	""	""	""	""	""	""
