"No..and.Name.of.Assembly.Constituency...........46..Raghopur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"5"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"6"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"7"	"1"	"432"	"231"	"18"	"54"	"129"	"432"	"0"	"432"	"0"
"8"	"2"	"304"	"86"	"13"	"41"	"164"	"304"	"0"	"304"	"0"
"9"	"3"	"516"	"167"	"31"	"152"	"166"	"516"	"0"	"516"	"0"
"10"	"4"	"435"	"67"	"16"	"174"	"178"	"435"	"0"	"435"	"0"
"11"	"5"	"354"	"149"	"14"	"115"	"76"	"354"	"0"	"354"	"0"
"12"	"6"	"306"	"56"	"19"	"192"	"39"	"306"	"0"	"306"	"0"
"13"	"7"	"367"	"53"	"19"	"93"	"202"	"367"	"0"	"367"	"0"
"14"	"7K"	"411"	"99"	"19"	"59"	"234"	"411"	"0"	"411"	"0"
"15"	"8"	"522"	"131"	"23"	"271"	"97"	"522"	"0"	"522"	"0"
"16"	"9"	"426"	"63"	"17"	"140"	"206"	"426"	"0"	"426"	"0"
"17"	"9K"	"390"	"152"	"12"	"113"	"113"	"390"	"0"	"390"	"0"
"18"	"10"	"545"	"105"	"17"	"269"	"154"	"545"	"0"	"545"	"0"
"19"	"11"	"443"	"75"	"18"	"134"	"216"	"443"	"0"	"443"	"0"
"20"	"12"	"305"	"151"	"9"	"113"	"32"	"305"	"0"	"305"	"0"
"21"	"Grand Total"	"5756"	"1585"	"245"	"1920"	"2006"	"5756"	"0"	"5756"	"0"
"22"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"23"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
