"Total.No..of.Electors.in.Assembly.Constituency...120838"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"7"	"1"	"18"	"3"	"67"	"11"	"190"	"3"	"47"	"5"	"1"	"3"	"11"	"359"	"0"	"359"	"0"	""
"8"	"2"	"8"	"2"	"48"	"8"	"311"	"11"	"47"	"6"	"1"	"4"	"5"	"451"	"0"	"451"	"0"	""
"9"	"3"	"3"	"9"	"54"	"7"	"46"	"5"	"5"	"2"	"1"	"0"	"1"	"133"	"0"	"133"	"0"	""
"10"	"4"	"6"	"2"	"127"	"5"	"196"	"11"	"16"	"6"	"7"	"3"	"6"	"385"	"0"	"385"	"0"	""
"11"	"4A"	"7"	"0"	"108"	"11"	"241"	"5"	"10"	"6"	"9"	"6"	"11"	"414"	"0"	"414"	"0"	""
"12"	"5"	"22"	"7"	"339"	"17"	"189"	"6"	"18"	"5"	"11"	"3"	"6"	"623"	"0"	"623"	"0"	""
"13"	"6"	"9"	"1"	"251"	"2"	"147"	"3"	"17"	"6"	"8"	"11"	"17"	"472"	"0"	"472"	"0"	""
"14"	"7"	"3"	"7"	"143"	"8"	"270"	"9"	"34"	"1"	"2"	"0"	"5"	"482"	"0"	"482"	"0"	""
"15"	"7A"	"10"	"4"	"66"	"8"	"347"	"7"	"25"	"3"	"2"	"3"	"3"	"478"	"0"	"478"	"0"	""
"16"	"8"	"16"	"3"	"239"	"8"	"44"	"3"	"229"	"10"	"5"	"3"	"8"	"568"	"0"	"568"	"0"	""
"17"	"9"	"44"	"0"	"167"	"3"	"12"	"0"	"50"	"3"	"0"	"0"	"0"	"279"	"0"	"279"	"0"	""
"18"	"10"	"22"	"0"	"229"	"0"	"1"	"1"	"67"	"2"	"4"	"1"	"1"	"328"	"0"	"328"	"0"	""
