"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"3"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"1st round"	""
"5"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"7"	"1"	"271"	"8"	"25"	"2"	"2"	"1"	"7"	"316"
"8"	"2"	"243"	"26"	"184"	"12"	"4"	"4"	"6"	"479"
"9"	"3"	"155"	"14"	"135"	"19"	"3"	"5"	"16"	"347"
"10"	"4"	"237"	"28"	"173"	"16"	"13"	"9"	"20"	"496"
"11"	"5"	"74"	"15"	"400"	"28"	"11"	"6"	"20"	"554"
"12"	"6"	"421"	"4"	"15"	"1"	"3"	"-"	"-"	"444"
"13"	"7"	"279"	"12"	"53"	"1"	"2"	"2"	"2"	"351"
"14"	"8"	"109"	"6"	"85"	"6"	"4"	"6"	"10"	"226"
"15"	"9"	"224"	"2"	"16"	"2"	"1"	"1"	"2"	"248"
"16"	"10"	"670"	"2"	"78"	"-"	"2"	"-"	"-"	"752"
"17"	"11"	"320"	"6"	"20"	"5"	"3"	"1"	"5"	"360"
"18"	"11A"	"273"	"2"	"34"	"-"	"1"	"-"	"5"	"315"
"19"	"12"	"148"	"27"	"58"	"70"	"10"	"5"	"4"	"322"
"20"	"13"	"311"	"51"	"134"	"24"	"1"	"3"	"9"	"533"
"21"	";ksx"	"3735"	"203"	"1410"	"186"	"60"	"43"	"106"	"5743"
"22"	"LFkku &"	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	""	""
"24"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"25"	"izi=&20"	""	""	""	""	""	""	""	""
"26"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"27"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"28"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"29"	""	""	""	""	""	""	""	"2nd round"	""
"30"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"32"	"14"	"467"	"86"	"27"	"8"	"2"	"9"	"9"	"608"
"33"	"15"	"99"	"55"	"292"	"14"	"11"	"3"	"8"	"482"
"34"	"16"	"321"	"1"	"143"	"20"	"1"	"-"	"1"	"487"
"35"	"17"	"241"	"12"	"99"	"13"	"2"	"3"	"21"	"391"
"36"	"18"	"13"	"4"	"581"	"-"	"-"	"-"	"-"	"598"
"37"	"19"	"332"	"71"	"136"	"24"	"8"	"8"	"14"	"593"
"38"	"20"	"82"	"5"	"235"	"18"	"4"	"2"	"7"	"353"
"39"	"21"	"202"	"27"	"225"	"38"	"9"	"4"	"24"	"529"
"40"	"22"	"489"	"28"	"48"	"4"	"2"	"1"	"11"	"583"
"41"	"23"	"185"	"49"	"215"	"8"	"1"	"3"	"8"	"469"
"42"	"24"	"84"	"19"	"458"	"16"	"8"	"4"	"2"	"591"
"43"	"25"	"58"	"22"	"132"	"50"	"10"	"14"	"15"	"301"
"44"	"26"	"145"	"20"	"111"	"50"	"7"	"3"	"4"	"340"
"45"	"27"	"284"	"23"	"64"	"46"	"1"	"1"	"5"	"424"
"46"	";ksx"	"3002"	"422"	"2766"	"309"	"66"	"55"	"129"	"6749"
"47"	"LFkku &"	""	""	""	""	""	""	""	""
"48"	""	""	""	""	""	""	""	""	""
"49"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"50"	"izi=&20"	""	""	""	""	""	""	""	""
"51"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"52"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"53"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"54"	""	""	""	""	""	""	""	"3rd round"	""
"55"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"57"	"28"	"168"	"9"	"115"	"5"	"-"	"2"	"6"	"305"
"58"	"29"	"116"	"19"	"221"	"102"	"21"	"12"	"31"	"522"
"59"	"30"	"281"	"20"	"115"	"38"	"5"	"4"	"11"	"474"
"60"	"31"	"197"	"11"	"120"	"34"	"2"	"3"	"12"	"379"
"61"	"32"	"242"	"2"	"95"	"3"	"1"	"1"	"-"	"344"
"62"	"33"	"268"	"32"	"98"	"70"	"12"	"5"	"13"	"498"
"63"	"34"	"186"	"13"	"108"	"64"	"9"	"6"	"17"	"403"
"64"	"35"	"152"	"14"	"94"	"3"	"3"	"6"	"6"	"278"
"65"	"36"	"109"	"15"	"181"	"139"	"14"	"6"	"19"	"483"
"66"	"36A"	"40"	"7"	"21"	"150"	"5"	"4"	"8"	"235"
"67"	"37"	"179"	"15"	"119"	"10"	"8"	"7"	"9"	"347"
"68"	"38"	"146"	"16"	"68"	"53"	"7"	"10"	"20"	"320"
"69"	"39"	"160"	"26"	"242"	"19"	"18"	"4"	"5"	"474"
"70"	"40"	"369"	"23"	"54"	"7"	"67"	"2"	"8"	"530"
"71"	";ksx"	"2613"	"222"	"1651"	"697"	"172"	"72"	"165"	"5592"
"72"	"LFkku &"	""	""	""	""	""	""	""	""
"73"	""	""	""	""	""	""	""	""	""
"74"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"75"	"izi=&20"	""	""	""	""	""	""	""	""
"76"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"77"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"78"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"79"	""	""	""	""	""	""	""	"4th round"	""
"80"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"82"	"41"	"194"	"8"	"92"	"8"	"15"	"3"	"5"	"325"
"83"	"42"	"101"	"16"	"97"	"5"	"13"	"3"	"16"	"251"
"84"	"43"	"26"	"5"	"508"	"12"	"9"	"2"	"9"	"571"
"85"	"44"	"83"	"16"	"293"	"55"	"15"	"14"	"32"	"508"
"86"	"45"	"189"	"10"	"60"	"46"	"16"	"8"	"7"	"336"
"87"	"46"	"217"	"22"	"180"	"20"	"15"	"5"	"21"	"480"
"88"	"47"	"193"	"93"	"110"	"22"	"20"	"14"	"42"	"494"
"89"	"48"	"69"	"38"	"32"	"79"	"7"	"2"	"6"	"233"
"90"	"49"	"374"	"16"	"30"	"111"	"5"	"5"	"21"	"562"
"91"	"50"	"239"	"7"	"17"	"4"	"39"	"3"	"2"	"311"
"92"	"51"	"352"	"12"	"28"	"6"	"11"	"3"	"12"	"424"
"93"	"52"	"369"	"11"	"42"	"41"	"6"	"5"	"28"	"502"
"94"	"53"	"124"	"102"	"23"	"59"	"4"	"2"	"10"	"324"
"95"	"54"	"177"	"8"	"91"	"103"	"10"	"6"	"22"	"417"
"96"	";ksx"	"2707"	"364"	"1603"	"571"	"185"	"75"	"233"	"5738"
"97"	"LFkku &"	""	""	""	""	""	""	""	""
"98"	""	""	""	""	""	""	""	""	""
"99"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"100"	"izi=&20"	""	""	""	""	""	""	""	""
"101"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"102"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"103"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"104"	""	""	""	""	""	""	""	"5th round"	""
"105"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"107"	"55"	"144"	"10"	"97"	"34"	"2"	"2"	"4"	"293"
"108"	"56"	"99"	"6"	"146"	"204"	"14"	"11"	"17"	"497"
"109"	"57"	"161"	"18"	"83"	"117"	"7"	"5"	"14"	"405"
"110"	"58"	"34"	"10"	"72"	"214"	"13"	"12"	"10"	"365"
"111"	"59"	"104"	"19"	"210"	"13"	"6"	"1"	"3"	"356"
"112"	"60"	"178"	"15"	"148"	"83"	"8"	"7"	"11"	"450"
"113"	"61"	"87"	"16"	"333"	"16"	"9"	"1"	"10"	"472"
"114"	"62"	"132"	"28"	"191"	"108"	"10"	"7"	"18"	"494"
"115"	"63"	"196"	"16"	"177"	"7"	"2"	"5"	"6"	"409"
"116"	"63A"	"66"	"12"	"75"	"3"	"4"	"1"	"6"	"167"
"117"	"64"	"80"	"7"	"213"	"20"	"4"	"0"	"10"	"334"
"118"	"65"	"219"	"10"	"179"	"21"	"2"	"4"	"2"	"437"
"119"	"66"	"226"	"28"	"146"	"41"	"12"	"4"	"8"	"465"
"120"	"67"	"284"	"9"	"139"	"58"	"5"	"8"	"12"	"515"
"121"	";ksx"	"2010"	"204"	"2209"	"939"	"98"	"68"	"131"	"5659"
"122"	"LFkku &"	""	""	""	""	""	""	""	""
"123"	""	""	""	""	""	""	""	""	""
"124"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"125"	"izi=&20"	""	""	""	""	""	""	""	""
"126"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"127"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"128"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"129"	""	""	""	""	""	""	""	"6th round"	""
"130"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"132"	"68"	"158"	"18"	"306"	"50"	"16"	"5"	"10"	"563"
"133"	"69"	"94"	"9"	"227"	"12"	"6"	"2"	"11"	"361"
"134"	"69A"	"24"	"10"	"169"	"14"	"12"	"3"	"5"	"237"
"135"	"70"	"242"	"18"	"191"	"72"	"10"	"7"	"21"	"561"
"136"	"71"	"76"	"5"	"201"	"40"	"5"	"1"	"3"	"331"
"137"	"72"	"131"	"13"	"355"	"114"	"12"	"6"	"8"	"639"
"138"	"73"	"187"	"19"	"197"	"35"	"6"	"8"	"11"	"463"
"139"	"74"	"133"	"30"	"131"	"118"	"10"	"9"	"11"	"442"
"140"	"75"	"239"	"6"	"150"	"29"	"8"	"8"	"7"	"447"
"141"	"75A"	"120"	"7"	"63"	"38"	"1"	"1"	"0"	"230"
"142"	"76"	"220"	"22"	"163"	"50"	"15"	"10"	"16"	"496"
"143"	"77"	"243"	"13"	"101"	"6"	"4"	"4"	"6"	"377"
"144"	"78"	"155"	"21"	"27"	"102"	"5"	"2"	"2"	"314"
"145"	"79"	"176"	"16"	"151"	"36"	"4"	"4"	"5"	"392"
"146"	";ksx"	"2198"	"207"	"2432"	"716"	"114"	"70"	"116"	"5853"
"147"	"LFkku &"	""	""	""	""	""	""	""	""
"148"	""	""	""	""	""	""	""	""	""
"149"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"150"	"izi=&20"	""	""	""	""	""	""	""	""
"151"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"152"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"153"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"154"	""	""	""	""	""	""	""	"7th round"	""
"155"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"157"	"80"	"146"	"10"	"63"	"210"	"5"	"4"	"8"	"446"
"158"	"81"	"50"	"20"	"111"	"204"	"13"	"5"	"10"	"413"
"159"	"82"	"99"	"16"	"24"	"99"	"3"	"2"	"10"	"253"
"160"	"83"	"150"	"30"	"83"	"58"	"7"	"4"	"4"	"336"
"161"	"84"	"227"	"6"	"61"	"29"	"7"	"2"	"22"	"354"
"162"	"85"	"82"	"32"	"198"	"152"	"11"	"1"	"14"	"490"
"163"	"86"	"59"	"25"	"217"	"193"	"14"	"8"	"9"	"525"
"164"	"87"	"55"	"10"	"133"	"177"	"3"	"16"	"7"	"401"
"165"	"88"	"15"	"7"	"228"	"33"	"15"	"7"	"29"	"334"
"166"	"89"	"101"	"12"	"71"	"214"	"6"	"6"	"15"	"425"
"167"	"90"	"87"	"19"	"295"	"40"	"6"	"4"	"4"	"455"
"168"	"91"	"197"	"10"	"69"	"68"	"10"	"7"	"18"	"379"
"169"	"92"	"141"	"44"	"62"	"236"	"23"	"15"	"22"	"543"
"170"	"93"	"28"	"6"	"240"	"23"	"16"	"10"	"30"	"353"
"171"	";ksx"	"1437"	"247"	"1855"	"1736"	"139"	"91"	"202"	"5707"
"172"	"LFkku &"	""	""	""	""	""	""	""	""
