"X124...RUPOULI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	""	""	""	""	""	""	""	""	""	"FINAL SHEET"	""	""
"2"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"3"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"4"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"6"	"1"	"38"	"302"	"197"	"13"	"8"	"4"	"6"	"11"	"579"	""	"579"
"7"	"2"	"15"	"70"	"393"	"6"	"9"	"5"	"2"	"15"	"515"	""	"515"
"8"	"3"	"42"	"332"	"92"	"8"	"2"	"2"	"3"	"9"	"490"	""	"490"
"9"	"4"	"55"	"193"	"198"	"17"	"9"	"2"	"15"	"13"	"502"	""	"502"
"10"	"5"	"14"	"107"	"175"	"6"	"8"	"4"	"6"	"6"	"326"	""	"326"
"11"	"6"	"11"	"28"	"187"	"9"	"11"	"5"	"2"	"11"	"264"	""	"264"
"12"	"7"	"6"	"6"	"424"	"12"	"3"	"9"	"3"	"14"	"477"	""	"477"
"13"	"8"	"59"	"270"	"131"	"7"	"13"	"13"	"13"	"23"	"529"	""	"529"
"14"	"9"	"41"	"60"	"257"	"6"	"6"	"10"	"7"	"27"	"414"	""	"414"
"15"	"10"	"230"	"209"	"46"	"7"	"4"	"7"	"8"	"20"	"531"	""	"531"
"16"	"11"	"29"	"311"	"116"	"4"	"3"	"4"	"10"	"9"	"486"	""	"486"
"17"	"12"	"85"	"279"	"20"	"1"	"1"	"5"	"4"	"8"	"403"	""	"403"
"18"	"13"	"34"	"82"	"306"	"12"	"10"	"6"	"9"	"15"	"474"	""	"474"
"19"	"14"	"104"	"181"	"149"	"13"	"18"	"7"	"9"	"28"	"509"	""	"509"
"20"	"15"	"283"	"294"	"22"	"1"	"7"	"13"	"16"	"9"	"645"	""	"645"
"21"	"16"	"321"	"74"	"11"	"2"	"0"	"5"	"2"	"4"	"419"	""	"419"
"22"	"17"	"0"	"3"	"640"	"7"	"1"	"1"	"1"	"4"	"657"	""	"657"
"23"	"18"	"6"	"6"	"748"	"4"	"3"	"2"	"2"	"5"	"776"	""	"776"
"24"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"25"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"26"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"27"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"28"	"19"	"15"	"470"	"9"	"1"	"2"	"1"	"3"	"3"	"504"	""	"504"
"29"	"19A"	"19"	"370"	"12"	"1"	"1"	"2"	"2"	"4"	"411"	""	"411"
"30"	"20"	"43"	"282"	"88"	"7"	"8"	"7"	"5"	"14"	"454"	""	"454"
"31"	"21"	"70"	"168"	"19"	"2"	"3"	"8"	"17"	"10"	"297"	""	"297"
"32"	"22"	"255"	"12"	"16"	"3"	"3"	"5"	"2"	"5"	"301"	""	"301"
"33"	"23"	"52"	"582"	"46"	"11"	"5"	"7"	"7"	"6"	"716"	""	"716"
"34"	"24"	"539"	"80"	"13"	"0"	"1"	"3"	"1"	"7"	"644"	""	"644"
"35"	"25"	"145"	"179"	"255"	"9"	"7"	"5"	"3"	"8"	"611"	""	"611"
"36"	"26"	"213"	"23"	"3"	"3"	"3"	"3"	"1"	"3"	"252"	""	"252"
"37"	"27"	"234"	"77"	"71"	"7"	"5"	"4"	"0"	"10"	"408"	""	"408"
"38"	"28"	"256"	"130"	"11"	"3"	"0"	"6"	"3"	"15"	"424"	""	"424"
"39"	"29"	"548"	"30"	"2"	"2"	"2"	"4"	"2"	"4"	"594"	""	"594"
"40"	"30"	"682"	"11"	"9"	"5"	"5"	"8"	"9"	"12"	"741"	""	"741"
"41"	"31"	"126"	"269"	"20"	"5"	"1"	"5"	"4"	"12"	"442"	""	"442"
"42"	"32"	"177"	"307"	"111"	"14"	"6"	"9"	"8"	"15"	"647"	""	"647"
"43"	"33"	"149"	"301"	"111"	"8"	"11"	"8"	"6"	"11"	"605"	""	"605"
"44"	"34"	"353"	"104"	"212"	"11"	"3"	"13"	"7"	"14"	"717"	""	"717"
"45"	"35"	"313"	"241"	"138"	"6"	"7"	"7"	"9"	"11"	"732"	""	"732"
"46"	"36"	"64"	"305"	"42"	"9"	"8"	"1"	"4"	"6"	"439"	""	"439"
"47"	"36A"	"108"	"125"	"141"	"6"	"4"	"4"	"2"	"8"	"398"	""	"398"
"48"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"49"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"50"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"51"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"52"	"37"	"273"	"179"	"167"	"8"	"6"	"12"	"3"	"9"	"657"	""	"657"
"53"	"38"	"220"	"237"	"158"	"9"	"11"	"10"	"15"	"39"	"699"	""	"699"
"54"	"39"	"488"	"66"	"112"	"12"	"14"	"23"	"10"	"34"	"759"	""	"759"
"55"	"40"	"30"	"342"	"29"	"3"	"3"	"0"	"4"	"9"	"420"	""	"420"
"56"	"41"	"306"	"60"	"55"	"2"	"3"	"4"	"2"	"17"	"449"	""	"449"
"57"	"41A"	"266"	"20"	"41"	"3"	"2"	"3"	"1"	"12"	"348"	""	"348"
"58"	"42"	"164"	"86"	"256"	"19"	"13"	"15"	"15"	"34"	"602"	""	"602"
"59"	"43"	"99"	"79"	"276"	"14"	"7"	"8"	"2"	"20"	"505"	""	"505"
"60"	"44"	"53"	"209"	"119"	"2"	"12"	"5"	"7"	"15"	"422"	""	"422"
"61"	"44A"	"34"	"95"	"147"	"9"	"4"	"5"	"6"	"15"	"315"	""	"315"
"62"	"45"	"669"	"50"	"52"	"8"	"6"	"17"	"5"	"31"	"838"	""	"838"
"63"	"46"	"614"	"114"	"32"	"1"	"6"	"16"	"7"	"13"	"803"	""	"803"
"64"	"47"	"88"	"115"	"157"	"13"	"13"	"1"	"9"	"20"	"416"	""	"416"
"65"	"48"	"186"	"305"	"143"	"12"	"9"	"12"	"10"	"21"	"698"	""	"698"
"66"	"49"	"194"	"105"	"207"	"12"	"11"	"17"	"5"	"21"	"572"	""	"572"
"67"	"50"	"194"	"29"	"154"	"5"	"5"	"7"	"6"	"7"	"407"	""	"407"
"68"	"50A"	"78"	"168"	"63"	"4"	"2"	"9"	"2"	"15"	"341"	""	"341"
"69"	"51"	"104"	"115"	"259"	"11"	"10"	"14"	"9"	"14"	"536"	""	"536"
"70"	"52"	"168"	"190"	"210"	"11"	"11"	"9"	"10"	"28"	"637"	""	"637"
"71"	"53"	"88"	"102"	"347"	"13"	"9"	"8"	"3"	"18"	"588"	""	"588"
"72"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"73"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"74"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"75"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"76"	"54"	"89"	"82"	"320"	"18"	"14"	"7"	"15"	"26"	"571"	""	"571"
"77"	"55"	"199"	"53"	"241"	"13"	"19"	"14"	"14"	"39"	"592"	""	"592"
"78"	"56"	"19"	"150"	"219"	"16"	"10"	"6"	"2"	"13"	"435"	""	"435"
"79"	"57"	"39"	"118"	"249"	"14"	"9"	"1"	"4"	"25"	"459"	""	"459"
"80"	"58"	"236"	"72"	"136"	"22"	"17"	"34"	"23"	"60"	"600"	""	"600"
"81"	"59"	"311"	"74"	"109"	"15"	"12"	"18"	"15"	"40"	"594"	""	"594"
"82"	"60"	"186"	"108"	"143"	"12"	"9"	"11"	"12"	"20"	"501"	""	"501"
"83"	"61"	"49"	"148"	"78"	"10"	"14"	"5"	"6"	"18"	"328"	""	"328"
"84"	"62"	"77"	"273"	"144"	"20"	"5"	"9"	"15"	"36"	"579"	""	"579"
"85"	"63"	"33"	"194"	"160"	"15"	"16"	"4"	"4"	"32"	"458"	""	"458"
"86"	"64"	"5"	"4"	"111"	"4"	"4"	"0"	"0"	"0"	"128"	""	"128"
"87"	"65"	"52"	"482"	"66"	"9"	"13"	"7"	"6"	"15"	"650"	""	"650"
"88"	"66"	"57"	"232"	"224"	"26"	"15"	"22"	"19"	"41"	"636"	""	"636"
