"X.To.be.record.for.recording.the.result.of.voting.at.notified.Polling.Station."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"2"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"3"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"4"	"1"	"34"	"138"	"95"	"13"	"10"	"-290"	""	"290"	""
"5"	"2"	"29"	"47"	"75"	"22"	"14"	"-187"	""	"187"	""
"6"	"3"	"15"	"12"	"84"	"0"	"1"	"-112"	""	"112"	""
"7"	"4"	"69"	"242"	"170"	"14"	"17"	"-512"	""	"512"	""
"8"	"5"	"11"	"122"	"193"	"20"	"10"	"-356"	""	"356"	""
"9"	"6"	"80"	"139"	"67"	"23"	"9"	"-318"	""	"318"	""
"10"	"7"	"47"	"214"	"64"	"4"	"2"	"-331"	""	"331"	""
"11"	"8"	"3"	"112"	"1"	"0"	"0"	"-116"	""	"116"	""
"12"	"9"	"100"	"49"	"176"	"8"	"7"	"-340"	""	"340"	""
"13"	"10"	"11"	"211"	"53"	"12"	"3"	"-290"	""	"290"	""
"14"	"11"	"29"	"140"	"97"	"19"	"6"	"-291"	""	"291"	""
"15"	"12"	"15"	"235"	"68"	"4"	"9"	"-331"	""	"331"	""
"16"	"13"	"33"	"121"	"68"	"1"	"3"	"-226"	""	"226"	""
"17"	"14"	"60"	"582"	"47"	"14"	"8"	"-711"	""	"711"	""
"18"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"19"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"20"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"21"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"22"	"15"	"18"	"330"	"92"	"8"	"3"	"-451"	""	"451"	""
