"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""
"2"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly Constituency : - 86 Ghanshyampur"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"8"	"1"	"1"	"188"	"75"	"16"	"160"	"16"	"19"	"474"	"-"	"474"	""
"9"	"2"	"2"	"88"	"98"	"11"	"133"	"20"	"17"	"367"	"-"	"367"	""
"10"	"3"	"3"	"13"	"44"	"7"	"150"	"11"	"10"	"235"	"-"	"235"	""
"11"	"4"	"3A"	"44"	"29"	"7"	"270"	"14"	"12"	"376"	"-"	"376"	""
"12"	"5"	"4"	"43"	"32"	"6"	"277"	"7"	"15"	"380"	"-"	"380"	""
"13"	"6"	"5"	"92"	"88"	"6"	"158"	"7"	"20"	"371"	"-"	"371"	""
"14"	"7"	"6"	"188"	"74"	"13"	"38"	"6"	"15"	"334"	"-"	"334"	""
"15"	"8"	"7"	"156"	"212"	"33"	"175"	"27"	"53"	"656"	"-"	"656"	""
"16"	"9"	"8"	"44"	"38"	"26"	"314"	"39"	"46"	"507"	"-"	"507"	""
"17"	"10"	"9"	"174"	"68"	"10"	"247"	"19"	"73"	"591"	"-"	"591"	""
"18"	"11"	"10"	"44"	"133"	"25"	"187"	"25"	"34"	"448"	"-"	"448"	""
"19"	"12"	"11"	"108"	"130"	"13"	"14"	"18"	"39"	"322"	"-"	"322"	""
"20"	"13"	"12"	"285"	"168"	"15"	"99"	"14"	"16"	"597"	"-"	"597"	""
"21"	"14"	"13"	"160"	"124"	"12"	"36"	"6"	"14"	"352"	"-"	"352"	""
"22"	"15"	"14"	"155"	"169"	"9"	"63"	"3"	"11"	"410"	"-"	"410"	""
"23"	"16"	"15"	"151"	"195"	"8"	"14"	"3"	"27"	"398"	"-"	"398"	""
"24"	"17"	"16"	"173"	"275"	"23"	"32"	"14"	"34"	"551"	"-"	"551"	""
"25"	"18"	"17"	"82"	"79"	"17"	"244"	"20"	"23"	"465"	"-"	"465"	""
"26"	"19"	"18"	"57"	"95"	"10"	"288"	"15"	"15"	"480"	"-"	"480"	""
"27"	"20"	"19"	"249"	"190"	"19"	"146"	"14"	"18"	"636"	"-"	"636"	""
"28"	"21"	"20"	"117"	"113"	"17"	"217"	"14"	"16"	"494"	"-"	"494"	""
"29"	"22"	"21"	"114"	"60"	"21"	"279"	"22"	"23"	"519"	"-"	"519"	""
"30"	"23"	"22"	"336"	"195"	"10"	"5"	"7"	"7"	"560"	"-"	"560"	""
"31"	"24"	"23"	"371"	"131"	"15"	"15"	"4"	"10"	"546"	"-"	"546"	""
"32"	"25"	"24"	"375"	"179"	"2"	"17"	"5"	"12"	"590"	"-"	"590"	""
"33"	"26"	"24A"	"110"	"17"	"0"	"11"	"4"	"13"	"155"	"-"	"155"	""
"34"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"35"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"37"	"27"	"25"	"111"	"47"	"5"	"173"	"1"	"0"	"337"	"-"	"337"	""
"38"	"28"	"25A"	"63"	"44"	"7"	"181"	"8"	"12"	"315"	"-"	"315"	""
"39"	"29"	"26"	"203"	"42"	"6"	"48"	"9"	"10"	"318"	"-"	"318"	""
"40"	"30"	"26A"	"289"	"97"	"6"	"43"	"11"	"23"	"469"	"-"	"469"	""
"41"	"31"	"27"	"97"	"125"	"16"	"119"	"12"	"22"	"391"	"-"	"391"	""
"42"	"32"	"28"	"175"	"99"	"23"	"82"	"14"	"28"	"421"	"-"	"421"	""
"43"	"33"	"29"	"118"	"327"	"34"	"45"	"6"	"17"	"547"	"-"	"547"	""
"44"	"34"	"30"	"421"	"216"	"1"	"4"	"4"	"5"	"651"	"-"	"651"	""
"45"	"35"	"31"	"47"	"215"	"33"	"109"	"22"	"33"	"459"	"-"	"459"	""
