"X120.....e.ksiqjk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ernku dsUnz la[;k"	"MkW0 v'kksd dqekj"	"fct; dqekj"	"e.khUnz dqekj eaMy"	"lat; dqekj
;kno"	"vuhy dqekj"	"pUnz'ks[kj"	"lQhd fe;kW"	"lhrkjke lkg"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"3"	"1"	"107"	"41"	"36"	"7"	"6"	"108"	"7"	"8"	"320"	"0"	"320"	"0"
"4"	"2"	"284"	"19"	"9"	"1"	"3"	"70"	"6"	"9"	"401"	"0"	"401"	"0"
"5"	"3"	"145"	"29"	"80"	"3"	"7"	"204"	"18"	"27"	"513"	"0"	"513"	"0"
"6"	"4"	"217"	"37"	"39"	"8"	"5"	"116"	"1"	"4"	"427"	"0"	"427"	"0"
"7"	"5"	"113"	"13"	"141"	"2"	"0"	"26"	"1"	"7"	"303"	"0"	"303"	"0"
"8"	"5 A"	"22"	"33"	"206"	"4"	"5"	"13"	"8"	"6"	"297"	"0"	"297"	"0"
"9"	"6"	"80"	"48"	"71"	"6"	"6"	"38"	"7"	"9"	"265"	"0"	"265"	"0"
"10"	"7"	"147"	"20"	"167"	"15"	"4"	"28"	"10"	"5"	"396"	"0"	"396"	"0"
"11"	"8"	"74"	"25"	"301"	"14"	"5"	"36"	"7"	"6"	"468"	"0"	"468"	"0"
"12"	"8 A"	"61"	"10"	"126"	"5"	"2"	"25"	"2"	"6"	"237"	"0"	"237"	"0"
"13"	"9"	"78"	"20"	"37"	"4"	"4"	"45"	"4"	"4"	"196"	"0"	"196"	"0"
"14"	"10"	"219"	"152"	"80"	"16"	"17"	"70"	"8"	"17"	"579"	"0"	"579"	"0"
"15"	"11"	"139"	"138"	"61"	"3"	"3"	"36"	"4"	"3"	"387"	"0"	"387"	"0"
"16"	"12"	"118"	"123"	"77"	"13"	"6"	"137"	"16"	"19"	"509"	"0"	"509"	"0"
"17"	"ROUND 1"	"1804"	"708"	"1431"	"101"	"73"	"952"	"99"	"130"	"5298"	"0"	"5298"	"0"
"18"	"13"	"330"	"32"	"134"	"8"	"3"	"35"	"11"	"21"	"574"	"0"	"574"	"0"
"19"	"14"	"148"	"63"	"109"	"4"	"15"	"51"	"17"	"31"	"438"	"0"	"438"	"0"
"20"	"15"	"178"	"94"	"32"	"4"	"11"	"41"	"2"	"13"	"375"	"0"	"375"	"0"
"21"	"16"	"23"	"7"	"616"	"19"	"4"	"12"	"2"	"10"	"693"	"0"	"693"	"0"
"22"	"17"	"78"	"18"	"190"	"16"	"1"	"23"	"12"	"1"	"339"	"0"	"339"	"0"
"23"	"17 A"	"34"	"9"	"203"	"14"	"0"	"14"	"7"	"3"	"284"	"0"	"284"	"0"
"24"	"18"	"116"	"41"	"117"	"1"	"5"	"17"	"3"	"9"	"309"	"0"	"309"	"0"
"25"	"18 A"	"152"	"14"	"82"	"5"	"2"	"32"	"2"	"11"	"300"	"0"	"300"	"0"
"26"	"19"	"54"	"95"	"381"	"9"	"5"	"11"	"1"	"8"	"564"	"0"	"564"	"0"
"27"	"20"	"105"	"66"	"215"	"32"	"15"	"97"	"10"	"6"	"546"	"0"	"546"	"0"
"28"	"21"	"122"	"21"	"52"	"8"	"3"	"34"	"2"	"6"	"248"	"0"	"248"	"0"
"29"	"21 A"	"49"	"28"	"80"	"5"	"4"	"137"	"2"	"9"	"314"	"0"	"314"	"0"
"30"	"22"	"97"	"76"	"108"	"45"	"7"	"9"	"5"	"0"	"347"	"0"	"347"	"0"
"31"	"23"	"42"	"249"	"68"	"34"	"10"	"36"	"3"	"4"	"446"	"0"	"446"	"0"
"32"	"ROUND 2"	"1528"	"813"	"2387"	"204"	"85"	"549"	"79"	"132"	"5777"	"0"	"5777"	"0"
"33"	"24"	"113"	"76"	"134"	"11"	"14"	"82"	"11"	"7"	"448"	"0"	"448"	"0"
"34"	"25"	"174"	"59"	"93"	"6"	"4"	"22"	"2"	"2"	"362"	"0"	"362"	"0"
"35"	"26"	"193"	"75"	"78"	"10"	"9"	"30"	"11"	"9"	"415"	"0"	"415"	"0"
"36"	"27"	"175"	"24"	"108"	"11"	"6"	"63"	"8"	"11"	"406"	"0"	"406"	"0"
"37"	"28"	"163"	"61"	"34"	"17"	"8"	"116"	"9"	"15"	"423"	"0"	"423"	"0"
"38"	"29"	"218"	"109"	"64"	"4"	"7"	"72"	"6"	"26"	"506"	"0"	"506"	"0"
"39"	"30"	"103"	"64"	"69"	"11"	"8"	"102"	"7"	"16"	"380"	"0"	"380"	"0"
"40"	"31"	"87"	"33"	"61"	"3"	"1"	"242"	"12"	"10"	"449"	"0"	"449"	"0"
"41"	"32"	"111"	"29"	"30"	"4"	"4"	"98"	"11"	"20"	"307"	"0"	"307"	"0"
"42"	"33"	"99"	"94"	"95"	"12"	"9"	"13"	"7"	"6"	"335"	"0"	"335"	"0"
"43"	"34"	"128"	"28"	"190"	"7"	"3"	"27"	"6"	"11"	"400"	"0"	"400"	"0"
"44"	"35"	"159"	"23"	"51"	"10"	"2"	"36"	"1"	"2"	"284"	"0"	"284"	"0"
"45"	"36"	"71"	"22"	"178"	"9"	"4"	"29"	"8"	"7"	"328"	"0"	"328"	"0"
"46"	"37"	"117"	"83"	"32"	"6"	"9"	"55"	"3"	"10"	"315"	"0"	"315"	"0"
"47"	"ROUND 3"	"1911"	"780"	"1217"	"121"	"88"	"987"	"102"	"152"	"5358"	"0"	"5358"	"0"
"48"	"38"	"129"	"44"	"85"	"11"	"5"	"37"	"7"	"4"	"322"	"0"	"322"	"0"
"49"	"38 A"	"203"	"13"	"24"	"7"	"0"	"34"	"3"	"8"	"292"	"0"	"292"	"0"
"50"	"39"	"52"	"10"	"17"	"9"	"18"	"418"	"17"	"21"	"562"	"0"	"562"	"0"
"51"	"40"	"72"	"10"	"73"	"9"	"5"	"219"	"8"	"9"	"405"	"0"	"405"	"0"
"52"	"41"	"119"	"12"	"101"	"5"	"3"	"86"	"13"	"6"	"345"	"0"	"345"	"0"
"53"	"42"	"49"	"15"	"33"	"5"	"12"	"334"	"12"	"13"	"473"	"0"	"473"	"0"
"54"	"43"	"15"	"14"	"222"	"6"	"3"	"47"	"8"	"12"	"327"	"0"	"327"	"0"
"55"	"43 A"	"9"	"4"	"178"	"4"	"1"	"8"	"1"	"4"	"209"	"0"	"209"	"0"
"56"	"120  &  e/ksiqjk"	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"ernku dsUnz la[;k"	"MkW0 v'kksd dqekj"	"fct; dqekj"	"e.khUnz dqekj eaMy"	"lat; dqekj
;kno"	"vuhy dqekj"	"pUnz'ks[kj"	"lQhd fe;kW"	"lhrkjke lkg"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"59"	"44"	"116"	"33"	"92"	"8"	"7"	"109"	"4"	"6"	"375"	"0"	"375"	"0"
"60"	"45"	"261"	"67"	"148"	"6"	"7"	"68"	"4"	"9"	"570"	"0"	"570"	"0"
"61"	"46"	"98"	"26"	"155"	"7"	"4"	"14"	"6"	"13"	"323"	"0"	"323"	"0"
"62"	"46 A"	"40"	"7"	"122"	"3"	"2"	"18"	"1"	"2"	"195"	"0"	"195"	"0"
"63"	"47"	"26"	"37"	"273"	"7"	"2"	"130"	"5"	"6"	"486"	"0"	"486"	"0"
"64"	"48"	"29"	"15"	"319"	"7"	"4"	"83"	"13"	"4"	"474"	"0"	"474"	"0"
"65"	"ROUND 4"	"1218"	"307"	"1842"	"94"	"73"	"1605"	"102"	"117"	"5358"	"0"	"5358"	"0"
"66"	"49"	"21"	"85"	"439"	"9"	"12"	"62"	"13"	"20"	"661"	"0"	"661"	"0"
"67"	"50"	"104"	"20"	"25"	"11"	"0"	"180"	"7"	"13"	"360"	"0"	"360"	"0"
"68"	"51"	"73"	"5"	"10"	"2"	"9"	"189"	"7"	"10"	"305"	"0"	"305"	"0"
"69"	"52"	"76"	"20"	"149"	"11"	"6"	"209"	"8"	"12"	"491"	"0"	"491"	"0"
"70"	"52 A"	"115"	"3"	"96"	"10"	"2"	"114"	"9"	"22"	"371"	"0"	"371"	"0"
"71"	"53"	"60"	"13"	"210"	"24"	"3"	"88"	"9"	"14"	"421"	"0"	"421"	"0"
"72"	"54"	"123"	"21"	"49"	"63"	"5"	"231"	"15"	"26"	"533"	"0"	"533"	"0"
"73"	"55"	"63"	"9"	"223"	"12"	"12"	"126"	"7"	"18"	"470"	"0"	"470"	"0"
"74"	"56"	"269"	"18"	"38"	"17"	"4"	"107"	"16"	"24"	"493"	"0"	"493"	"0"
"75"	"57"	"135"	"26"	"136"	"5"	"6"	"76"	"8"	"10"	"402"	"0"	"402"	"0"
"76"	"58"	"118"	"24"	"151"	"3"	"4"	"35"	"8"	"4"	"347"	"0"	"347"	"0"
"77"	"59"	"91"	"23"	"95"	"4"	"0"	"25"	"9"	"9"	"256"	"0"	"256"	"0"
"78"	"60"	"120"	"6"	"24"	"2"	"0"	"22"	"1"	"3"	"178"	"0"	"178"	"0"
"79"	"61"	"92"	"59"	"139"	"1"	"1"	"142"	"4"	"8"	"446"	"0"	"446"	"0"
"80"	"ROUND 5"	"1460"	"332"	"1784"	"174"	"64"	"1606"	"121"	"193"	"5734"	"0"	"5734"	"0"
"81"	"62"	"255"	"57"	"39"	"5"	"5"	"171"	"4"	"15"	"551"	"0"	"551"	"0"
"82"	"63"	"113"	"37"	"92"	"9"	"1"	"189"	"0"	"7"	"448"	"0"	"448"	"0"
"83"	"64"	"127"	"23"	"96"	"5"	"8"	"89"	"7"	"21"	"376"	"0"	"376"	"0"
"84"	"65"	"125"	"15"	"124"	"14"	"6"	"109"	"10"	"10"	"413"	"0"	"413"	"0"
"85"	"66"	"64"	"9"	"58"	"7"	"5"	"164"	"11"	"13"	"331"	"0"	"331"	"0"
"86"	"66 A"	"55"	"43"	"43"	"2"	"5"	"184"	"3"	"11"	"346"	"0"	"346"	"0"
"87"	"67"	"160"	"30"	"30"	"9"	"0"	"43"	"2"	"4"	"278"	"0"	"278"	"0"
"88"	"68"	"136"	"21"	"79"	"13"	"1"	"42"	"7"	"6"	"305"	"0"	"305"	"0"
"89"	"69"	"123"	"30"	"74"	"4"	"2"	"57"	"3"	"6"	"299"	"0"	"299"	"0"
"90"	"70"	"162"	"61"	"114"	"16"	"9"	"94"	"14"	"24"	"494"	"0"	"494"	"0"
"91"	"71"	"30"	"33"	"117"	"8"	"6"	"145"	"10"	"19"	"368"	"0"	"368"	"0"
"92"	"71 A"	"173"	"25"	"19"	"2"	"4"	"12"	"3"	"19"	"257"	"0"	"257"	"0"
"93"	"72"	"83"	"147"	"147"	"4"	"6"	"13"	"7"	"11"	"418"	"0"	"418"	"0"
"94"	"73"	"171"	"85"	"186"	"2"	"9"	"11"	"5"	"6"	"475"	"0"	"475"	"0"
"95"	"ROUND 6"	"1777"	"616"	"1218"	"100"	"67"	"1323"	"86"	"172"	"5359"	"0"	"5359"	"0"
"96"	"74"	"54"	"58"	"189"	"13"	"5"	"8"	"5"	"7"	"339"	"0"	"339"	"0"
"97"	"75"	"62"	"41"	"161"	"6"	"1"	"4"	"2"	"3"	"280"	"0"	"280"	"0"
"98"	"75 A"	"74"	"53"	"93"	"3"	"1"	"21"	"1"	"5"	"251"	"0"	"251"	"0"
"99"	"76"	"42"	"47"	"288"	"6"	"2"	"11"	"2"	"11"	"409"	"0"	"409"	"0"
"100"	"77"	"33"	"71"	"163"	"9"	"5"	"1"	"7"	"14"	"303"	"0"	"303"	"0"
"101"	"77 A"	"41"	"60"	"197"	"4"	"7"	"5"	"5"	"7"	"326"	"0"	"326"	"0"
"102"	"78"	"190"	"119"	"20"	"4"	"8"	"8"	"9"	"13"	"371"	"0"	"371"	"0"
