"pÿ..1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"fu;e 59 , ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd, tkus grs  q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"4&xksikyxat  lalnh;  fo/kku  lHkk  {ks=  esa  lekfo\"V  23&ehjxat  fo/kku  lHkk  fuokZpu  {ks=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"5"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"6"	"1"	"63"	""	""	"162"	""	"9"	""	"161"	""	"4"	""	"0"	""	"5"	""	"1"	""	"2"	""	"1"	""	"2"	"21"	""	"1"	"432"	""	""	""	""	""	""	""	""
"7"	"1d"	"37"	""	""	"127"	""	"7"	""	"41"	""	"1"	""	"3"	""	"2"	""	"1"	""	"12"	""	"0"	""	"5"	"85"	""	"25"	"346"	""	""	""	""	""	""	""	""
"8"	"2"	"121"	""	""	"115"	""	"8"	""	"171"	""	"10"	""	"0"	""	"9"	""	"5"	""	"2"	""	"3"	""	"4"	"9"	""	"6"	"463"	""	""	""	""	""	""	""	""
"9"	"2d"	"43"	""	""	"39"	""	"3"	""	"34"	""	"5"	""	"1"	""	"1"	""	"6"	""	"0"	""	"1"	""	"1"	"12"	""	"3"	"149"	""	""	""	""	""	""	""	""
"10"	"3"	"56"	""	""	"15"	""	"7"	""	"180"	""	"1"	""	"1"	""	"7"	""	"5"	""	"1"	""	"6"	""	"3"	"5"	""	"4"	"291"	""	""	""	""	""	""	""	""
