"ernku.dsUnz.la..k"	"bUn.Hkq.k.k.flag"	"deys.ojh.egrks"	"fueZy.dqekj"	"js.kq.dqekjh"	"vKs..vkuUn"	"vkse.izdk.k.iVsy"	"egsUnz.uk0.Hkxr"	"izks0.jfoUnz.pj.k..kno"	"jkt.dqekj.jke"	"y.ku.gkWlnk"	"yfyrk.nos..h"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa..dh.la..k"	"X.ksx"	"fufonÙk.erksa..dh.la..k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	1	27	15	23	232	0	17	6	35	2	2	4	363	0	363	0
"3"	2	5	1	20	246	20	3	2	11	2	5	3	318	0	318	0
"4"	3	7	5	7	185	12	5	3	58	7	11	22	322	0	322	0
"5"	4	8	6	14	185	17	8	6	33	4	8	14	303	0	303	0
"6"	5	31	15	160	212	5	6	3	41	5	2	8	488	0	488	0
"7"	6	14	2	21	357	24	7	4	10	3	8	8	458	0	458	0
"8"	7	20	19	88	147	16	8	5	53	8	7	19	390	0	390	0
"9"	NA	24	17	47	53	16	8	8	123	9	7	21	333	0	333	0
"10"	8	25	11	62	104	19	5	7	137	11	11	20	412	0	412	0
"11"	NA	30	6	26	147	6	3	1	103	10	6	11	349	0	349	0
"12"	9	9	27	142	140	12	3	12	87	11	11	27	481	0	481	0
"13"	10	33	10	36	119	8	5	6	226	15	11	36	505	0	505	0
"14"	11	10	4	48	142	7	5	5	101	7	5	16	350	0	350	0
"15"	12	23	165	56	30	9	10	4	12	8	5	11	333	0	333	0
"16"	NA	266	303	750	2299	171	93	72	1030	102	99	220	5405	0	5405	0
"17"	13	6	37	78	203	12	4	5	40	2	10	15	412	0	412	0
"18"	14	12	5	35	187	20	4	2	68	10	6	16	365	0	365	0
"19"	15	18	34	26	173	14	7	4	23	6	5	8	318	0	318	0
"20"	16	6	2	80	55	6	5	1	61	1	1	1	219	0	219	0
"21"	NA	16	10	58	310	31	13	11	97	13	7	24	590	0	590	0
"22"	17	30	11	123	121	19	6	12	214	17	11	21	585	0	585	0
"23"	NA	8	5	44	103	20	2	4	87	4	8	16	301	0	301	0
"24"	18	20	4	19	141	12	7	12	175	12	12	39	453	0	453	0
"25"	19	108	5	13	262	13	7	4	19	8	4	17	460	0	460	0
"26"	20	29	5	8	267	19	2	3	26	2	0	5	366	0	366	0
"27"	21	32	15	42	204	24	12	11	115	15	11	20	501	0	501	0
"28"	22	12	8	20	320	31	11	5	16	4	6	4	437	0	437	0
"29"	23	8	2	14	164	17	9	5	53	2	6	14	294	0	294	0
"30"	24	5	3	9	332	10	8	0	9	2	4	11	393	0	393	0
"31"	NA	310	146	569	2842	248	97	79	1003	98	91	211	5694	0	5694	0
"32"	25	10	118	8	76	6	3	4	26	3	6	9	269	0	269	0
"33"	26	65	22	15	372	42	19	15	182	13	9	11	765	0	765	0
"34"	27	7	5	19	385	38	9	11	49	7	6	23	559	0	559	0
"35"	28	21	9	9	124	7	7	1	181	8	8	33	408	0	408	0
"36"	NA	6	1	1	260	8	2	4	14	0	3	3	302	0	302	0
"37"	29	25	5	5	231	9	3	8	21	7	3	13	330	0	330	0
