"vfUre.ifj.kke.Ik."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"217 fMgjh fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"5"	""	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"7"	"1"	"245"	"1"	"7"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"278"	"2"	"12"	""	""	"551"	""
"8"	"2"	"91"	"3"	"23"	"0"	"8"	"2"	"1"	"1"	"2"	"20"	"417"	"6"	"11"	""	""	"585"	""
"9"	"3"	"6"	"1"	"83"	"13"	"93"	"1"	"0"	"0"	"0"	"3"	"306"	"5"	"5"	""	""	"516"	""
"10"	"4"	"140"	"2"	"7"	"1"	"11"	"0"	"2"	"1"	"4"	"4"	"380"	"4"	"3"	""	""	"559"	""
"11"	"5"	"74"	"6"	"35"	"1"	"65"	"1"	"68"	"6"	"9"	"12"	"300"	"8"	"5"	""	""	"590"	""
"12"	"6"	"350"	"7"	"46"	"1"	"36"	"1"	"39"	"2"	"0"	"3"	"83"	"3"	"31"	""	""	"602"	""
"13"	"7"	"109"	"74"	"57"	"0"	"4"	"0"	"1"	"0"	"0"	"1"	"110"	"0"	"0"	""	""	"356"	""
"14"	"7d"	"18"	"3"	"67"	"1"	"1"	"2"	"135"	"4"	"0"	"2"	"98"	"1"	"10"	""	""	"342"	""
"15"	"8"	"92"	"35"	"16"	"23"	"40"	"1"	"0"	"1"	"1"	"3"	"481"	"6"	"10"	""	""	"709"	""
"16"	"9"	"184"	"24"	"29"	"1"	"1"	"1"	"0"	"1"	"3"	"3"	"71"	"7"	"25"	""	""	"350"	""
