"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                      224621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                            197-Barhara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"11"	"Serial No of Polling Station"	""	"JD(U)"	"RJD"	"CPI(ML)(L)"	"LJP"	"BSP"	"ABJS"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"12"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"PRIMARY SCHOOL PIPARPATTI (NORTH PART)"	"162"	"227"	"18"	"6"	"1"	"1"	"2"	"3"	"3"	"4"	"28"	"455"	"0"	"455"	"0"
"14"	"2"	"PRIMARY SCHOOL PIPARPATTI (SOUTH PART)"	"183"	"144"	"9"	"4"	"2"	"2"	"1"	"0"	"0"	"2"	"5"	"352"	"0"	"352"	"0"
"15"	"3"	"HIGH SCHOOL BALUAN (WEST PART)"	"312"	"186"	"51"	"2"	"1"	"3"	"2"	"4"	"1"	"5"	"7"	"574"	"0"	"574"	"0"
"16"	"4"	"HIGH SCHOOL BALUAN (EAST PART)"	"244"	"150"	"14"	"15"	"3"	"3"	"6"	"1"	"3"	"12"	"17"	"468"	"0"	"468"	"0"
"17"	"4A"	"HIGH SCHOOL BALUAN (MIDDLE PART)"	"167"	"102"	"4"	"3"	"3"	"2"	"1"	"0"	"0"	"1"	"17"	"300"	"0"	"300"	"0"
"18"	"5"	"SAMUDAYIK BHAWAN BALUAN"	"220"	"178"	"51"	"10"	"4"	"1"	"5"	"3"	"5"	"7"	"71"	"555"	"0"	"555"	"0"
"19"	"6"	"PRIMARY SCHOOL KEWATIA"	"98"	"233"	"4"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"10"	"356"	"0"	"356"	"0"
"20"	"7"	"MIDDLE SCHOOL SOHRA (WEST PART)"	"281"	"117"	"32"	"2"	"1"	"2"	"4"	"2"	"0"	"2"	"80"	"523"	"0"	"523"	"0"
"21"	"8"	"MIDDLE SCHOOL SOHRA (EAST PART)"	"244"	"157"	"23"	"3"	"4"	"3"	"7"	"3"	"6"	"8"	"95"	"553"	"0"	"553"	"0"
"22"	"9"	"PANCHAYAT BHAWAN SOHRA(E)"	"6"	"543"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"573"	"0"	"573"	"0"
"23"	"9A"	"PANCHAYAT BHAWAN SOHRA(W)"	"72"	"81"	"36"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"140"	"331"	"0"	"331"	"0"
"24"	"10"	"MIDDLE SCHOOL SOHRA (EAST PART)"	"142"	"230"	"57"	"5"	"2"	"1"	"5"	"2"	"1"	"16"	"35"	"496"	"0"	"496"	"0"
"25"	"11"	"PRIMARY SCHOOL NARGADA"	"204"	"61"	"35"	"5"	"0"	"1"	"4"	"1"	"0"	"0"	"5"	"316"	"0"	"316"	"0"
"26"	"12"	"PANCHAYAT BHAWAN NARGADA"	"244"	"141"	"12"	"1"	"0"	"1"	"5"	"1"	"5"	"7"	"15"	"432"	"0"	"432"	"0"
"27"	"13"	"PRIMARY SCHOOL MAJHAULI"	"99"	"229"	"14"	"5"	"2"	"2"	"2"	"1"	"3"	"14"	"17"	"388"	"0"	"388"	"0"
"28"	"14"	"PRIMARY SCHOOL NURPUR"	"76"	"189"	"9"	"4"	"1"	"1"	"6"	"4"	"4"	"5"	"89"	"388"	"0"	"388"	"0"
"29"	"15"	"PRIMARY SCHOOL JOKAHARI"	"328"	"58"	"8"	"4"	"4"	"0"	"1"	"0"	"1"	"1"	"5"	"410"	"0"	"410"	"0"
"30"	"16"	"MIDDLE SCHOOL KUDARIYA PARSHURAMPUR (EAST PART)"	"167"	"109"	"8"	"2"	"18"	"4"	"4"	"2"	"4"	"5"	"28"	"351"	"0"	"351"	"0"
"31"	"17"	"MIDDLE SCHOOL KUDARIYA PARSHURAMPUR (WEST PART)"	"172"	"90"	"2"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"275"	"0"	"275"	"0"
"32"	"18"	"PRIMARY SCHOOL JAGATPUR"	"148"	"313"	"6"	"7"	"3"	"0"	"1"	"1"	"5"	"1"	"43"	"528"	"0"	"528"	"0"
"33"	"19"	"MIDDLE SCHOOL PAKRI(E)"	"115"	"72"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"194"	"0"	"194"	"0"
"34"	"19A"	"MIDDLE SCHOOL PAKRI(W)"	"142"	"99"	"8"	"3"	"2"	"0"	"7"	"0"	"2"	"2"	"5"	"270"	"0"	"270"	"0"
"35"	"20"	"PRIMARY SCHOOL MILKI(E)"	"167"	"143"	"7"	"19"	"1"	"2"	"1"	"0"	"2"	"3"	"13"	"358"	"0"	"358"	"0"
