"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 159- CHAKAI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-   213566"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"6"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"7"	"1"	"36"	"208"	"72"	"8"	""	"1"	""	"6"	"3"	"5"	"11"	"11"	"361"	""	"&"	"361"	"&"
"8"	"2"	"51"	"136"	"178"	"6"	""	"15"	""	"8"	"4"	"11"	"5"	"16"	"430"	""	"&"	"430"	"&"
"9"	"3"	"115"	"124"	"149"	"17"	""	"11"	""	"8"	"2"	"13"	"13"	"21"	"473"	""	"&"	"473"	"&"
"10"	"4"	"60"	"153"	"162"	"17"	""	"5"	""	"5"	"1"	"4"	"10"	"5"	"422"	""	"&"	"422"	"&"
"11"	"5"	"116"	"119"	"163"	"15"	""	"29"	""	"11"	"6"	"11"	"10"	"37"	"517"	""	"&"	"517"	"&"
"12"	"6"	"100"	"57"	"49"	"17"	""	"129"	""	"14"	"9"	"24"	"9"	"47"	"455"	""	"&"	"455"	"&"
"13"	"7"	"38"	"167"	"82"	"9"	""	"76"	""	"5"	"4"	"4"	"2"	"3"	"390"	""	"&"	"390"	"&"
"14"	"8"	"29"	"29"	"8"	"0"	""	"80"	""	"3"	"0"	"0"	"0"	"1"	"150"	""	"&"	"150"	"&"
"15"	"9"	"0"	"321"	"45"	"0"	""	"3"	""	"0"	"0"	"0"	"0"	"0"	"369"	""	"&"	"369"	"&"
"16"	"10"	"81"	"39"	"53"	"11"	""	"71"	""	"13"	"7"	"9"	"4"	"38"	"326"	""	"&"	"326"	"&"
"17"	"11"	"7"	"125"	"117"	"17"	""	"9"	""	"0"	"2"	"5"	"6"	"17"	"305"	""	"&"	"305"	"&"
"18"	"12"	"77"	"18"	"6"	"4"	""	"457"	""	"13"	"4"	"10"	"1"	"2"	"592"	""	"&"	"592"	"&"
"19"	"13"	"199"	"82"	"10"	"17"	""	"312"	""	"20"	"9"	"17"	"5"	"20"	"691"	""	"&"	"691"	"&"
"20"	"14"	"118"	"93"	"45"	"6"	""	"137"	""	"9"	"4"	"13"	"6"	"25"	"456"	""	"&"	"456"	"&"
"21"	"14A"	"145"	"92"	"27"	"9"	""	"48"	""	"3"	"3"	"7"	"3"	"6"	"343"	""	""	"343"	""
"22"	"15"	"122"	"208"	"42"	"13"	""	"22"	""	"7"	"8"	"6"	"12"	"11"	"451"	""	"&"	"451"	"&"
"23"	"16"	"93"	"85"	"11"	"3"	""	"91"	""	"11"	"3"	"11"	"1"	"29"	"338"	""	"&"	"338"	"&"
"24"	"17"	"66"	"134"	"2"	"3"	""	"90"	""	"6"	"3"	"2"	"2"	"7"	"315"	""	"&"	"315"	"&"
"25"	"18"	"112"	"209"	"14"	"19"	""	"62"	""	"6"	"2"	"0"	"4"	"10"	"438"	""	"&"	"438"	"&"
"26"	"19"	"77"	"93"	"30"	"15"	""	"105"	""	"22"	"11"	"16"	"5"	"18"	"392"	""	"&"	"392"	"&"
"27"	"20"	"271"	"128"	"29"	"14"	""	"76"	""	"13"	"2"	"10"	"7"	"17"	"567"	""	"&"	"567"	"&"
"28"	"21"	"67"	"235"	"85"	"8"	""	"28"	""	"3"	"5"	"11"	"2"	"9"	"453"	""	"&"	"453"	"&"
"29"	"22"	"138"	"98"	"159"	"19"	""	"7"	""	"5"	"3"	"1"	"1"	"5"	"436"	""	"&"	"436"	"&"
"30"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"32"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"33"	"23"	"152"	"57"	"74"	"9"	""	"74"	""	"13"	"5"	"6"	"2"	"12"	"404"	""	"&"	"404"	"&"
"34"	"24"	"206"	"17"	"72"	"5"	""	"10"	""	"5"	"0"	"5"	"2"	"25"	"347"	""	"&"	"347"	"&"
"35"	"25"	"154"	"82"	"122"	"14"	""	"13"	""	"7"	"3"	"6"	"7"	"10"	"418"	""	"&"	"418"	"&"
"36"	"26"	"139"	"125"	"14"	"4"	""	"6"	""	"3"	"3"	"3"	"3"	"4"	"304"	""	"&"	"304"	"&"
"37"	"27"	"135"	"143"	"81"	"5"	""	"15"	""	"4"	"2"	"9"	"9"	"23"	"426"	""	"&"	"426"	"&"
"38"	"28"	"135"	"49"	"54"	"4"	""	"2"	""	"3"	"2"	"1"	"3"	"19"	"272"	""	"&"	"272"	"&"
"39"	"29"	"291"	"70"	"11"	"2"	""	"23"	""	"8"	"3"	"3"	"2"	"17"	"430"	""	"&"	"430"	"&"
