"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"8"	"1"	"86"	"1"	"130"	"255"	"7"	"18"	"19"	"9"	"45"	"570"	""	"570"	""
"9"	"2"	"51"	"5"	"66"	"184"	"12"	"8"	"8"	"10"	"21"	"365"	""	"365"	""
"10"	"3"	"10"	"6"	"128"	"192"	"6"	"7"	"8"	"3"	"7"	"367"	""	"367"	""
"11"	"4"	"90"	"19"	"287"	"84"	"12"	"13"	"19"	"18"	"23"	"565"	""	"565"	""
"12"	"5"	"22"	"3"	"78"	"215"	"11"	"4"	"8"	"15"	"33"	"389"	""	"389"	""
"13"	"6"	"87"	"17"	"326"	"88"	"12"	"14"	"10"	"10"	"9"	"573"	""	"573"	""
"14"	"7"	"160"	"12"	"198"	"129"	"6"	"9"	"18"	"18"	"15"	"565"	""	"565"	""
"15"	"8"	"61"	"12"	"123"	"158"	"15"	"4"	"12"	"3"	"9"	"397"	""	"397"	""
"16"	"9"	"30"	"14"	"374"	"40"	"15"	"8"	"32"	"8"	"14"	"535"	""	"535"	""
"17"	"9A"	"29"	"7"	"182"	"43"	"12"	"6"	"11"	"5"	"14"	"309"	""	"309"	""
"18"	"10"	"24"	"7"	"110"	"142"	"5"	"4"	"6"	"6"	"15"	"319"	""	"319"	""
"19"	"11"	"77"	"8"	"56"	"227"	"8"	"8"	"9"	"9"	"10"	"412"	""	"412"	""
"20"	"12"	"96"	"6"	"188"	"100"	"4"	"5"	"9"	"11"	"10"	"429"	""	"429"	""
"21"	"13"	"32"	"5"	"288"	"23"	"3"	"11"	"8"	"5"	"54"	"429"	""	"429"	""
"22"	"Current Round Total"	"855"	"122"	"2534"	"1880"	"128"	"119"	"177"	"130"	"279"	"6224"	"0"	"6224"	"0"
"23"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"29"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"31"	"14"	"42"	"3"	"129"	"40"	"5"	"0"	"2"	"2"	"4"	"227"	""	"227"	""
"32"	"15"	"203"	"7"	"134"	"117"	"14"	"4"	"17"	"3"	"17"	"516"	""	"516"	""
"33"	"16"	"227"	"10"	"20"	"132"	"10"	"2"	"7"	"10"	"10"	"428"	""	"428"	""
"34"	"17"	"180"	"6"	"63"	"29"	"12"	"5"	"3"	"5"	"12"	"315"	""	"315"	""
"35"	"18"	"361"	"15"	"5"	"111"	"19"	"5"	"4"	"15"	"18"	"553"	""	"553"	""
"36"	"19"	"89"	"14"	"34"	"192"	"7"	"6"	"4"	"12"	"9"	"367"	""	"367"	""
"37"	"20"	"383"	"18"	"11"	"93"	"12"	"9"	"5"	"12"	"15"	"558"	""	"558"	""
"38"	"21"	"213"	"10"	"0"	"30"	"6"	"2"	"1"	"3"	"2"	"267"	""	"267"	""
"39"	"22"	"282"	"11"	"2"	"63"	"10"	"7"	"2"	"9"	"36"	"422"	""	"422"	""
"40"	"23"	"222"	"6"	"5"	"43"	"2"	"7"	"2"	"2"	"12"	"301"	""	"301"	""
"41"	"23A"	"126"	"11"	"2"	"46"	"8"	"3"	"5"	"4"	"14"	"219"	""	"219"	""
"42"	"24"	"88"	"14"	"150"	"25"	"5"	"10"	"10"	"5"	"7"	"314"	""	"314"	""
"43"	"25"	"65"	"10"	"141"	"85"	"14"	"7"	"17"	"11"	"8"	"358"	""	"358"	""
"44"	"26"	"291"	"11"	"18"	"149"	"10"	"7"	"4"	"5"	"6"	"501"	""	"501"	""
"45"	"Current Round Total"	"2772"	"146"	"714"	"1155"	"134"	"74"	"83"	"98"	"170"	"5346"	"0"	"5346"	"0"
"46"	"Previous Round Total"	"855"	"122"	"2534"	"1880"	"128"	"119"	"177"	"130"	"279"	"6224"	"0"	"6224"	"0"
"47"	"TOTAL"	"3627"	"268"	"3248"	"3035"	"262"	"193"	"260"	"228"	"449"	"11570"	"0"	"11570"	"0"
"48"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
