"ç.Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"¼fu;e 56¼7½ nsf[k,½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"vf/klwfpr ernku dsUnkzsa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk; A 224 vjoy fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu 2005 ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx& 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼ lalnh; ,oa fo/kku lHkk nksuks fuokZpu ds fy, mi;ksx esa yk;k tk; ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku lHkk [k.M ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa ½ 224 vjoy fo/kku lHkk fuokZpu {ks=                             lHkk fuokZpu {ks= [k.M esa fuokZpdksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"dqy la[;k          205562"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"ernku dsUnz
dh Øe la[;k"	"vuoj gqlSu"	"nqykjpan flag"	"e'k:j vgen"	"jathr dqekj"	"jke lgk; egrks"	"vf[kysl dqekj"	"vejsUnz dqekj"	"vo/ks'k ikloku"	"bUrtk:y gd"	"=sosUnz dqekj"	"johUnz jke"	"jkts'oj flag"	"ys[kk ikloku"	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"dqy erksa dh la[;k"	"fufonr erksa dh la[;k"
"10"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"88"	"243"	"21"	"57"	"23"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"0"	"440"	"0"	"440"	"0"
"12"	"2"	"45"	"180"	"45"	"111"	"16"	"3"	"0"	"1"	"5"	"4"	"27"	"10"	"11"	"458"	"0"	"458"	"0"
"13"	"3"	"109"	"70"	"6"	"125"	"26"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"339"	"0"	"339"	"0"
"14"	"4"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"5"	"0"
"15"	"5"	"91"	"144"	"22"	"122"	"3"	"4"	"0"	"2"	"4"	"4"	"6"	"6"	"9"	"417"	"0"	"417"	"0"
"16"	"6"	"10"	"199"	"22"	"1"	"3"	"0"	"0"	"2"	"0"	"0"	"2"	"3"	"1"	"243"	"0"	"243"	"0"
"17"	"7"	"57"	"82"	"17"	"269"	"185"	"4"	"4"	"5"	"1"	"3"	"0"	"4"	"4"	"635"	"0"	"635"	"0"
"18"	"8"	"18"	"204"	"25"	"124"	"48"	"8"	"0"	"4"	"3"	"2"	"6"	"8"	"5"	"455"	"0"	"455"	"0"
"19"	"9"	"11"	"169"	"6"	"146"	"10"	"1"	"1"	"2"	"1"	"1"	"4"	"4"	"4"	"360"	"0"	"360"	"0"
"20"	"10"	"19"	"154"	"23"	"122"	"5"	"4"	"2"	"4"	"3"	"1"	"2"	"2"	"5"	"346"	"0"	"346"	"0"
"21"	"11"	"89"	"182"	"24"	"236"	"8"	"2"	"2"	"3"	"0"	"5"	"4"	"15"	"12"	"582"	"0"	"582"	"0"
"22"	"12"	"38"	"200"	"17"	"63"	"4"	"3"	"1"	"3"	"2"	"0"	"1"	"6"	"7"	"345"	"0"	"345"	"0"
"23"	"13"	"7"	"277"	"192"	"33"	"34"	"4"	"2"	"0"	"0"	"0"	"3"	"8"	"5"	"565"	"0"	"565"	"0"
"24"	"14"	"7"	"150"	"195"	"28"	"31"	"0"	"1"	"2"	"1"	"0"	"9"	"2"	"2"	"428"	"0"	"428"	"0"
"25"	"dqy %&"	"589"	"2256"	"615"	"1437"	"399"	"34"	"14"	"31"	"21"	"21"	"65"	"70"	"66"	"5618"	"0"	"5618"	"0"
"26"	"B.F."	"589"	"2256"	"615"	"1437"	"399"	"34"	"14"	"31"	"21"	"21"	"65"	"70"	"66"	"5618"	"0"	"5618"	"0"
"27"	"15"	"2"	"116"	"126"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"250"	"0"	"250"	"0"
"28"	"16"	"27"	"259"	"155"	"80"	"90"	"7"	"0"	"5"	"1"	"3"	"6"	"10"	"5"	"648"	"0"	"648"	"0"
"29"	"17"	"13"	"154"	"147"	"156"	"1"	"3"	"2"	"2"	"2"	"0"	"3"	"3"	"3"	"489"	"0"	"489"	"0"
"30"	"18"	"6"	"218"	"164"	"43"	"2"	"8"	"1"	"2"	"2"	"0"	"2"	"6"	"0"	"454"	"0"	"454"	"0"
"31"	"19"	"36"	"315"	"18"	"63"	"8"	"2"	"6"	"6"	"2"	"2"	"2"	"19"	"9"	"488"	"0"	"488"	"0"
"32"	"20"	"9"	"208"	"49"	"198"	"11"	"6"	"2"	"2"	"0"	"3"	"8"	"5"	"5"	"506"	"0"	"506"	"0"
"33"	"21"	"15"	"166"	"54"	"181"	"4"	"7"	"0"	"2"	"1"	"0"	"6"	"9"	"12"	"457"	"0"	"457"	"0"
"34"	"22"	"22"	"179"	"47"	"102"	"2"	"2"	"0"	"2"	"1"	"0"	"6"	"1"	"4"	"368"	"0"	"368"	"0"
"35"	"23"	"10"	"53"	"25"	"81"	"73"	"2"	"2"	"1"	"3"	"1"	"3"	"1"	"3"	"258"	"0"	"258"	"0"
"36"	"23 d"	"62"	"87"	"109"	"29"	"115"	"4"	"1"	"3"	"3"	"0"	"9"	"12"	"21"	"455"	"0"	"455"	"0"
"37"	"24"	"23"	"191"	"114"	"7"	"4"	"2"	"4"	"3"	"1"	"1"	"6"	"4"	"5"	"365"	"0"	"365"	"0"
"38"	"25"	"10"	"96"	"144"	"85"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"5"	"346"	"0"	"346"	"0"
"39"	"26"	"81"	"222"	"37"	"58"	"16"	"3"	"0"	"3"	"4"	"3"	"17"	"1"	"7"	"452"	"0"	"452"	"0"
"40"	"27"	"26"	"129"	"8"	"140"	"16"	"1"	"0"	"4"	"0"	"0"	"10"	"7"	"9"	"350"	"0"	"350"	"0"
"41"	"dqy%&"	"931"	"4649"	"1812"	"2665"	"741"	"81"	"33"	"67"	"42"	"35"	"144"	"150"	"154"	"11504"	"0"	"11504"	"0"
"42"	"B.F."	"931"	"4649"	"1812"	"2665"	"741"	"81"	"33"	"67"	"42"	"35"	"144"	"150"	"154"	"11504"	"0"	"11504"	"0"
"43"	"28"	"8"	"238"	"63"	"84"	"18"	"1"	"1"	"1"	"0"	"2"	"1"	"2"	"0"	"419"	"0"	"419"	"0"
"44"	"29"	"55"	"193"	"92"	"65"	"14"	"2"	"2"	"3"	"2"	"3"	"7"	"10"	"24"	"472"	"0"	"472"	"0"
"45"	"30"	"42"	"225"	"67"	"85"	"8"	"7"	"1"	"3"	"1"	"1"	"2"	"5"	"5"	"452"	"0"	"452"	"0"
"46"	"31"	"16"	"183"	"31"	"22"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"5"	"5"	"269"	"0"	"269"	"0"
"47"	"32"	"2"	"134"	"10"	"195"	"4"	"3"	"0"	"1"	"0"	"1"	"1"	"5"	"0"	"356"	"0"	"356"	"0"
"48"	"33"	"3"	"385"	"44"	"7"	"8"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"1"	"455"	"0"	"455"	"0"
"49"	"33 d"	"6"	"471"	"29"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"513"	"0"	"513"	"0"
"50"	"34"	"12"	"110"	"5"	"166"	"7"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"4"	"309"	"0"	"309"	"0"
"51"	"35"	"19"	"291"	"95"	"88"	"16"	"4"	"1"	"2"	"0"	"0"	"12"	"3"	"4"	"535"	"0"	"535"	"0"
"52"	"36"	"62"	"229"	"24"	"163"	"41"	"3"	"3"	"4"	"5"	"7"	"11"	"8"	"17"	"577"	"0"	"577"	"0"
"53"	"37"	"5"	"224"	"214"	"10"	"2"	"2"	"1"	"0"	"1"	"0"	"5"	"2"	"5"	"471"	"0"	"471"	"0"
"54"	"38"	"24"	"228"	"14"	"103"	"22"	"2"	"1"	"2"	"0"	"4"	"4"	"11"	"16"	"431"	"0"	"431"	"0"
"55"	"39"	"4"	"127"	"139"	"6"	"1"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"5"	"290"	"0"	"290"	"0"
"56"	"40"	"96"	"107"	"50"	"45"	"26"	"7"	"3"	"4"	"3"	"1"	"3"	"9"	"4"	"358"	"0"	"358"	"0"
"57"	"dqy%&"	"1285"	"7794"	"2689"	"3706"	"913"	"119"	"47"	"92"	"58"	"57"	"194"	"213"	"244"	"17411"	"0"	"17411"	"0"
"58"	"B.F."	"1285"	"7794"	"2689"	"3706"	"913"	"119"	"47"	"92"	"58"	"57"	"194"	"213"	"244"	"17411"	"0"	"17411"	"0"
"59"	"40 d"	"9"	"55"	"38"	"92"	"15"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"216"	"0"	"216"	"0"
"60"	"41"	"31"	"172"	"51"	"56"	"3"	"1"	"2"	"2"	"0"	"2"	"1"	"3"	"3"	"327"	"0"	"327"	"0"
"61"	"42"	"62"	"149"	"24"	"132"	"7"	"7"	"2"	"3"	"6"	"1"	"5"	"15"	"17"	"430"	"0"	"430"	"0"
"62"	"43"	"8"	"106"	"43"	"54"	"20"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"242"	"0"	"242"	"0"
"63"	"43 d"	"64"	"200"	"91"	"123"	"7"	"8"	"4"	"1"	"1"	"0"	"4"	"2"	"5"	"510"	"0"	"510"	"0"
"64"	"44"	"79"	"127"	"11"	"162"	"78"	"8"	"2"	"2"	"3"	"2"	"30"	"6"	"17"	"527"	"0"	"527"	"0"
"65"	"45"	"36"	"75"	"11"	"186"	"7"	"3"	"3"	"2"	"2"	"1"	"9"	"0"	"3"	"338"	"0"	"338"	"0"
"66"	"46"	"17"	"294"	"9"	"195"	"10"	"8"	"0"	"3"	"7"	"3"	"3"	"13"	"15"	"577"	"0"	"577"	"0"
"67"	"47"	"14"	"164"	"30"	"296"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"512"	"0"	"512"	"0"
"68"	"48"	"68"	"191"	"8"	"198"	"12"	"1"	"1"	"1"	"1"	"0"	"4"	"8"	"2"	"495"	"0"	"495"	"0"
"69"	"49"	"14"	"129"	"39"	"143"	"9"	"6"	"1"	"3"	"3"	"1"	"8"	"4"	"14"	"374"	"0"	"374"	"0"
"70"	"50"	"3"	"242"	"59"	"16"	"7"	"3"	"0"	"1"	"0"	"2"	"3"	"15"	"9"	"360"	"0"	"360"	"0"
"71"	"51"	"45"	"165"	"5"	"169"	"12"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"1"	"407"	"0"	"407"	"0"
"72"	"52"	"25"	"277"	"26"	"119"	"10"	"1"	"1"	"1"	"2"	"2"	"4"	"3"	"2"	"473"	"0"	"473"	"0"
"73"	"dqy%&"	"1760"	"10140"	"3134"	"5647"	"1113"	"173"	"65"	"113"	"86"	"73"	"270"	"288"	"337"	"23199"	"0"	"23199"	"0"
"74"	"B.F."	"1760"	"10140"	"3134"	"5647"	"1113"	"173"	"65"	"113"	"86"	"73"	"270"	"288"	"337"	"23199"	"0"	"23199"	""
"75"	"53"	"7"	"305"	"12"	"82"	"3"	"2"	"1"	"1"	"0"	"0"	"2"	"6"	"1"	"422"	"0"	"422"	"0"
"76"	"54"	"20"	"201"	"6"	"139"	"8"	"2"	"3"	"0"	"2"	"1"	"15"	"3"	"9"	"409"	"0"	"409"	"0"
"77"	"55"	"24"	"92"	"281"	"86"	"26"	"2"	"0"	"3"	"0"	"3"	"38"	"3"	"2"	"560"	"0"	"560"	"0"
"78"	"56"	"41"	"62"	"47"	"81"	"58"	"4"	"0"	"1"	"0"	"1"	"1"	"3"	"3"	"302"	"0"	"302"	"0"
"79"	"57"	"26"	"125"	"171"	"89"	"29"	"3"	"5"	"6"	"1"	"0"	"6"	"6"	"2"	"469"	"0"	"469"	"0"
"80"	"58"	"1"	"111"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"4"	"130"	"0"	"130"	"0"
"81"	"59"	"42"	"28"	"34"	"102"	"3"	"2"	"1"	"1"	"2"	"3"	"10"	"0"	"5"	"233"	"0"	"233"	"0"
"82"	"60"	"229"	"29"	"12"	"69"	"9"	"0"	"3"	"4"	"3"	"2"	"5"	"4"	"20"	"389"	"0"	"389"	"0"
"83"	"61"	"13"	"104"	"145"	"13"	"5"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"287"	"0"	"287"	"0"
"84"	"61 d"	"14"	"130"	"44"	"44"	"0"	"2"	"3"	"2"	"0"	"0"	"38"	"6"	"2"	"285"	"0"	"285"	"0"
"85"	"62"	"43"	"175"	"41"	"2"	"8"	"2"	"0"	"2"	"1"	"5"	"29"	"8"	"17"	"333"	"0"	"333"	"0"
"86"	"63"	"48"	"202"	"24"	"192"	"6"	"0"	"2"	"4"	"0"	"5"	"33"	"13"	"9"	"538"	"0"	"538"	"0"
"87"	"64"	"50"	"172"	"45"	"80"	"42"	"3"	"1"	"4"	"1"	"2"	"9"	"7"	"5"	"421"	"0"	"421"	"0"
"88"	"65"	"111"	"70"	"35"	"90"	"4"	"3"	"0"	"2"	"1"	"3"	"5"	"9"	"10"	"343"	"0"	"343"	"0"
"89"	"dqy%&"	"2429"	"11946"	"4035"	"6716"	"1316"	"200"	"85"	"144"	"97"	"100"	"465"	"360"	"427"	"28320"	"0"	"28320"	"0"
"90"	"B.F."	"2429"	"11946"	"4035"	"6716"	"1316"	"200"	"85"	"144"	"97"	"100"	"465"	"360"	"427"	"28320"	"0"	"28320"	"0"
"91"	"66"	"2"	"259"	"124"	"10"	"2"	"0"	"1"	"0"	"0"	"0"	"5"	"1"	"0"	"404"	"0"	"404"	"0"
"92"	"67"	"37"	"94"	"3"	"142"	"7"	"3"	"0"	"1"	"0"	"0"	"10"	"1"	"2"	"300"	"0"	"300"	"0"
"93"	"68"	"178"	"171"	"21"	"28"	"2"	"1"	"0"	"2"	"0"	"5"	"12"	"8"	"15"	"443"	"0"	"443"	"0"
"94"	"69"	"60"	"147"	"95"	"15"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"6"	"331"	"0"	"331"	"0"
"95"	"70"	"179"	"76"	"15"	"33"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"10"	"319"	"0"	"319"	"0"
