"fuokZpuksa.dk.lapkyu.fu.e..1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"¼dkuwuh fu;e vkSj vkns’k½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"iz:i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu;e 56x¼2½ ¼x½ nsf[k,]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vfUre ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"27&clariqj"	""	""	""	""	""	"fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""
"6"	"Hkkx&1"	""	""	"&"	""	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"8"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"9"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"10"	"1"	"309"	"109"	"3"	"63"	"5"	""	"5"	"6"	"6"	"11"	"25"	"547"	""	"547"	""
"11"	"2"	"204"	"19"	"3"	"265"	"7"	""	"1"	"11"	"2"	"3"	"7"	"527"	""	"527"	""
"12"	"3"	"315"	"17"	"3"	"40"	"3"	""	"1"	"6"	"1"	"2"	"6"	"394"	""	"394"	""
"13"	"4"	"208"	"11"	"2"	"210"	"4"	""	"1"	"1"	"1"	""	"10"	"448"	""	"448"	""
"14"	"5"	"3"	"4"	"-"	"581"	"2"	""	"-"	""	"1"	""	""	"591"	""	"591"	""
"15"	"6"	"207"	"58"	"8"	"77"	"5"	""	"8"	"13"	"4"	"6"	"28"	"414"	""	"414"	""
"16"	"7"	"171"	"81"	"5"	"43"	"4"	""	"0"	"6"	"1"	"1"	"10"	"322"	""	"322"	""
"17"	"8"	"266"	"64"	"8"	"100"	"2"	""	"5"	"5"	"7"	"6"	"28"	"491"	""	"491"	""
"18"	"9"	"208"	"30"	"41"	"134"	"6"	""	"6"	"15"	"9"	"8"	"32"	"489"	""	"489"	""
"19"	"9A"	"44"	"18"	"2"	"84"	"2"	""	"1"	"1"	"0"	"7"	"4"	"163"	""	"163"	""
"20"	"10"	"305"	"18"	"32"	"111"	"6"	""	"2"	"7"	"5"	"3"	"29"	"518"	""	"518"	""
"21"	"10A"	"59"	"9"	"25"	"187"	"12"	""	"1"	"8"	"1"	"2"	"7"	"311"	""	"311"	""
"22"	"11"	"161"	"44"	"15"	"57"	"6"	""	"4"	"6"	"4"	"4"	"50"	"351"	""	"351"	""
"23"	"12"	"246"	"136"	"25"	"193"	"14"	""	"9"	"9"	"3"	"4"	"14"	"653"	""	"653"	""
"24"	";ksx%&"	"2711"	"618"	"177"	"2145"	"78"	""	"44"	"94"	"45"	"57"	"250"	"6219"	""	"6219"	""
"25"	"27&clariqj"	""	""	""	""	""	"fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""
"26"	"Hkkx&1"	""	""	"&"	""	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""
"27"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
