"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 232-Gaya Town Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""
"6"	""	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""
"8"	"1"	"1"	""	""	"19"	""	""	"175"	""	""	"74"	""	""	"53"	""	""	"8"	""	""	"4"	""	""	"8"	""	""	""	"3"	""	""	"5"	""	""	"349"	""	""	""	"0"	""	""	"349"	""	""	""	""	""	""
"9"	"2"	"1A"	""	""	"13"	""	""	"136"	""	""	"52"	""	""	"39"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	""	"251"	""	""	""	"0"	""	""	"251"	""	""	""	""	""	""
"10"	"3"	"2"	""	""	"44"	""	""	"253"	""	""	"113"	""	""	"71"	""	""	"8"	""	""	"6"	""	""	"5"	""	""	""	"2"	""	""	"8"	""	""	"510"	""	""	""	"0"	""	""	"510"	""	""	""	""	""	""
"11"	"4"	"3"	""	""	"4"	""	""	"108"	""	""	"30"	""	""	"66"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	""	"2"	""	""	"0"	""	""	"217"	""	""	""	"0"	""	""	"217"	""	""	""	""	""	""
"12"	"5"	"3A"	""	""	"13"	""	""	"106"	""	""	"9"	""	""	"17"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"148"	""	""	""	"0"	""	""	"148"	""	""	""	""	""	""
"13"	"6"	"4"	""	""	"7"	""	""	"243"	""	""	"46"	""	""	"33"	""	""	"4"	""	""	"3"	""	""	"8"	""	""	""	"7"	""	""	"4"	""	""	"355"	""	""	""	"0"	""	""	"355"	""	""	""	""	""	""
"14"	"7"	"4A"	""	""	"3"	""	""	"132"	""	""	"16"	""	""	"9"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"162"	""	""	""	"0"	""	""	"162"	""	""	""	""	""	""
"15"	"8"	"5"	""	""	"13"	""	""	"260"	""	""	"11"	""	""	"31"	""	""	"0"	""	""	"3"	""	""	"3"	""	""	""	"3"	""	""	"2"	""	""	"326"	""	""	""	"0"	""	""	"326"	""	""	""	""	""	""
"16"	"9"	"6"	""	""	"7"	""	""	"98"	""	""	"37"	""	""	"96"	""	""	"2"	""	""	"1"	""	""	"4"	""	""	""	"0"	""	""	"3"	""	""	"248"	""	""	""	"0"	""	""	"248"	""	""	""	""	""	""
"17"	"10"	"7"	""	""	"12"	""	""	"136"	""	""	"109"	""	""	"36"	""	""	"6"	""	""	"4"	""	""	"5"	""	""	""	"2"	""	""	"18"	""	""	"328"	""	""	""	"0"	""	""	"328"	""	""	""	""	""	""
"18"	"11"	"7A"	""	""	"6"	""	""	"82"	""	""	"91"	""	""	"35"	""	""	"2"	""	""	"5"	""	""	"3"	""	""	""	"2"	""	""	"6"	""	""	"232"	""	""	""	"0"	""	""	"232"	""	""	""	""	""	""
"19"	"12"	"8"	""	""	"12"	""	""	"192"	""	""	"23"	""	""	"154"	""	""	"6"	""	""	"4"	""	""	"4"	""	""	""	"2"	""	""	"8"	""	""	"405"	""	""	""	"0"	""	""	"405"	""	""	""	""	""	""
"20"	"13"	"9"	""	""	"3"	""	""	"100"	""	""	"13"	""	""	"123"	""	""	"2"	""	""	"6"	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	"254"	""	""	""	"0"	""	""	"254"	""	""	""	""	""	""
"21"	"14"	"9A"	""	""	"2"	""	""	"108"	""	""	"53"	""	""	"89"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	""	"3"	""	""	"13"	""	""	"276"	""	""	""	"0"	""	""	"276"	""	""	""	""	""	""
"22"	"Total"	""	""	""	"158"	""	""	"2129"	""	""	"677"	""	""	"852"	""	""	"43"	""	""	"43"	""	""	"53"	""	""	""	"32"	""	""	"74"	""	""	"4061"	""	""	""	"0"	""	""	"4061"	""	""	""	""	""	""
"23"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
